hhno	Pregnancy_in_household	Child(ren)_under_2
50001	No	No
50002	No	No
50003	No	No
50004	No	No
50005	No	No
50006	No	No
50007	No	No
50008	No	No
50009	No	No
50010	No	No
50011	No	No
50012	No	No
50013	No	No
50014	No	Yes
50015	No	No
50016	No	No
50017	Yes	Yes
50018	No	No
50019	No	Yes
50020	No	No
50021	No	No
50022	No	No
50023	No	No
50024	No	No
50025	No	No
50026	No	No
50027	No	No
50028	No	No
50029	No	No
50030	No	No
50031	No	Yes
50032	No	No
50033	No	No
50034	No	No
50035	No	Yes
50036	No	No
50037	No	Yes
50038	No	No
50039	No	No
50040	No	No
50041	No	No
50042	No	No
50043	No	Yes
50044	No	No
50045	No	No
50046	No	No
50047	No	No
50048	No	No
50049	No	No
50050	No	No
50051	No	No
50052	No	No
50053	No	No
50054	No	No
50055	No	Yes
50056	No	No
50057	No	No
50058	No	No
50059	No	No
50060	No	Yes
50061	No	No
50062	No	No
50063	No	No
50064	No	No
50065	Yes	No
50066	No	No
50067	No	No
50068	No	No
50069	No	No
50070	No	Yes
50071	No	No
50072	No	No
50073	No	Yes
50074	No	No
50075	No	No
50076	No	No
50077	No	No
50078	No	No
50079	No	No
50080	No	Yes
50081	No	No
50082	No	No
50083	No	No
50084	No	No
50085	No	No
50086	No	No
50087	No	No
50088	No	No
50089	No	No
50090	No	No
50091	No	No
50092	No	No
50093	No	No
50094	No	No
50095	No	No
50096	No	No
50097	No	No
50098	No	Yes
50099	No	No
50100	No	No
50101	No	Yes
50102	No	No
50103	No	No
50104	No	No
50105	No	No
50106	No	No
50107	No	Yes
50108	No	No
50109	No	No
50110	No	No
50111	No	No
50112	No	No
50113	No	No
50114	No	No
50115	No	No
50116	No	No
50117	No	No
50118	No	No
50119	No	Yes
50120	No	No
50121	No	No
50122	No	No
50123	No	No
50124	No	No
50125	No	No
50126	No	No
50127	No	No
50128	No	No
50129	No	No
50130	No	Yes
50131	No	No
50132	No	No
50133	No	No
50134	No	No
50135	No	No
50136	No	No
50137	No	No
50138	No	No
50139	No	No
50140	No	No
50141	No	No
50142	No	No
50143	No	No
50144	No	No
50145	No	No
50146	No	No
50147	No	No
50148	No	No
50149	No	No
50150	No	No
50151	No	No
50152	No	No
50153	No	No
50154	No	No
50155	No	No
50156	No	No
50157	No	No
50158	No	No
50159	No	No
50160	No	No
50161	No	No
50162	No	No
50163	No	No
50164	No	No
50165	No	No
50166	No	No
50167	No	Yes
50168	Yes	No
50169	No	No
50170	No	No
50171	No	No
50172	No	No
50173	No	No
50174	No	No
50175	No	No
50176	No	No
50177	No	No
50178	No	No
50179	No	No
50180	No	No
50181	No	No
50182	No	No
50183	No	No
50184	No	Yes
50185	No	No
50186	No	No
50187	Yes	No
50188	No	No
50189	No	No
50190	No	No
50191	No	No
50192	No	No
50193	No	No
50194	No	No
50195	No	No
50196	No	No
50197	No	No
50198	No	No
50199	No	Yes
50200	No	No
50201	No	No
50202	No	No
50203	No	No
50204	No	No
50205	No	No
50206	No	No
50207	No	No
50208	No	No
50209	No	No
50210	No	No
50211	No	Yes
50212	No	No
50213	No	No
50214	No	No
50215	No	No
50216	No	Yes
50217	No	No
50218	No	No
50219	No	No
50220	No	No
50221	No	No
50222	No	No
50223	No	No
50224	No	No
50225	No	No
50226	No	Yes
50227	No	No
50228	No	No
50229	No	No
50230	No	No
50231	No	No
50232	No	No
50233	No	No
50234	No	No
50235	No	No
50236	No	No
50237	No	No
50238	No	No
50239	No	No
50240	No	No
50241	No	No
50242	No	No
50243	No	No
50244	No	No
50245	No	No
50246	No	No
50247	No	No
50248	No	No
50249	No	Yes
50250	No	No
50251	No	No
50252	No	No
50253	No	No
50254	No	No
50255	No	No
50256	No	No
50257	No	No
50258	No	No
50259	No	No
50260	No	No
50261	No	No
50262	No	No
50263	No	No
50264	No	No
50265	No	No
50266	No	No
50267	No	No
50268	No	No
50269	No	Yes
50270	No	No
50271	No	No
50272	No	No
50273	No	Yes
50274	No	Yes
50275	No	No
50276	No	Yes
50277	No	No
50278	No	No
50279	No	No
50280	No	No
50281	No	No
50282	No	No
50283	Yes	No
50284	No	No
50285	No	No
50286	No	No
50287	No	No
50288	No	No
50289	No	No
50290	No	No
50291	No	No
50292	No	No
50293	No	No
50294	No	No
50295	No	No
50296	No	No
50297	No	No
50298	No	No
50299	No	No
50300	No	No
50301	No	Yes
50302	No	No
50303	No	No
50304	No	No
50305	No	No
50306	No	No
50307	No	Yes
50308	No	No
50309	No	No
50310	No	Yes
50311	No	No
50312	No	No
50313	No	No
50314	No	No
50315	No	No
50316	No	No
50317	No	No
50318	No	Yes
50319	No	No
50320	No	No
50321	No	No
50322	No	Yes
50323	No	No
50324	No	No
50325	No	No
50326	No	No
50327	No	No
50328	No	No
50329	No	No
50330	No	Yes
50331	No	No
50332	No	No
50333	No	No
50334	No	No
50335	No	No
50336	No	No
50337	No	Yes
50338	No	No
50339	No	No
50340	No	No
50341	No	No
50342	No	No
50343	No	No
50344	No	Yes
50345	No	No
50346	No	No
50347	No	Yes
50348	No	No
50349	No	No
50350	No	No
50351	No	No
50352	No	No
50353	No	No
50354	No	No
50355	No	No
