hhno	Pregnancy_in_household	Child(ren)_under_2
170979	No	No
170980	No	No
170981	No	No
170982	No	No
170983	No	No
170984	No	No
170985	No	No
170986	No	No
170987	No	No
170988	No	No
170989	No	No
170990	No	No
170991	No	No
170992	No	No
170993	No	No
170994	No	No
170995	No	No
170996	No	No
170997	No	No
170998	No	No
170999	No	No
171000	No	No
171001	No	No
171002	No	Yes
171003	No	No
171004	No	No
171005	No	No
171006	No	No
171007	No	No
171008	No	No
171009	No	No
171010	No	No
171011	No	No
171012	No	No
171013	No	No
171014	No	No
171015	No	No
171016	No	No
171017	No	No
171018	No	No
171019	No	No
171020	No	No
171021	No	No
171022	No	No
171023	No	No
171024	No	No
171025	No	No
171026	No	Yes
171027	No	No
171028	No	No
171029	No	No
171030	No	No
171031	No	No
171032	No	No
171033	No	No
171034	No	No
171035	No	No
171036	No	No
171037	No	No
171038	No	No
171039	No	No
171040	No	No
171041	No	No
171042	No	No
171043	No	No
171044	No	No
171045	No	No
171046	No	No
171047	No	No
171048	No	No
171049	No	No
171050	No	No
171051	No	No
171052	No	No
171053	No	No
171054	No	No
171055	No	No
171056	No	No
171057	No	Yes
171058	No	No
171059	No	No
171060	No	No
171061	No	No
171062	No	No
171063	No	No
171064	No	Yes
171065	No	No
171066	No	No
171067	No	No
171068	No	No
171069	No	Yes
171070	No	No
171071	No	No
171072	No	No
171073	No	Yes
171074	No	No
171075	No	No
171076	No	No
171077	No	No
171078	No	No
171079	No	No
171080	No	No
171081	No	No
171082	No	No
171083	No	No
171084	No	No
171085	No	No
171086	No	No
171087	No	No
171088	No	No
171089	No	No
171090	No	No
171091	No	No
171092	No	No
171093	No	No
171094	No	No
171095	No	No
171096	No	No
171097	No	No
171098	No	No
171099	No	No
171100	No	No
171101	No	No
171102	No	Yes
171103	No	No
171104	No	No
171105	No	No
171106	No	No
171107	No	No
171108	No	No
171109	No	No
171110	No	No
171111	No	No
171112	No	No
171113	No	No
171114	No	No
171115	No	No
171116	No	No
171117	No	No
171118	No	No
171119	No	No
171120	No	No
171121	No	No
171122	No	No
171123	No	No
171124	No	No
171125	No	No
171126	No	No
171127	No	No
171128	No	No
171129	No	No
171130	No	No
171131	No	No
171132	No	No
171133	No	Yes
171134	No	No
171135	No	No
171136	No	No
171137	No	No
171138	No	No
171139	No	Yes
171140	No	No
171141	No	No
170001	No	No
