hhno	logday	schml	pkdl	othl	mlwhl	midml	mlso
80001	3	0	0	0	0	1	1
80001	5	0	0	0	0	1	1
80001	6	0	0	0	0	1	1
80001	7	0	0	0	0	2	2
80002	1	0	0	0	0	1	1
80002	2	0	0	0	0	1	1
80002	5	0	0	0	0	1	1
80002	6	0	0	0	0	1	1
80002	7	0	0	0	0	1	1
80004	4	0	0	0	0	0	1
80004	7	2	0	0	0	1	1
80005	5	0	0	0	0	1	1
80005	7	0	3	0	0	0	0
80007	1	0	0	0	0	1	2
80007	2	0	0	0	0	1	1
80007	3	0	0	0	0	1	3
80007	4	0	0	0	0	2	4
80007	6	0	0	0	0	2	2
80007	7	0	0	0	0	2	2
80008	7	0	1	0	0	0	0
80010	1	0	0	0	0	1	1
80010	3	0	0	0	0	1	2
80010	7	0	0	0	0	1	1
80011	1	0	0	0	0	1	3
80011	2	0	0	0	0	1	3
80011	3	0	0	0	0	2	2
80011	5	0	0	0	0	0	1
80012	3	0	0	0	0	2	2
80013	1	0	1	0	0	0	0
80013	2	0	1	0	0	0	0
80013	3	0	1	0	0	1	1
80013	4	0	1	0	0	0	0
80013	5	0	1	0	0	0	0
80014	1	0	2	0	0	1	1
80014	2	0	2	0	0	0	0
80014	3	0	2	0	0	0	0
80014	6	0	2	0	0	0	0
80014	7	0	2	0	0	0	0
80015	1	2	0	0	0	3	3
80015	2	2	0	0	0	2	2
80015	3	0	0	0	0	1	1
80015	6	2	0	0	0	2	2
80015	7	2	0	0	0	2	2
80016	1	0	2	0	0	0	0
80016	2	0	2	0	0	0	0
80016	3	0	2	0	0	1	1
80016	4	0	2	0	0	0	0
80016	6	0	0	0	0	0	4
80016	7	0	2	0	0	1	1
80018	1	2	0	0	0	4	4
80018	2	2	0	0	0	3	3
80018	3	2	0	0	0	1	1
80018	4	0	0	1	0	4	4
80018	6	2	0	0	0	3	3
80018	7	2	0	0	0	3	3
80019	1	0	0	0	0	1	1
80019	2	0	0	0	0	1	1
80019	3	0	0	0	0	1	1
80019	6	0	0	0	0	1	1
80019	7	0	0	0	0	1	1
80020	1	0	1	1	0	1	1
80020	2	0	1	0	0	1	1
80020	3	0	1	0	0	1	1
80020	4	0	1	0	0	1	1
80020	5	0	0	0	0	0	1
80020	6	0	0	0	0	0	4
80021	1	4	0	0	0	3	3
80021	2	4	0	0	0	3	3
80021	3	4	0	0	0	3	3
80021	4	4	0	0	0	4	4
80021	5	0	0	2	0	4	4
80021	7	4	0	0	0	3	5
80022	7	0	0	0	0	0	4
80023	2	0	0	0	0	2	2
80023	3	0	0	0	0	2	4
80023	5	0	0	0	0	0	2
80024	1	4	0	0	0	3	3
80024	2	4	0	0	0	3	3
80024	3	4	0	0	0	3	3
80024	6	4	0	0	0	3	3
80024	7	4	0	0	0	3	2
80027	1	4	0	0	0	2	2
80027	2	0	0	0	0	0	1
80027	5	0	0	2	0	4	4
80030	1	0	0	0	0	1	1
80030	2	0	0	0	0	2	2
80030	5	0	0	0	0	1	1
80030	6	0	0	0	0	1	1
80030	7	0	0	0	0	1	1
80031	1	2	0	0	0	1	1
80031	2	2	0	0	0	1	1
80031	6	0	0	0	0	2	5
80031	7	0	0	0	0	1	2
80032	1	4	0	0	0	4	4
80032	2	4	0	0	0	4	4
80032	5	0	0	0	0	3	3
80032	6	0	0	0	0	3	3
80032	7	0	0	0	0	3	3
80033	2	0	0	0	2	1	1
80033	7	0	0	0	2	1	1
80034	1	4	0	0	0	3	4
80034	4	0	0	0	0	1	3
80034	5	0	0	0	0	1	7
80034	6	0	0	0	0	1	4
80034	7	0	0	0	0	1	3
80035	1	0	0	0	0	1	1
80035	2	0	0	0	0	1	1
80035	5	0	0	0	0	1	1
80035	6	0	0	0	0	1	3
80035	7	0	0	0	0	2	2
80037	1	0	0	0	0	1	2
80037	2	0	0	0	0	1	4
80037	3	0	0	0	0	1	2
80037	5	0	0	0	0	1	1
80037	6	0	0	0	0	1	1
80037	7	0	0	0	0	1	1
80038	1	0	0	0	0	1	1
80038	6	0	0	0	0	1	1
80038	7	0	0	0	0	1	1
80040	2	0	0	0	0	1	1
80040	3	0	0	0	0	1	1
80040	4	0	0	0	0	1	1
80043	1	2	1	0	0	1	1
80043	2	2	1	0	0	1	1
80043	3	2	1	0	0	1	1
80043	4	2	1	0	0	1	1
80043	7	2	1	0	0	1	1
80045	1	0	0	0	0	1	1
80045	2	0	0	0	0	1	1
80045	3	0	0	0	0	1	1
80045	4	0	0	0	0	1	1
80045	7	0	0	0	0	1	1
80048	1	0	0	0	0	1	1
80048	2	0	0	0	0	1	1
80048	3	0	0	0	0	1	1
80048	5	0	0	0	0	1	1
80048	6	0	0	0	0	1	1
80048	7	0	0	0	0	1	3
80049	1	0	0	0	0	1	1
80049	2	0	0	0	0	1	1
80049	5	0	0	0	0	1	1
80049	6	0	0	0	0	0	2
80049	7	0	0	0	0	0	1
80050	1	0	0	0	0	2	2
80050	2	0	0	0	0	2	2
80050	4	0	0	0	0	2	2
80050	5	0	0	0	0	2	2
80050	6	0	0	0	0	2	2
80050	7	0	0	0	0	2	2
80051	4	0	0	0	0	1	1
80052	1	0	0	0	0	1	1
80052	2	0	0	0	0	1	1
80052	3	0	0	0	0	2	2
80053	7	0	0	0	0	1	2
80054	1	0	0	0	0	1	4
80054	2	0	0	0	0	1	4
80054	3	0	0	0	0	1	4
80054	4	0	0	0	0	1	4
80055	3	0	0	0	0	0	2
80055	5	0	0	0	0	3	3
80055	7	0	0	0	0	2	3
80056	1	0	0	0	0	1	1
80056	2	0	0	0	0	4	4
80056	5	0	0	0	0	4	6
80056	6	0	0	0	0	4	7
80056	7	0	0	0	0	2	4
80057	3	0	0	0	0	1	4
80057	4	0	0	0	0	1	4
80057	5	0	0	0	0	1	4
80058	1	0	0	0	0	1	1
80060	1	0	0	0	0	1	1
80060	2	0	0	0	0	0	1
80060	3	0	0	0	0	0	4
80060	4	0	0	0	0	2	4
80060	5	0	0	0	0	1	1
80060	6	0	0	0	0	2	2
80060	7	0	0	0	0	0	4
80061	1	0	0	0	0	1	1
80061	3	0	0	0	0	4	4
80061	4	0	0	0	0	1	1
80061	5	0	0	0	0	1	1
80061	7	0	0	0	0	0	6
80062	1	2	0	0	0	3	3
80062	2	4	0	0	0	4	4
80062	3	4	0	0	0	4	4
80062	5	4	0	0	0	2	2
80062	7	0	0	2	0	4	4
80063	1	0	0	0	0	2	7
80063	2	0	0	0	0	2	7
80063	3	0	0	0	0	3	6
80063	4	0	0	0	0	1	1
80063	5	0	0	0	0	2	6
80063	6	0	0	0	0	2	5
80063	7	0	0	0	0	2	7
80064	2	0	0	0	0	2	4
80064	3	0	0	0	0	0	1
80064	4	0	0	0	0	0	1
80064	5	0	0	0	0	0	1
80064	6	0	0	0	0	1	2
80064	7	0	0	0	0	0	1
80065	2	0	0	0	0	1	1
80065	6	0	0	0	0	1	3
80065	7	0	0	0	0	1	3
80066	1	0	1	0	0	0	0
80066	2	0	1	0	0	0	0
80066	3	0	1	0	0	0	0
80066	4	0	1	0	0	0	6
80066	5	0	1	0	0	0	1
80066	6	0	0	0	0	0	1
80067	4	0	0	0	0	0	4
80067	6	0	0	0	0	0	4
80068	1	2	0	0	0	2	2
80068	2	2	0	0	0	2	2
80068	3	2	0	0	0	2	2
80068	4	2	0	0	0	2	2
80068	5	2	0	0	0	2	2
80069	1	0	0	0	0	1	2
80069	2	0	0	0	0	1	1
80069	3	0	0	0	0	1	1
80069	6	0	0	0	0	1	2
80069	7	0	0	0	0	1	1
80070	1	0	0	0	0	1	1
80070	2	0	0	0	0	1	1
80070	3	0	0	0	0	1	1
80071	1	0	0	1	0	3	3
80071	2	0	0	0	0	0	1
80071	3	0	0	0	0	0	1
80071	4	2	0	0	0	2	4
80071	5	0	1	0	0	1	1
80071	6	0	1	0	0	1	2
80071	7	0	1	0	0	1	2
80072	1	0	0	0	0	1	1
80072	2	0	0	0	0	1	1
80072	5	0	0	0	0	1	1
80072	6	0	0	0	0	1	1
80072	7	0	0	0	0	1	1
80073	1	4	0	0	0	6	12
80073	2	0	0	0	0	1	6
80073	3	0	0	0	0	0	1
80073	4	0	0	0	0	0	2
80073	5	2	0	0	0	1	3
80073	6	0	1	1	0	3	5
80073	7	4	0	0	0	2	4
80075	4	0	0	0	0	1	0
80076	1	2	0	0	0	2	2
80076	4	2	0	0	0	1	1
80076	5	0	1	0	0	1	1
80076	6	2	0	0	0	2	2
80076	7	0	1	0	0	1	1
80077	1	0	0	0	0	2	2
80078	1	2	0	0	0	1	1
80078	2	2	0	0	0	1	1
80078	3	0	0	0	0	0	2
80078	5	2	0	0	0	1	1
80078	6	2	0	0	0	1	1
80078	7	2	0	0	0	1	1
80079	1	0	0	0	0	1	1
80079	2	0	0	0	0	1	1
80079	3	0	0	0	0	2	2
80079	5	0	0	0	0	3	7
80079	6	0	0	0	0	1	1
80079	7	0	0	0	0	1	1
80080	1	2	0	0	0	2	4
80080	2	2	0	0	0	2	2
80080	3	0	0	0	0	0	9
80080	4	0	0	0	0	2	8
80080	5	2	0	0	0	2	2
80080	6	2	0	0	0	2	2
80080	7	2	0	0	0	2	2
80081	1	4	0	0	0	2	2
80081	2	2	0	0	0	1	1
80081	5	2	0	0	0	1	1
80081	6	2	0	0	0	1	1
80081	7	2	0	0	0	2	2
80082	1	2	0	0	0	1	6
80082	2	2	0	0	0	1	1
80082	5	4	0	0	0	2	2
80082	6	4	0	0	0	2	2
80082	7	4	0	0	0	5	5
80083	2	0	0	0	0	0	4
80083	7	0	0	0	0	0	4
80084	2	0	0	0	0	1	1
80084	3	0	0	0	0	1	1
80084	4	0	0	0	0	0	2
80084	6	0	0	0	0	1	1
80085	1	0	1	0	0	0	0
80085	3	0	0	0	0	1	1
80086	1	2	0	0	0	2	2
80086	2	2	1	0	0	3	3
80086	3	2	0	0	0	2	2
80086	4	4	0	0	0	4	4
80086	5	0	0	0	0	1	2
80086	6	0	0	0	0	4	8
80086	7	2	0	1	0	4	4
80087	1	2	0	0	0	2	2
80087	2	2	0	0	0	2	2
80087	3	2	0	0	0	2	2
80087	4	2	0	0	0	2	2
80087	5	2	0	0	0	2	2
80087	6	0	0	0	0	0	1
80089	1	4	0	0	0	3	3
80089	2	4	0	0	0	3	3
80089	3	4	0	0	0	3	4
80089	6	4	0	0	0	3	3
80089	7	4	0	0	0	4	5
80090	3	0	0	0	0	2	4
80092	1	0	2	0	0	1	3
80092	2	0	2	0	0	1	3
80092	3	0	2	0	0	1	1
80092	4	0	2	0	0	1	1
80092	5	0	2	0	0	2	2
80092	7	0	0	0	0	4	8
80093	1	0	1	0	0	1	1
80093	2	0	1	0	0	0	0
80093	3	0	1	0	0	0	0
80093	4	0	1	0	0	0	0
80093	5	0	1	0	0	0	0
80096	3	0	0	0	0	1	6
80096	4	0	0	0	0	2	8
80096	7	0	0	0	0	1	4
80097	1	2	0	0	0	1	2
80097	2	2	0	0	0	1	1
80097	3	0	0	0	0	1	1
80097	4	0	0	0	0	3	6
80097	5	0	1	0	0	0	0
80097	6	0	1	0	0	0	0
80097	7	0	1	0	0	0	0
80098	1	0	0	0	0	2	5
80098	2	0	0	0	0	1	4
80098	3	0	0	0	0	1	1
80098	4	0	0	0	0	1	1
80098	5	0	0	0	0	2	8
80098	6	0	0	0	0	2	8
80098	7	0	0	0	0	2	8
80099	1	2	0	0	0	2	2
80099	2	0	0	1	0	3	3
80099	4	2	0	0	0	2	2
80099	5	2	0	0	0	3	3
80099	6	2	0	0	0	3	3
80099	7	2	0	0	0	3	3
80100	1	0	0	0	0	1	1
80100	4	0	0	0	0	0	1
80100	5	0	0	0	0	0	2
80100	6	0	0	0	0	0	2
80100	7	0	0	0	0	1	3
