hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
170001		0	24	1989	1	1	1	6	2		5	9935	0	0	4	1	1	1	5	5	1	1	0	0	0	1	Wales	11	5	4	3	1	4	24/1/1540 00:00:00		0	2	0	0	0	0	2	3	0	2							0
170002		0	24	1989	1	0	1	6	4		4	9935	0	0	5	4	2	1	3	3	1	1	2	0	0	1	Wales	11	3	3	5	4	15	24/1/1540 00:00:00		0	1	0	0	0	0	2	3	0	2							0
170003		0	24	1989	1	1	1	6	2		3	9935	0	0	0	9	2	1	4	4	1	1	0	0	0	1	Wales	11	4	2	3	1	2	24/1/1540 00:00:00		0	2	0	0	0	0	2	3	0	2							0
170004		0	24	1989	1	1	1	5	2		4	9935	0	0	0	9	2	1	6	6	0	2	0	1	1	1	Wales	11	6	3	3	1	3	24/1/1540 00:00:00		0	1	0	0	0	0	2	3	0	2							0
170005		0	24	1989	1	1	1	5	4		3	9935	0	0	0	9	2	1	4	4	2	2	0	0	0	1	Wales	11	4	2	9	1	2	24/1/1540 00:00:00		0	4	0	0	0	0	2	3	0	2							0
170006		0	24	1989	1	1	1	6	4		4	9935	0	0	0	9	1	1	2	2	1	1	2	0	0	1	Wales	11	2	3	5	4	15	23/1/1540 00:00:00		0	2	0	0	0	0	2	2	0	2							0
170007		0	24	1989	2	0	1	6	2		3	9935	0	0	0	9	1	1	3	2	1	1	0	0	0	1	Wales	11	2	2	3	1	2	1/1/1540 00:00:00		0	1	0	0	0	0	2	4	0	2							0
170008		0	24	1989	2	1	1	5	2		6	9955	0	0	0	9	1	1	6	6	1	1	0	0	2	1	Wales	11	6	5	3	1	0	1/1/1540 00:00:00		0	0	0	0	0	0	2	4	0	2							0
170009		0	24	1989	2	0	1	1	5		7	9955	0	1	4	1	2	1	2	2	0	1	4	0	0	1	Wales	11	2	4	2	2	8	1/1/1540 00:00:00		0	0	0	0	0	0	2	4	0	2							0
170010		0	24	1989	2	0	0	5	1		5	9935	0	0	2	1	1	1	5	5	0	1	0	1	0	1	Wales	11	5	4	1	1	4	3/1/1540 00:00:00		0	1	0	0	0	0	2	6	0	2							0
170011		0	24	1989	3	1	1	5	2		3	9955	0	0	6	2	1	1	4	4	1	1	0	0	0	1	Wales	11	4	2	3	1	2	9/1/1540 00:00:00		0	1	0	0	0	0	2	5	0	2							0
170012		0	24	1989	3	1	1	5	2		7	9935	0	0	4	6	2	1	5	5	1	1	0	0	0	1	Wales	11	5	4	3	1	4	10/1/1540 00:00:00		0	0	0	0	0	0	2	6	1	2							0
170013		0	24	1989	3	1	1	5	1		1	1044	0	2	0	9	2	1	4	4	1	0	0	0	0	1	Wales	11	4	1	1	1	1	10/1/1540 00:00:00		0	1	0	0	0	0	2	6	1	2							0
170014		0	24	1989	3	0	1	5	2		7	9935	0	0	0	9	2	1	6	6	1	1	0	2	2	1	Wales	11	6	4	3	1	4	9/1/1540 00:00:00		0	0	0	0	0	0	2	5	0	2							0
170015		0	24	1989	3	0	0	6	3		3	9955	0	0	7	2	2	1	2	2	1	1	1	0	0	1	Wales	11	2	2	4	3	10	8/1/1540 00:00:00		0	1	0	0	0	0	2	4	0	2							0
170016		0	24	1989	3	0	1	1	4		4	9935	0	0	0	9	1	1	5	4	2	1	1	0	0	1	Wales	11	4	3	10	7	27	9/1/1540 00:00:00		0	2	0	0	0	0	2	5	0	2							1
170017		0	24	1989	3	0	1	1	5		5	2422	0	1	4	2	2	1	2	2	0	1	4	0	0	1	Wales	11	2	4	2	2	8	10/1/1540 00:00:00		0	1	0	0	0	0	2	6	0	2							0
170018		0	24	1989	3	1	1	5	4		4	9955	0	0	0	9	1	1	4	4	2	2	0	0	0	1	Wales	11	4	3	9	1	3	21/1/1540 00:00:00		0	1	0	0	0	0	2	3	0	2							0
170019		0	24	1989	3	1	1	6	6		4	9935	0	0	5	2	1	1	3	3	1	1	4	0	0	1	Wales	11	3	3	7	6	23	21/1/1540 00:00:00		0	1	0	0	0	0	2	3	0	2							0
170020		0	24	1989	4	0	1	6	4		4	9935	0	0	6	2	1	1	3	3	1	1	2	0	0	2	Wales	11	3	3	5	4	15	24/1/1540 00:00:00		0	2	0	0	0	0	2	2	0	2							0
170021		0	24	1989	4	1	1	5	3		4	2221	0	1	0	9	2	1	5	5	2	1	0	0	0	2	Wales	11	5	3	8	1	3	25/1/1540 00:00:00		0	2	0	0	0	0	2	3	0	2							0
170022		0	24	1989	4	0	1	1	1		7	1544	0	2	3	1	2	1	7	7	0	1	0	0	1	2	Wales	11	7	4	1	1	4	23/1/1540 00:00:00		0	0	0	0	0	0	2	3	2	2							0
170023		0	24	1989	4	0	1	6	2		3	9955	0	0	0	9	1	1	5	5	1	1	0	0	0	2	Wales	11	5	2	3	1	2	23/1/1540 00:00:00		0	1	0	0	0	0	2	1	0	2							0
