hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
232305		0	19	1996	1	1	1	6	4		3		500		7	6	2	1	2	3	1	1	2	0	0	1	Wales	11	3	2	5	4	14	1/1/1936 00:00:00		0	1	0	0	0	1	2	2	0	2	0	2					0
232306		0	19	1996	1	1	1	5	2		5		800		4	5	2	1	5	5	1	1	0	0	0	1	Wales	11	5	4	3	1	4	1/1/1936 00:00:00		0	1	0	0	0	1	2	2	0	2	0	5					0
232307		0	19	1996	1	0	1	5	1		8		1		0	9	1	1	7	7	0	1	0	1	1	1	Wales	11	7	5	1	1	0	1/1/1936 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					0
232308		0	19	1996	1	1	1	1	4		4		956		6	5	2	1	3	3	1	1	2	0	0	1	Wales	11	3	3	5	4	15	4/1/1936 00:00:00		0	2	0	0	0	1	2	5	0	2	0	2					0
232309		0	19	1996	1	1	1	5	4		4		502		0	5	2	1	5	4	2	2	0	0	0	1	Wales	11	4	3	9	1	3	2/1/1936 00:00:00		0	3	0	0	0	1	2	6	0	2	0	2					0
232310		0	19	1996	1	1	1	5	1		8		1		1	1	1	1	6	6	0	1	0	1	1	1	Wales	11	6	5	1	1	0	8/1/1936 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					0
232311		0	19	1996	1	0	1	5	1		8		1		1	5	1	1	6	6	1	0	0	1	1	1	Wales	11	6	5	1	1	0	2/1/1936 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
232312		0	19	1996	1	1	1	6	3		4		293		8	2	2	1	2	2	1	1	1	0	0	1	Wales	11	2	3	4	3	11	2/1/1936 00:00:00		0	2	0	0	0	2	2	3	0	2	0	3					0
232313		0	19	1996	1	1	1	6	4		3		569		7	5	2	1	2	2	1	1	2	0	0	1	Wales	11	2	2	5	4	14	2/1/1936 00:00:00		0	2	0	0	0	2	2	3	0	2	0	5					0
232314		0	19	1996	1	1	1	6	2		5		4		0	5	2	1	3	3	1	1	0	0	0	1	Wales	11	3	4	3	1	4	9/1/1936 00:00:00		0	1	0	0	0	0	1	2	0	2	0	0					1
232315		0	19	1996	1	1	1	6	4		4		899		7	5	2	1	2	2	1	1	2	0	0	1	Wales	11	2	3	5	4	15	2/1/1936 00:00:00		0	2	0	0	0	2	2	3	2	2	0	5					0
232316		0	19	1996	1	1	1	6	2		3		111		8	2	2	1	3	2	1	1	0	0	0	1	Wales	11	2	2	3	1	2	4/1/1936 00:00:00		0	2	0	0	0	2	2	5	0	2	0	5					0
232317		0	19	1996	1	0	1	5	1		8		1		2	2	1	1	6	6	1	0	0	1	1	1	Wales	11	6	5	1	1	0	2/1/1936 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
232318		1	1001	1996	1	1	1	1	2		7		4		3	1	1	1	5	5	1	1	0	0	1	1	Scotland	12	5	4	3	1	4	9/1/1936 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
232319		1	1001	1996	1	0	1	1	3		7		6		2	1	1	1	2	2	0	1	2	0	0	1	Scotland	12	2	4	2	2	8	8/1/1936 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					0
232320		1	1001	1996	1	1	1	1	1		7		4		1	6	1	1	2	2	1	0	0	0	0	1	Scotland	12	2	4	1	1	4	9/1/1936 00:00:00		0	0	0	0	0	0	1	3	2	2	0	0					0
