hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
180001		0	6	1990	1	0	1	1	5		4	2394	0	2	7	1	2	1	2	2	1	1	3	0	0	1	Wales	11	2	3	6	5	19	21/1/1540 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
180002		0	6	1990	1	1	1	5	3		3	2422	0	1	0	9	2	1	3	3	1	1	1	0	0	1	Wales	11	3	2	4	3	10	22/1/1540 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
180003		0	6	1990	1	0	0	1	2		7	9945	0	0	3	6	1	1	5	5	0	2	0	0	0	1	Wales	11	5	4	3	1	4	21/1/1540 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
180004		0	6	1990	1	1	1	1	2		8	9935	0	0	3	1	2	1	6	6	1	1	0	2	2	1	Wales	11	6	5	3	1	0	21/1/1540 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
180005		0	6	1990	1	1	1	6	2		4	2524	0	0	4	1	1	1	3	3	0	1	1	0	0	1	Wales	11	3	3	2	2	7	23/1/1540 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
180006		0	6	1990	1	1	1	5	3		7	9945	0	1	4	2	2	1	5	4	2	1	0	0	0	1	Wales	11	4	4	8	1	4	22/1/1540 00:00:00		0	0	0	0	0	0	1	2	0	2	0	0					0
180007		0	6	1990	1	1	1	6	1		8	9935	0	0	1	1	1	1	7	7	0	1	0	1	1	1	Wales	11	7	5	1	1	0	23/1/1540 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
180008		0	6	1990	1	0	1	1	1		7	9945	0	0	2	2	1	1	5	5	0	1	0	0	0	1	Wales	11	5	4	1	1	4	21/1/1540 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
180009		0	6	1990	1	0	0	1	1		5	9935	0	0	3	1	1	1	7	7	1	0	0	1	1	1	Wales	11	7	4	1	1	4	21/1/1540 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					0
180010		0	6	1990	1	0	0	5	1		7	9935	0	0	2	1	1	1	7	7	0	1	0	1	1	1	Wales	11	7	4	1	1	4	21/1/1540 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
