hhno	Pregnancy_in_household	Child(ren)_under_2
180001	No	No
180002	No	No
180003	No	No
180004	No	No
180005	No	No
180006	No	No
180007	No	No
180008	No	No
180009	No	No
180010	No	No
180011	No	No
180012	No	No
180013	No	No
180014	No	No
180015	No	No
180016	No	Yes
180017	No	No
180018	No	Yes
180019	No	No
180020	No	No
180021	No	No
180022	No	No
180023	No	No
180024	No	No
180025	No	No
180026	No	No
180027	No	No
180028	No	No
180029	No	No
180030	No	No
180031	No	No
180032	No	No
180033	No	No
180034	No	No
180035	No	No
180036	No	No
180037	No	No
180038	No	No
180039	No	No
180040	No	No
180041	No	No
180042	No	No
180043	No	No
180044	No	No
180045	No	No
180046	No	No
180047	No	No
180048	No	No
180049	No	No
180050	No	No
180051	No	No
180052	No	No
180053	No	No
180054	No	No
180055	No	No
180056	No	No
180057	No	No
180058	No	No
180059	No	No
180060	No	No
180061	No	No
180062	No	No
180063	No	No
180064	No	No
180065	No	No
180066	No	No
180067	No	No
180068	No	No
180069	No	No
180070	No	No
180071	No	No
180072	No	No
180073	No	No
180074	No	No
180075	No	No
180076	No	No
180077	No	No
180078	No	No
180079	No	No
180080	No	No
180081	No	No
180082	No	No
180083	No	No
180084	No	No
180085	No	No
180086	No	No
180087	No	No
180088	No	No
180089	No	No
180090	No	No
180091	No	No
180092	No	No
180093	No	No
180094	No	No
180095	No	No
180096	No	No
180097	No	No
180098	No	No
180099	No	No
180100	No	No
180101	No	No
180102	No	No
180103	No	No
180104	No	No
180105	No	No
180106	No	No
180107	No	No
180108	No	No
180109	No	No
180110	No	No
180111	No	No
180112	No	No
180113	No	Yes
180114	Yes	Yes
180115	No	No
180116	No	No
180117	No	No
180118	No	No
180119	No	No
180120	No	No
180121	No	No
180122	No	No
180123	No	No
180124	No	No
180125	No	No
180126	No	No
180127	No	No
180128	No	Yes
180129	No	No
180130	No	No
180131	No	No
180132	No	No
180133	No	No
180134	No	No
180135	No	No
180136	No	Yes
180137	No	No
180138	No	No
180139	No	No
180140	No	No
180141	No	No
180142	No	No
180143	No	No
180144	No	No
180145	No	No
180146	No	No
180147	No	No
180148	No	No
180149	No	No
180150	No	No
180151	No	No
180152	No	No
180153	No	Yes
180154	No	No
180155	No	No
180156	No	No
180157	No	No
180158	No	No
180159	No	No
180160	No	No
180161	No	No
180162	No	No
180163	No	No
180164	No	No
180165	No	No
180166	No	No
180167	No	No
180168	No	No
180169	No	No
180170	No	No
180171	No	No
180172	No	No
180173	No	No
180174	No	No
180175	No	No
180176	No	No
180177	No	No
180178	No	No
180179	No	No
180180	No	No
180181	No	No
180182	No	No
180183	No	No
180184	No	No
180185	No	No
180186	No	No
180187	No	No
180188	No	No
180189	No	No
180190	No	No
180191	No	No
180192	No	No
180193	No	Yes
180194	No	No
180195	No	No
180196	No	No
180197	No	No
180198	No	No
180199	No	No
180200	No	No
180201	No	No
180202	No	No
180203	No	No
180204	No	Yes
180205	No	Yes
180206	No	No
180207	No	No
180208	No	No
180209	No	No
180210	No	Yes
