hhno	Pregnancy_in_household	Child(ren)_under_2
160001	No	No
160002	No	No
160003	No	No
160004	No	No
160005	No	No
160006	Yes	No
160007	No	No
160008	No	No
160009	No	No
160010	No	No
160011	No	No
160012	No	No
160013	No	No
160014	No	No
160015	No	No
160016	No	No
160017	No	No
160018	No	No
160019	No	No
160020	No	No
160021	No	No
160022	No	No
160023	No	No
160024	No	No
160025	No	No
160026	No	No
160027	No	No
160028	No	No
160029	No	No
160030	No	Yes
160031	No	No
160032	No	No
160033	No	No
160034	No	No
160035	No	No
160036	No	No
160037	No	No
160038	No	No
160039	No	No
160040	No	No
160041	No	No
160042	No	No
160043	No	No
160044	No	No
160045	No	No
160046	No	No
160047	No	No
160048	No	No
160049	No	No
160050	No	Yes
160051	No	No
160052	No	No
160053	No	No
160054	No	No
160055	No	No
160056	No	No
160057	No	No
160058	No	No
160059	No	No
160060	No	No
160061	No	No
160062	No	No
160063	No	No
160064	No	No
160065	No	No
160066	No	Yes
160067	No	No
160068	No	No
160069	No	No
160070	No	No
160071	No	No
160072	No	No
160073	No	No
160074	No	No
160075	No	No
160076	No	No
160077	No	No
160078	No	Yes
160079	No	No
160080	No	No
160081	No	No
160082	No	No
160083	No	No
160084	No	No
160085	No	No
160086	No	No
160087	No	No
160088	No	No
160089	No	Yes
160090	No	No
160091	No	No
160092	No	No
160093	No	No
160094	No	No
160095	No	Yes
160096	No	No
160097	No	No
160098	No	No
160099	No	No
160100	No	No
160101	No	No
160102	No	No
160103	No	No
160104	No	Yes
160105	No	No
160106	No	No
160107	No	No
160108	No	No
160109	No	No
160110	No	No
160111	No	No
160112	No	No
160113	No	No
160114	No	No
160115	No	No
160116	No	No
160117	No	No
160118	No	No
160119	No	No
160120	No	No
160121	No	No
160122	No	No
160123	No	No
160124	No	No
160125	No	No
160126	No	No
160127	No	No
160128	No	No
160129	No	No
160130	No	No
160131	No	No
160132	No	No
160133	No	No
160134	No	No
160135	No	No
160136	No	No
160137	No	No
160138	No	No
160139	No	No
160140	No	No
160141	No	No
160142	No	No
160143	No	No
160144	No	No
160145	No	No
160146	No	No
160147	No	No
160148	No	No
160149	No	No
160150	No	No
160151	No	No
160152	No	No
160153	No	Yes
160154	No	Yes
160155	No	No
160156	No	Yes
160157	No	Yes
160158	No	No
160159	No	No
160160	No	No
160161	No	Yes
160162	No	No
160163	No	No
160164	No	Yes
160165	No	No
160166	No	No
160167	No	No
160168	No	Yes
160169	No	No
160170	No	No
160171	No	No
160172	No	No
160173	No	Yes
160174	No	No
160175	No	No
160176	No	No
160177	No	No
160178	No	No
160179	No	No
160180	No	No
160181	No	No
160182	No	No
160183	No	No
160184	No	No
160185	No	No
160186	No	No
160187	No	No
160188	No	No
160189	No	No
160190	No	No
160191	No	No
160192	No	No
160193	No	No
160194	No	No
160195	No	No
160196	No	No
160197	No	No
160198	No	No
160199	No	No
160200	No	No
160201	No	No
160202	No	No
160203	No	No
160204	No	Yes
160205	No	No
160206	No	No
160207	No	No
160208	No	No
160209	No	No
160210	No	No
160211	No	No
160212	No	No
160213	No	Yes
160214	No	Yes
160215	No	No
160216	No	Yes
160217	No	No
160218	No	No
160219	No	Yes
160220	No	No
160221	No	No
160222	No	No
160223	No	No
160224	No	No
160225	No	No
160226	No	No
160227	No	No
160228	No	No
160229	No	No
160230	No	No
160231	No	No
160232	No	No
160233	No	No
160234	No	No
160235	No	Yes
160236	No	No
160237	No	No
160238	No	No
160239	No	No
160240	No	No
160241	No	No
160242	No	No
160243	No	No
160244	No	No
160245	No	No
160246	No	No
160247	No	No
160248	No	No
160249	No	No
160250	No	No
160251	No	No
160252	No	No
160253	No	No
160254	No	No
160255	No	No
160256	No	No
160257	No	No
160258	No	No
160259	No	No
160260	No	No
160261	No	No
160262	No	No
160263	No	No
160264	Yes	No
160265	No	No
160266	No	No
160267	No	No
160268	No	No
160269	No	No
160270	No	No
160271	No	No
160272	No	No
160273	No	No
160274	No	No
160275	No	Yes
160276	No	No
160277	No	No
160278	No	No
160279	No	No
160280	No	No
160281	No	No
160282	No	No
160283	No	No
160284	No	No
160285	No	No
160286	No	No
160287	No	No
160288	No	No
160289	No	No
160290	No	Yes
160291	No	No
160292	No	No
160293	No	No
160294	No	No
160295	No	No
160296	No	No
160297	No	No
160298	No	No
160299	No	No
160300	No	No
160301	No	No
160302	No	No
160303	No	Yes
160304	No	No
160305	No	No
160306	No	No
160307	No	No
160308	No	No
160309	No	No
160310	No	No
160311	No	No
160312	No	No
160313	No	No
160314	No	No
160315	No	No
160316	No	No
160317	No	No
160318	No	No
160319	No	No
160320	No	No
160321	No	No
160322	No	No
160323	No	No
160324	No	No
160325	No	No
160326	No	No
160327	No	No
160328	No	No
160329	No	No
160330	No	No
160331	No	No
160332	No	No
160333	No	No
160334	No	No
160335	No	No
160336	No	No
160337	No	No
160338	No	No
160339	No	No
160340	No	No
160341	No	No
160342	No	No
160343	No	No
160344	No	No
160345	No	No
160346	No	No
160347	No	Yes
160348	No	No
160349	No	No
160350	No	No
160351	No	Yes
160352	No	No
160353	No	No
160354	No	No
160355	No	No
160356	No	No
160357	No	No
160358	No	No
160359	No	No
160360	No	No
160361	No	No
160362	No	No
160363	No	No
160364	No	No
160365	No	No
160366	No	No
160367	No	No
160368	No	No
160369	No	No
160370	No	No
160371	No	No
160372	No	Yes
160373	No	No
160374	No	No
160375	No	Yes
160376	No	No
160377	No	No
160378	No	No
160379	No	No
160380	No	No
160381	No	No
160382	No	No
160383	No	No
160384	No	No
160385	No	No
160386	No	Yes
160387	No	No
160388	No	No
160389	No	No
160390	No	No
160391	No	No
160392	No	No
160393	No	Yes
160394	No	Yes
160395	No	No
160396	No	No
160397	No	No
160398	No	No
160399	No	No
160400	No	No
160401	No	No
160402	No	No
160403	No	No
160404	No	No
160405	No	No
160406	No	No
160407	No	No
160408	No	No
160409	No	No
160410	No	No
160411	No	No
160412	No	No
160413	No	No
160414	No	No
160415	No	No
160416	No	No
160417	No	No
160418	No	No
160419	No	No
160420	No	No
160421	No	No
160422	No	Yes
160423	No	No
160424	No	No
160425	No	No
160426	No	No
160427	No	No
160428	No	No
160429	No	No
160430	No	No
160431	No	No
160432	No	Yes
160433	No	No
160434	No	Yes
160435	No	No
160436	No	No
160437	No	No
160438	No	No
160439	No	No
160440	No	No
160441	No	No
160442	No	No
160443	No	No
160444	No	No
160445	No	No
160446	No	No
160447	No	No
160448	No	No
160449	No	No
160450	No	Yes
160451	No	No
160452	No	No
160453	No	No
160454	No	No
160455	No	Yes
160456	No	No
160457	No	No
160458	No	No
160459	No	No
160460	No	No
160461	No	No
160462	No	No
160463	No	No
160464	No	No
160465	No	No
160466	No	No
160467	No	No
160468	No	No
160469	No	No
160470	No	No
160471	No	No
160472	No	No
160473	No	No
160474	No	No
160475	No	No
160476	No	No
160477	No	No
160478	No	No
160479	No	Yes
160480	No	No
160481	No	No
160482	No	No
160483	No	No
160484	No	No
160485	Yes	No
160486	No	No
160487	No	No
160488	No	No
160489	No	Yes
160490	Yes	No
160491	No	No
160492	No	No
160493	No	No
160494	No	No
160495	No	No
160496	No	No
160497	No	No
160498	No	No
160499	No	No
160500	No	No
160501	No	No
160502	No	No
160503	No	No
160504	No	No
160505	No	No
160506	No	No
160507	No	No
160508	No	No
160509	No	No
160510	No	No
