hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
211889		6	6032	1993	6	1	0	5	2		3	101	0	2	0	9	1	1	3	3	1	1	0	0	0	2	England	6	3	2	3	1	2	7/6/1933 00:00:00		0	1	2353	0	1	0	2	2	2	2	2	0					0
211890		7	7009	1993	6	0	0	5	3		4	9955	0	1	8	6	2	1	5	5	2	1	0	0	0	2	England	10	5	3	8	1	3	4/6/1933 00:00:00		0	2	2244	0	1	0	2	6	0	2	3	0					0
211891		7	7009	1993	6	0	1	5	2		6	9955	0	1	0	9	1	1	7	7	2	0	0	0	2	2	England	10	7	5	3	1	0	2/6/1933 00:00:00		0	0	0	0	0	0	2	4	0	2	0	0					0
211892		7	7009	1993	6	1	1	6	4		3	741	0	2	8	7	2	1	2	3	1	1	2	0	0	2	England	10	3	2	5	4	14	2/6/1933 00:00:00		0	1	0	0	0	0	2	4	0	2	0	0					0
211893		7	7009	1993	6	0	1	6	2		4	2144	0	1	7	6	2	1	3	2	1	1	0	0	0	2	England	10	2	3	3	1	3	2/6/1933 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
211894		7	7009	1993	6	0	1	5	1		6	9955	0	1	0	9	1	1	7	7	1	0	0	0	1	2	England	10	7	5	1	1	0	2/6/1933 00:00:00		0	0	0	0	0	0	2	4	0	2	0	0					0
211895		7	7032	1993	6	1	1	6	2		3	2524	0	1	0	9	2	1	2	2	1	1	0	0	0	2	England	10	2	2	3	1	2	4/6/1933 00:00:00		0	2	0	0	0	0	2	7	0	2	0	0					0
211896		7	7032	1993	6	1	1	5	2		7	9935	0	1	0	9	2	1	6	5	1	1	0	2	1	2	England	10	5	4	3	1	4	4/6/1933 00:00:00		0	0	0	0	0	0	2	6	0	2	0	0					0
211897		7	7032	1993	6	0	1	5	2		5	9935	0	1	5	5	2	1	6	6	1	1	0	2	2	2	England	10	6	4	3	1	4	7/6/1933 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
211898		8	8053	1993	6	1	1	4	3		2	2514	0	1	0	9	1	1	5	5	2	1	0	0	0	2	England	7	5	1	8	1	1	3/6/1933 00:00:00		0	3	0	0	0	0	2	5	0	2	0	0					0
211899		8	8053	1993	6	1	1	6	3		4	2144	0	1	0	9	2	1	4	4	1	1	1	0	0	2	England	7	4	3	4	3	11	5/6/1933 00:00:00		0	2	0	0	0	0	2	7	0	2	0	0					0
211900		8	8053	1993	6	0	0	1	2		7	9955	0	1	4	2	2	1	5	5	1	1	0	1	0	2	England	7	5	4	3	1	4	2/6/1933 00:00:00		0	0	0	0	0	0	2	4	0	2	0	0					0
211901		8	8053	1993	6	0	1	5	1		7	9935	0	1	0	9	1	1	6	6	0	1	0	1	1	2	England	7	6	4	1	1	4	10/6/1933 00:00:00		0	0	0	0	0	0	2	5	0	2	0	0					0
211902		9	9010	1993	6	1	1	1	4		4	1554	0	3	0	9	2	1	3	3	1	2	1	1	1	2	England	7	3	3	10	7	27	6/6/1933 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
211903		9	9010	1993	6	1	1	6	4		4	1644	0	2	8	1	2	1	3	3	1	1	2	0	0	2	England	7	3	3	5	4	15	3/6/1933 00:00:00		0	2	0	0	0	0	2	5	0	2	0	0					0
211904		9	9010	1993	6	0	0	1	3		7	9945	0	1	0	9	1	1	4	4	1	1	1	0	0	2	England	7	4	4	4	3	12	3/6/1933 00:00:00		0	0	0	0	0	0	2	5	0	2	0	0					0
211905		9	9038	1993	6	0	1	5	2		6	9955	0	1	8	9	2	1	6	6	1	1	0	1	2	2	England	7	6	5	3	1	0	7/6/1933 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
211906		9	9038	1993	6	1	1	2	3		4	154	0	3	0	9	2	1	6	6	1	2	0	1	2	2	England	7	6	3	8	1	3	7/6/1933 00:00:00		0	2	1344	0	2	0	2	2	0	2	3	0					0
211907		9	9038	1993	6	0	1	5	3		6	9955	0	1	0	9	2	1	7	7	2	1	0	1	2	2	England	7	7	5	8	1	0	6/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
211908		9	9038	1993	6	1	1	6	3		2	2522	0	1	9	7	2	1	3	4	1	1	1	0	0	2	England	7	4	1	4	3	9	6/6/1933 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					0
211909		9	9051	1993	6	1	1	2	4		7	9945	0	1	4	2	1	1	3	3	0	1	3	0	0	2	England	9	3	4	2	2	8	6/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					1
211910		9	9051	1993	6	1	1	6	6		4	2244	0	1	7	4	1	1	4	4	1	2	3	0	0	2	England	9	4	3	11	7	27	2/6/1933 00:00:00		0	3	0	0	0	0	2	4	0	2	0	0					0
211911		9	9051	1993	6	1	1	2	2		4	2144	0	1	9	6	1	1	2	2	0	2	0	0	0	2	England	9	2	3	3	1	3	3/6/1933 00:00:00		0	2	0	0	0	0	2	5	0	2	0	0					0
211912		9	9051	1993	6	1	1	6	2		2	2422	0	1	10	4	2	1	3	3	1	1	0	0	0	2	England	9	3	1	3	1	1	2/6/1933 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
211913		9	9051	1993	6	1	1	6	2		3	2244	0	1	10	4	1	1	2	2	1	1	0	0	0	2	England	9	2	2	3	1	2	6/6/1933 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
211914		9	9077	1993	6	1	1	6	3		3	841	0	2	9	2	2	1	4	3	1	1	1	0	0	2	England	7	3	2	4	3	10	2/6/1933 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
211915		9	9077	1993	6	1	1	6	5		3	2342	0	1	10	5	2	1	3	2	1	1	3	0	0	2	England	7	2	2	6	5	18	4/6/1933 00:00:00		0	1	0	0	0	0	2	6	0	2	0	0					0
211916		9	9077	1993	6	1	1	6	3		4	2544	0	1	0	9	2	1	4	4	1	1	1	0	0	2	England	7	4	3	4	3	11	3/6/1933 00:00:00		0	2	0	0	0	0	2	5	0	2	0	0					0
211917		9	9077	1993	6	0	1	6	2		3	2544	0	1	0	9	2	1	4	4	1	1	0	0	0	2	England	7	4	2	3	1	2	7/6/1933 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
211918		9	9077	1993	6	1	1	2	3		3	1941	0	1	0	9	2	1	4	4	2	1	0	0	0	2	England	7	4	2	8	1	2	3/6/1933 00:00:00		0	3	0	0	0	0	2	5	0	2	0	0					0
211919		9	9096	1993	6	1	1	1	1		8	9935	0	1	0	9	1	1	7	7	0	1	0	1	1	2	England	9	7	5	1	1	0	2/6/1933 00:00:00		0	0	0	0	0	0	2	4	2	2	0	0					0
211920		9	9096	1993	6	0	1	5	2		6	9955	0	1	0	9	2	1	7	7	1	1	0	0	2	2	England	9	7	5	3	1	0	2/6/1933 00:00:00		0	0	0	0	0	0	2	4	0	2	0	0					0
211921		9	9096	1993	6	1	1	5	2		3	2422	0	1	9	1	2	1	5	5	1	1	0	0	0	2	England	9	5	2	3	1	2	6/6/1933 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
211922		9	9096	1993	6	0	1	5	2		8	9935	0	1	3	6	2	1	6	6	1	1	0	2	2	2	England	9	6	5	3	1	0	8/6/1933 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
211923		9	9509	1993	6	1	1	5	2		8	9935	0	1	5	5	2	1	6	6	1	1	0	2	2	2	England	8	6	5	3	1	0	2/6/1933 00:00:00		0	0	0	0	0	0	2	4	0	2	0	0					0
211924		9	9509	1993	6	1	1	6	2		2	2524	0	1	10	6	2	1	2	2	1	1	0	0	0	2	England	8	2	1	3	1	1	2/6/1933 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
211925		9	9517	1993	6	1	1	6	5		4	841	0	2	6	2	2	1	2	2	1	1	3	0	0	2	England	8	2	3	6	5	19	2/6/1933 00:00:00		0	1	0	0	0	0	2	4	0	2	0	0					0
211926		9	9517	1993	6	1	1	1	2		4	2144	0	1	5	6	1	1	3	3	1	1	0	0	0	2	England	8	3	3	3	1	3	4/6/1933 00:00:00		0	2	0	0	0	0	2	6	0	2	0	0					0
211927		9	9517	1993	6	1	1	6	1		3	2422	0	1	7	1	1	1	2	2	0	1	0	0	0	2	England	8	2	2	1	1	2	7/6/1933 00:00:00		0	1	0	0	0	0	2	2	2	2	0	0					0
211928		9	9527	1993	6	1	1	6	5		1	2514	0	1	10	7	2	1	3	3	1	2	2	0	0	2	England	8	3	1	10	7	25	2/6/1933 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
211929		9	9527	1993	6	1	1	5	2		6	9955	0	1	0	9	1	1	7	7	1	1	0	1	2	2	England	8	7	5	3	1	0	2/6/1933 00:00:00		0	0	0	0	0	0	2	5	0	2	0	0					0
211930		0	3	1993	6	0	1	5	1		8	9935	0	1	0	9	1	1	6	6	0	1	0	1	1	2	Wales	11	6	5	1	1	0	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
211931		0	3	1993	6	1	0	5	1		8	9935	0	1	0	9	1	1	7	7	0	1	0	1	1	2	Wales	11	7	5	1	1	0	15/6/1933 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
211932		0	3	1993	6	1	1	5	6		7	9945	0	1	0	9	2	1	5	3	1	1	4	0	0	2	Wales	11	3	4	7	6	24	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
211933		0	3	1993	6	0	1	4	1		8	9935	0	1	1	2	1	1	7	7	0	1	0	1	1	2	Wales	11	7	5	1	1	0	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
211934		0	3	1993	6	1	1	5	1		8	9935	0	1	0	9	1	1	6	6	0	1	0	1	1	2	Wales	11	6	5	1	1	0	15/6/1933 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
211935		0	3	1993	6	0	0	5	1		8	9935	0	1	1	1	1	1	7	7	0	1	0	1	1	2	Wales	11	7	5	1	1	0	14/6/1933 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					1
211936		0	25	1993	6	1	1	6	2		2	9985	0	1	0	9	2	2	4	4	1	1	0	0	0	2	Wales	11	4	1	3	1	1	13/6/1933 00:00:00		0	1	2514	0	1	0	2	1	0	2	1	0					0
211937		0	25	1993	6	1	1	2	4		4	154	0	3	0	9	2	1	3	3	1	1	2	0	0	2	Wales	11	3	3	5	4	15	17/6/1933 00:00:00		0	2	0	0	0	0	2	6	0	2	0	0					0
211938		0	25	1993	6	1	1	4	4		3	841	0	2	10	6	2	1	4	4	1	2	1	0	0	2	Wales	11	4	2	10	7	26	15/6/1933 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
211939		0	25	1993	6	1	1	6	1		2	2422	0	1	9	7	1	1	5	5	1	0	0	0	0	2	Wales	11	5	1	1	1	1	20/6/1933 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
211940		0	25	1993	6	1	1	5	2		8	9935	0	1	3	1	2	1	6	5	1	1	0	2	1	2	Wales	11	5	5	3	1	0	15/6/1933 00:00:00		0	0	0	0	0	0	2	4	0	2	0	0					0
211941		1	1007	1993	6	0	1	5	3		5	9935	0	1	5	5	2	1	7	5	0	3	0	1	1	2	Scotland	12	5	4	8	1	4	13/6/1933 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					1
211942		1	1007	1993	6	0	1	1	2		4	9965	0	1	6	1	2	1	2	2	1	1	0	0	0	2	Scotland	12	2	3	3	1	3	14/6/1933 00:00:00		0	2	2144	0	1	0	2	2	0	2	1	0					0
211943		1	1007	1993	6	1	1	6	2		4	744	0	2	7	1	2	1	2	2	1	1	0	0	0	2	Scotland	12	2	3	3	1	3	14/6/1933 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
211944		1	1007	1993	6	1	1	1	3		4	1944	0	1	0	9	2	1	2	2	1	1	1	0	0	2	Scotland	12	2	3	4	3	11	14/6/1933 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
211945		1	1007	1993	6	0	1	1	3		5	9945	0	1	5	1	2	1	5	3	2	1	0	0	0	2	Scotland	12	3	4	8	1	4	13/6/1933 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
211946		1	1007	1993	6	0	1	6	2		8	9935	0	1	2	1	1	1	6	6	1	1	0	2	2	2	Scotland	12	6	5	3	1	0	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	2	2	0	0					0
211947		1	1007	1993	6	1	1	1	1		5	9945	0	1	2	1	1	1	5	5	0	1	0	0	0	2	Scotland	12	5	4	1	1	4	13/6/1933 00:00:00		0	1	0	0	0	0	2	1	2	2	0	0					0
211948		1	1007	1993	6	1	1	5	1		6	9945	0	1	4	1	1	1	5	5	0	1	0	0	0	2	Scotland	12	5	5	1	1	0	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
211949		1	1007	1993	6	1	1	1	3		5	9945	0	1	5	1	2	1	5	5	2	1	0	0	0	2	Scotland	12	5	4	8	1	4	14/6/1933 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					1
211950		1	1026	1993	6	0	1	6	3		2	2422	0	1	0	9	2	1	4	4	1	1	1	0	0	2	Scotland	12	4	1	4	3	9	13/6/1933 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					0
211951		1	1026	1993	6	0	1	5	2		6	9955	0	1	0	9	2	1	6	5	1	1	0	0	1	2	Scotland	12	5	5	3	1	0	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
211952		1	1026	1993	6	1	1	1	3		7	9945	0	1	2	1	2	1	1	1	1	1	1	0	0	2	Scotland	12	1	4	4	3	12	13/6/1933 00:00:00		0	0	0	0	0	0	1	1	0	2	0	0					1
211953		1	1026	1993	6	1	1	6	3		3	841	0	2	0	9	2	1	5	5	2	1	0	0	0	2	Scotland	12	5	2	8	1	2	13/6/1933 00:00:00		0	3	0	0	0	0	2	1	0	2	0	0					0
211954		1	1026	1993	6	1	1	6	2		4	2354	0	2	7	6	1	1	4	4	1	1	0	0	0	2	Scotland	12	4	3	3	1	3	14/6/1933 00:00:00		0	2	744	0	2	0	2	2	0	2	2	0					0
211955		1	1026	1993	6	0	1	5	2		2	9955	0	1	0	9	2	1	5	5	1	1	0	0	0	2	Scotland	12	5	1	3	1	1	15/6/1933 00:00:00		0	1	0	0	0	0	2	3	0	2	0	0					0
211956		1	1026	1993	6	1	1	5	1		7	9945	0	1	1	7	1	1	5	5	0	1	0	0	0	2	Scotland	12	5	4	1	1	4	17/6/1933 00:00:00		0	0	0	0	0	0	2	5	0	2	0	0					0
211957		1	1026	1993	6	1	1	6	2		3	754	0	2	0	9	2	1	3	2	1	1	0	0	0	2	Scotland	12	2	2	3	1	2	20/6/1933 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
211958		1	1026	1993	6	1	1	6	3		2	2514	0	1	0	9	2	1	4	3	2	1	0	0	0	2	Scotland	12	3	1	8	1	1	13/6/1933 00:00:00		0	3	0	0	0	0	2	1	0	2	0	0					1
211959		1	1026	1993	6	1	1	6	4		1	2511	0	1	0	9	2	1	3	3	1	1	2	0	0	2	Scotland	12	3	1	5	4	13	14/6/1933 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
211960		2	2002	1993	6	1	1	6	2		4	744	0	2	8	2	1	1	3	3	1	1	0	0	0	2	England	1	3	3	3	1	3	13/6/1933 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
