hhno	Pregnancy_in_household	Child(ren)_under_2
40001	No	No
40002	No	Yes
40003	No	No
40004	No	No
40005	No	No
40006	No	No
40007	No	No
40008	No	No
40009	No	No
40010	No	No
40011	No	No
40012	No	No
40013	No	No
40014	No	No
40015	No	Yes
40016	No	No
40017	No	No
40018	No	No
40019	No	No
40020	No	No
40021	No	No
40022	No	No
40023	No	No
40024	No	No
40025	No	No
40026	No	No
40027	No	No
40028	No	No
40029	No	No
40030	Yes	No
40031	No	Yes
40032	No	No
40033	No	Yes
40034	No	No
40035	No	No
40036	No	No
40037	No	No
40038	No	No
40039	No	No
40040	No	No
40041	No	No
40042	No	No
40043	No	No
40044	No	No
40045	No	No
40046	No	No
40047	No	No
40048	No	No
40049	No	No
40050	No	Yes
40051	No	No
40052	No	No
40053	No	No
40054	No	No
40055	No	No
40056	No	No
40057	No	No
40058	No	No
40059	No	No
40060	No	No
40061	No	No
40062	No	No
40063	No	No
40064	No	No
40065	No	No
40066	No	Yes
40067	No	No
40068	No	No
40069	No	No
40070	No	No
40071	No	No
40072	No	No
40073	No	No
40074	No	No
40075	No	Yes
40076	No	No
40077	No	No
40078	No	No
40079	No	No
40080	No	No
40081	No	No
40082	No	No
40083	No	No
40084	No	No
40085	No	No
40086	No	No
40087	No	No
40088	No	No
40089	No	No
40090	No	No
40091	No	Yes
40092	No	No
40093	No	No
40094	No	Yes
40095	No	Yes
40096	No	No
40097	No	No
40098	No	No
40099	No	No
40100	No	Yes
40101	No	No
40102	No	No
40103	No	No
40104	No	No
40105	No	No
40106	No	No
40107	No	No
40108	No	No
40109	No	No
40110	No	No
40111	No	Yes
40112	No	No
40113	No	No
40114	No	No
40115	No	No
40116	No	No
40117	No	Yes
40118	No	No
40119	No	No
40120	No	No
40121	No	No
40122	No	No
40123	No	No
40124	No	No
40125	Yes	No
40126	No	Yes
40127	No	Yes
40128	No	No
40129	No	No
40130	No	No
40131	No	No
40132	No	No
40133	No	No
40134	No	No
40135	No	Yes
40136	No	No
40137	No	No
40138	No	No
40139	No	No
40140	No	No
40141	No	Yes
40142	No	No
40143	No	No
40144	No	No
40145	No	No
40146	No	No
40147	No	No
40148	No	No
40149	No	No
40150	No	No
40151	No	No
40152	No	No
40153	No	No
40154	No	No
40155	No	No
40156	No	No
40157	No	No
40158	No	Yes
40159	No	No
40160	No	No
40161	No	No
40162	No	Yes
40163	No	No
40164	No	No
40165	No	No
40166	No	No
40167	No	No
40168	No	No
40169	No	No
40170	No	Yes
40171	No	No
40172	No	No
40173	No	No
40174	No	No
40175	No	No
40176	No	No
40177	No	No
40178	No	No
40179	No	No
40180	No	No
40181	No	No
40182	No	No
40183	No	No
40184	No	No
40185	No	No
40186	No	No
40187	No	No
40188	No	No
40189	Yes	No
40190	No	No
40191	No	No
40192	No	No
40193	No	No
40194	No	No
40195	No	No
40196	No	No
40197	No	No
40198	No	No
40199	No	No
40200	No	No
40201	No	No
40202	No	No
40203	No	No
40204	No	No
40205	No	Yes
40206	No	No
40207	No	No
40208	No	No
40209	No	No
40210	No	No
40211	No	No
40212	No	No
40213	No	Yes
40214	No	No
40215	No	No
40216	No	No
40217	No	No
40218	No	No
40219	No	No
40220	No	No
40221	No	No
40222	No	No
40223	No	No
40224	No	No
40225	No	No
40226	No	No
40227	Yes	No
40228	No	No
40229	No	Yes
40230	No	No
40231	No	No
40232	No	No
40233	No	No
40234	No	No
40235	No	No
40236	No	No
40237	No	No
40238	No	No
40239	No	No
40240	No	No
40241	No	No
40242	No	No
40243	No	No
40244	No	No
40245	No	No
40246	No	No
40247	No	No
40248	No	Yes
40249	No	No
40250	No	No
40251	No	No
40252	No	No
40253	No	No
40254	No	No
40255	No	No
40256	No	No
40257	No	No
40258	No	No
40259	No	No
40260	No	No
40261	No	No
40262	No	No
40263	No	No
40264	No	No
40265	No	No
40266	No	No
40267	No	No
40268	No	No
40269	No	No
40270	No	Yes
40271	No	No
40272	No	No
40273	No	No
40274	No	No
40275	No	No
40276	No	No
40277	No	No
40278	No	No
40279	No	Yes
40280	No	No
40281	No	No
40282	No	No
40283	No	No
40284	No	No
40285	No	No
40286	No	No
40287	No	No
40288	No	No
40289	No	No
40290	No	No
40291	No	No
40292	No	No
40293	No	No
40294	No	No
40295	No	Yes
40296	No	No
40297	No	No
40298	No	No
40299	No	No
40300	No	Yes
