hhno	Pregnancy_in_household	Child(ren)_under_2
208222	No	Yes
208223	No	No
208224	No	No
208225	No	No
208226	No	No
208227	No	No
208228	No	No
208229	No	No
208230	No	No
208231	No	No
208232	No	No
208233	No	No
208234	No	No
208235	No	No
208236	Yes	No
208237	No	No
208238	No	No
208239	No	No
208240	Yes	No
208241	Yes	No
208242	No	Yes
208243	No	No
208244	No	No
208245	No	No
208246	No	No
208247	No	No
208248	No	No
208249	No	No
208250	No	No
208251	No	No
208252	No	No
208253	No	No
208254	No	No
208255	No	No
208256	No	No
208257	No	No
208258	No	No
208259	No	No
208260	No	Yes
208261	No	Yes
208262	No	No
208263	No	No
208264	No	No
208265	No	No
208266	No	Yes
208267	No	No
208268	No	No
208269	No	No
208270	No	No
208271	No	No
208272	No	No
208273	No	No
208274	No	No
208275	No	No
208276	No	No
208277	No	No
208278	No	No
208279	No	No
208280	No	No
208281	No	No
208282	No	No
208283	No	No
208284	No	Yes
208285	No	No
208286	No	No
208287	No	No
208288	No	No
208289	No	No
208290	No	No
208291	No	No
208292	No	No
208293	No	No
208294	No	No
208295	No	No
208296	No	No
208297	No	No
208298	No	No
208299	No	No
208300	No	No
208301	No	No
208302	No	No
208303	No	No
208304	No	No
208305	No	No
208306	No	No
208307	No	No
208308	No	Yes
208309	No	No
208310	No	No
208311	No	No
208312	No	No
208313	No	No
208314	No	No
208315	No	No
208316	No	No
208317	No	No
208318	No	No
208319	No	No
208320	No	No
208321	No	No
208322	No	No
208323	No	No
208324	No	No
208325	No	No
208326	No	No
208327	No	No
208328	No	No
208329	No	No
208330	No	No
208331	No	No
208332	No	Yes
208333	No	No
208334	No	No
208335	No	No
208336	No	No
208337	No	No
208338	No	No
208339	No	No
208340	No	No
208341	No	No
208342	No	No
208343	No	No
208344	No	No
208345	No	No
208346	No	No
208347	No	No
208348	No	No
208349	No	Yes
208350	No	No
208351	No	No
208352	No	No
208353	No	No
208354	No	No
208355	No	Yes
208356	No	No
208357	No	No
208358	No	No
208359	No	No
208360	No	No
208361	No	No
208362	No	No
208363	No	No
208364	No	No
208365	No	No
208366	Yes	No
208367	No	No
208368	No	No
208369	No	No
208370	No	No
208371	No	No
208372	No	No
208373	No	No
208374	No	No
208375	No	Yes
208376	No	No
208377	No	No
208378	No	No
208379	No	No
208380	No	No
208381	No	No
208382	No	No
208383	No	No
208384	No	No
208385	No	No
208386	No	No
208387	No	No
208388	No	No
208389	No	No
208390	No	No
208391	No	No
208392	No	No
