hhno	Pregnancy_in_household	Child(ren)_under_2
30001	No	No
30002	No	No
30003	No	No
30004	No	No
30005	No	No
30006	No	No
30007	No	No
30008	No	No
30009	No	No
30010	No	No
30011	No	No
30012	No	No
30013	No	No
30014	No	No
30015	No	No
30016	Yes	No
30017	No	No
30018	No	No
30019	No	No
30020	No	No
30021	No	No
30022	No	No
30023	No	No
30024	No	No
30025	No	No
30026	No	No
30027	No	No
30028	No	No
30029	No	No
30030	No	No
30031	No	No
30032	No	No
30033	No	No
30034	No	No
30035	No	No
30036	No	No
30037	No	No
30038	No	No
30039	No	No
30040	No	No
30041	No	No
30042	No	No
30043	No	No
30044	No	No
30045	No	No
30046	No	No
30047	No	Yes
30048	No	No
30049	No	No
30050	No	No
30051	No	No
30052	No	No
30053	No	No
30054	No	No
30055	No	Yes
30056	No	No
30057	No	No
30058	No	No
30059	No	No
30060	No	No
30061	No	No
30062	No	No
30063	No	No
30064	No	No
30065	No	No
30066	No	Yes
30067	No	No
30068	No	No
30069	No	No
30070	No	No
30071	No	No
30072	No	No
30073	No	No
30074	No	No
30075	No	No
30076	No	No
30077	No	No
30078	No	Yes
30079	No	Yes
30080	No	No
30081	No	No
30082	No	No
30083	No	No
30084	No	No
30085	No	No
30086	No	Yes
30087	No	No
30088	No	No
30089	No	Yes
30090	No	No
30091	No	No
30092	No	No
30093	No	No
30094	No	No
30095	No	No
30096	Yes	No
30097	No	No
30098	No	No
30099	No	No
30100	No	No
30101	No	No
30102	No	No
30103	No	No
30104	No	No
30105	No	No
30106	No	No
30107	No	No
30108	No	No
30109	No	No
30110	No	No
30111	No	Yes
30112	No	No
30113	Yes	No
30114	No	No
30115	No	No
30116	No	No
30117	No	No
30118	No	No
30119	No	No
30120	No	No
30121	No	No
30122	No	No
30123	No	No
30124	No	No
30125	No	No
30126	No	No
30127	No	No
30128	No	No
30129	No	No
30130	No	No
30131	No	No
30132	No	No
30133	No	No
30134	No	No
30135	No	No
30136	No	No
30137	No	No
30138	No	No
30139	No	No
30140	No	No
30141	No	No
30142	No	No
30143	No	Yes
30144	No	No
30145	No	No
30146	No	No
30147	No	No
30148	No	Yes
30149	No	Yes
30150	No	No
30151	No	No
30152	No	No
30153	No	No
30154	No	No
30155	No	No
30156	No	No
30157	No	No
30158	No	No
30159	No	No
30160	No	No
30161	No	No
30162	No	No
30163	No	No
30164	No	No
30165	No	No
30166	No	No
30167	No	No
30168	No	No
30169	No	No
30170	No	No
30171	No	No
30172	No	No
30173	No	No
30174	No	No
30175	No	Yes
30176	No	No
30177	No	No
30178	No	No
30179	No	Yes
30180	No	No
30181	No	No
30182	No	No
30183	No	No
30184	No	No
30185	No	No
30186	No	No
30187	No	No
30188	No	Yes
30189	No	No
30190	No	No
30191	No	No
30192	No	No
30193	No	No
30194	No	No
30195	No	No
30196	No	Yes
30197	No	No
30198	No	No
30199	No	No
30200	No	No
30201	No	No
30202	No	No
