hhno	Pregnancy_in_household	Child(ren)_under_2
190001	No	No
190002	No	No
190003	No	No
190004	No	No
190005	No	No
190006	Yes	No
190007	No	Yes
190008	No	No
190009	No	No
190010	No	No
190011	No	No
190012	No	No
190013	No	No
190014	No	No
190015	No	No
190016	No	No
190017	No	Yes
190018	No	No
190019	No	No
190020	No	No
190021	No	No
190022	No	No
190023	No	No
190024	No	No
190025	No	No
190026	No	No
190027	No	No
190028	No	No
190029	No	No
190030	No	No
190031	No	No
190032	No	No
190033	No	Yes
190034	No	No
190035	No	No
190036	No	No
190037	No	No
190038	No	No
190039	No	No
190040	Yes	No
190041	No	No
190042	No	No
190043	No	No
190044	No	No
190045	No	No
190046	No	Yes
190047	No	No
190048	No	No
190049	No	No
190050	No	No
190051	No	No
190052	No	No
190053	No	No
190054	No	No
190055	No	No
190056	No	No
190057	No	No
190058	No	No
190059	No	No
190060	No	No
190061	No	No
190062	No	No
190063	No	No
190064	No	No
190065	No	No
190066	No	Yes
190067	No	No
190068	No	No
190069	No	No
190070	No	No
190071	No	No
190072	No	No
190073	No	No
190074	No	No
190075	No	Yes
190076	No	No
190077	No	No
190078	No	No
190079	No	No
190080	No	No
190081	No	No
190082	No	No
190083	No	No
190084	No	No
190085	No	No
190086	No	No
190087	No	No
190088	No	No
190089	No	No
190090	No	No
190091	No	No
190092	No	No
190093	No	No
190094	No	No
190095	No	No
190096	No	No
190097	No	Yes
190098	No	No
190099	No	No
190100	No	No
190101	No	No
190102	No	No
190103	No	No
190104	No	No
190105	No	No
190106	No	No
190107	No	No
190108	No	No
190109	No	No
190110	No	Yes
190111	No	No
190112	No	No
190113	No	No
190114	No	No
190115	No	No
190116	No	No
190117	No	No
190118	No	No
190119	No	No
190120	No	Yes
190121	No	No
190122	No	No
190123	No	No
190124	No	No
190125	No	No
190126	No	No
190127	No	No
190128	No	Yes
190129	No	No
190130	No	No
190131	No	No
190132	No	No
190133	No	No
190134	No	No
190135	No	No
190136	No	No
190137	No	No
190138	No	No
190139	No	No
190140	No	No
190141	No	No
190142	No	No
190143	No	Yes
190144	No	No
190145	No	No
190146	No	No
190147	No	No
190148	No	No
190149	No	No
190150	No	No
190151	No	No
190152	No	No
190153	No	No
190154	No	No
190155	No	No
190156	No	No
190157	No	No
190158	No	No
190159	No	Yes
190160	No	No
190161	No	Yes
190162	No	No
190163	No	No
190164	No	No
190165	No	No
190166	No	No
190167	No	No
190168	No	No
190169	No	No
190170	No	No
190171	No	No
190172	No	No
190173	No	No
190174	No	No
190175	No	No
190176	No	No
190177	No	No
190178	No	Yes
190179	No	No
190180	No	No
190181	No	No
190182	No	No
190183	No	No
190184	No	No
190185	No	No
190186	No	No
190187	No	No
190188	No	Yes
190189	No	No
190190	No	No
190191	No	No
190192	No	No
190193	No	No
190194	No	No
190195	No	No
190196	No	No
190197	No	No
190198	No	No
190199	No	No
190200	No	No
190201	No	No
190202	No	No
190203	No	No
190204	No	No
190205	No	No
190206	No	No
190207	No	No
190208	No	No
190209	No	No
190210	No	No
190211	No	No
190212	No	No
190213	No	No
190214	No	No
190215	No	No
190216	No	Yes
190217	No	No
190218	No	No
190219	No	No
190220	No	No
190221	No	No
190222	No	No
190223	No	No
190224	No	No
190225	No	No
190226	No	No
190227	No	No
190228	No	No
190229	No	Yes
190230	No	No
190231	No	No
190232	No	No
190233	No	No
190234	Yes	No
190235	No	Yes
190236	No	No
190237	No	No
190238	No	No
190239	No	No
190240	No	No
190241	No	No
190242	No	No
190243	No	No
190244	No	No
190245	No	No
190246	No	No
190247	No	No
190248	No	No
190249	No	No
190250	No	No
190251	No	No
190252	No	No
190253	No	No
190254	No	No
190255	No	No
190256	No	No
190257	Yes	Yes
190258	No	No
190259	No	No
190260	No	No
190261	No	No
190262	No	No
190263	No	No
190264	No	No
190265	No	Yes
190266	No	No
190267	No	No
190268	No	No
190269	No	No
190270	No	No
190271	No	No
190272	No	No
190273	No	No
190274	No	No
190275	No	No
190276	No	Yes
190277	No	No
190278	No	No
190279	No	No
190280	No	No
190281	No	No
190282	No	No
190283	No	No
190284	No	No
190285	No	No
190286	No	No
190287	No	No
190288	No	No
190289	No	No
190290	No	Yes
190291	No	No
190292	No	No
190293	No	No
190294	No	No
190295	No	No
190296	No	No
190297	No	No
190298	No	No
190299	No	No
190300	No	No
190301	No	No
190302	No	No
190303	No	No
190304	No	No
190305	No	No
190306	No	No
190307	No	No
190308	No	No
190309	No	No
190310	No	No
190311	No	Yes
190312	No	No
190313	No	No
190314	No	No
190315	No	No
190316	No	No
190317	No	No
190318	No	No
190319	No	No
190320	No	No
190321	No	No
190322	No	No
190323	No	No
190324	No	No
190325	No	No
190326	No	No
190327	No	No
190328	No	No
190329	No	No
190330	No	No
190331	No	No
190332	No	No
190333	No	No
190334	No	No
190335	No	No
190336	No	No
190337	No	No
190338	No	No
190339	No	Yes
190340	No	No
190341	No	No
190342	No	No
190343	No	No
190344	No	Yes
190345	No	No
190346	No	No
190347	No	No
190348	No	No
190349	No	No
190350	No	No
190351	No	No
190352	No	No
190353	No	No
190354	No	No
190355	No	No
190356	No	No
190357	No	No
190358	No	No
190359	No	No
190360	No	No
190361	No	No
190362	No	No
190363	No	Yes
190364	No	No
190365	No	No
190366	No	No
190367	No	No
190368	No	No
190369	No	Yes
190370	No	No
190371	No	No
190372	No	Yes
190373	No	No
190374	No	No
190375	No	No
190376	No	No
190377	No	No
190378	No	No
190379	No	No
190380	No	No
190381	No	No
190382	No	No
190383	No	No
190384	No	No
190385	No	No
190386	No	No
190387	No	No
190388	No	No
190389	No	No
190390	No	No
190391	No	No
190392	No	No
190393	No	No
190394	No	No
190395	No	Yes
190396	No	Yes
190397	No	No
190398	No	No
190399	No	No
190400	No	No
190401	No	No
190402	No	No
190403	No	No
190404	No	No
190405	No	No
190406	No	No
190407	No	No
190408	No	No
190409	No	No
190410	No	No
190411	No	No
190412	No	No
190413	No	No
190414	No	No
190415	No	No
190416	No	No
190417	No	No
190418	No	No
190419	No	No
190420	No	Yes
190421	No	No
190422	No	No
190423	No	Yes
190424	No	No
190425	No	No
190426	No	No
