hhno	visgpno	sex	age	occ	soc	dact	nbalvis
240820	1	1	0		7		21
240820	2	2	0		7		21
240820	3	2	10		6		21
240822	1	2	0		7		11
240822	2	2	13		6		3
240825	1	2	0		7		15
240825	2	1	0		7		7
240825	3	2	2		6		4
240826	1	2	7		6		7
240830	1	2	13		6		35
240832	1	1	0		7		60
240832	2	2	0		7		4
240833	1	2	0		7		30
240835	1	1	5		6		4
240835	2	2	2		6		4
240836	1	2	0		7		3
240838	1	2	10		6		15
240838	2	1	11		6		12
240839	1	1	0		7		4
240839	2	2	0		7		4
240839	3	2	4		6		4
240839	4	2	1		6		4
240840	1	2	15		6		35
240840	2	1	10		6		31
240840	3	1	8		6		31
240840	4	2	3		6		31
240842	1	2	0		7		3
240842	2	1	0		7		7
240845	1	2	5		6		14
240845	2	2	2		6		4
240845	3	2	0		7		11
240845	4	1	0		7		7
240846	1	2	0		7		30
240846	2	2	6		6		26
240846	3	2	3		6		23
240856	1	2	0		7		8
240860	1	1	0		7		11
240860	2	2	0		7		11
240861	1	2	0		7		4
240861	2	1	12		6		15
240861	3	1	11		6		7
240861	4	1	8		6		7
240870	1	1	0		7		10
240870	2	2	0		7		14
240870	3	1	6		6		7
240870	4	2	14		6		7
240873	1	1	0		7		3
240876	1	1	2		6		19
240879	1	1	8		6		7
240879	2	1	5		6		7
240880	1	1	0		7		21
240880	2	2	0		7		7
240884	1	2	0		7		30
240886	1	2	0		7		4
240889	1	2	0		7		4
240890	1	1	0		7		60
240893	1	2	0		7		4
240894	1	1	0		7		7
240894	2	2	0		7		7
240894	3	1	11		6		7
240894	4	1	8		6		7
240894	5	2	3		6		8
240899	1	2	0		7		8
240899	2	1	10		6		4
240900	1	2	11		6		7
240900	2	2	8		6		7
240900	3	2	7		6		7
240901	1	1	0		7		7
240901	2	2	0		7		7
240904	1	2	0		7		4
240905	1	2	11		6		10
240905	2	2	0		7		7
240907	1	2	0		7		11
240907	2	1	0		7		4
240907	3	2	4		6		7
240908	1	2	0		7		18
240908	2	1	5		6		32
240908	3	1	6		6		32
240911	1	2	0		7		14
240911	2	1	0		7		14
240913	1	2	0		7		14
240914	1	1	0		7		22
240914	2	2	0		7		22
240914	3	2	14		6		11
240914	4	2	5		6		11
240914	5	1	4		6		11
240917	1	1	0		7		7
240917	2	2	0		7		7
240922	1	1	13		6		4
240922	2	1	12		6		4
240925	1	2	0		7		10
240928	1	1	0		7		38
240928	2	1	14		6		7
240929	1	2	0		7		4
240930	1	1	0		7		14
240931	1	1	0		7		10
240935	1	1	10		6		4
240935	2	1	8		6		11
240935	3	2	13		6		11
240935	4	2	15		6		11
240935	5	2	0		7		11
240935	6	1	0		7		11
240941	1	1	0		7		4
240942	1	1	0		7		3
240942	2	2	0		7		3
240943	1	1	7		6		7
240943	2	2	5		6		11
240943	3	2	0		7		4
240943	4	2	7		6		4
240944	1	2	0		7		21
240944	2	2	1		6		7
240948	1	2	0		7		11
240949	1	2	0		6		7
240949	2	1	2		6		7
240949	3	2	0		7		14
240949	4	1	0		7		7
240955	1	1	3		6		7
240955	2	2	6		6		7
240961	1	1	0		7		7
240961	2	2	0		7		14
240962	1	2	10		6		56
240962	2	1	0		7		7
