hhno	visgpno	sex	age	occ	soc	dact	nbalvis
130002	4	1	0	9995		0	9
130002	5	2	0	9995		0	9
130002	6	2	1	9985		0	5
130002	7	2	1	9985		0	5
130003	7	1	0	9995		0	4
130003	8	2	0	9995		0	4
130003	9	1	1	9995		0	4
130004	3	2	0	9995		0	9
130004	4	1	1	9985		0	9
130004	5	2	1	9985		0	9
130004	6	1	1	9985		0	4
130004	7	2	1	9985		0	4
130005	2	1	1	9985		0	17
130005	3	1	1	9985		0	17
130005	4	1	1	9985		0	17
130009	4	2	0	9995		0	50
130009	5	1	0	9995		0	4
130010	3	1	0	9995		0	5
130012	3	2	0	9995		0	7
130014	3	1	1	9985		0	5
130014	4	1	1	9985		0	5
130015	5	1	0	9995		0	6
130017	4	2	0	9995		0	14
130017	5	1	0	9995		0	14
130022	8	1	0	9995		0	19
130024	5	2	1	9985		0	5
130025	2	2	0	9995		0	7
130025	3	1	0	9995		0	10
130027	9	1	1	9985		0	22
130027	10	2	0	9995		0	7
130027	11	1	0	9995		0	7
130028	5	2	1	9985		0	3
130029	4	2	1	9985		0	26
130030	3	1	0	9995		0	9
130030	4	1	1	9985		0	9
130030	5	1	1	9985		0	9
130031	2	1	0	9995		0	4
130035	3	2	0	9995		0	4
130035	4	1	0	9995		0	4
130037	3	2	0	9995		0	9
130037	4	1	0	9995		0	4
130040	4	1	0	9995		0	9
130040	5	2	0	9995		0	9
130042	2	1	0	9995		0	13
130042	3	2	0	9995		0	7
130044	7	2	1	9985		0	12
130044	8	2	1	9985		0	12
130044	9	1	1	9985		0	12
130044	10	1	0	9995		0	8
130044	11	2	0	9995		0	8
130045	5	2	1	9985		0	4
130047	3	1	0	9995		0	42
130047	4	2	0	9995		0	11
130049	5	2	0	9995		0	2
130049	6	1	1	9985		0	2
130052	2	1	1	9985		0	5
130052	3	1	1	9985		0	5
130053	4	1	0	9995		0	14
130053	5	2	0	9995		0	10
130054	5	1	1	9985		0	3
130054	6	1	0	9995		0	5
130057	2	1	0	9995		0	32
130063	4	2	0	9995		0	7
130063	5	1	0	9995		0	7
130063	6	2	1	9985		0	5
130064	4	1	0	9995		0	8
130064	5	2	0	9995		0	8
130064	6	2	1	9985		0	5
130064	7	2	1	9985		0	35
130069	4	2	0	9995		0	4
130070	5	1	0	9995		0	19
130070	6	2	0	9995		0	14
130071	3	2	0	9995		0	4
130071	4	1	0	9995		0	4
130074	6	2	0	9995		0	5
130074	7	1	0	9995		0	5
130076	5	1	1	9985		0	4
130078	3	2	0	9995		0	9
130079	5	2	0	9995		0	32
130081	3	1	0	9995		0	5
130085	4	2	0	9995		0	31
130085	5	1	0	9995		0	15
130086	4	1	0	9995		0	14
130087	3	2	0	9995		0	10
130087	4	2	1	9985		0	21
130087	5	1	1	9985		0	5
130088	3	1	0	9995		0	12
130088	4	2	0	9995		0	12
130089	5	2	0	9995		0	10
130089	6	1	0	9995		0	5
130090	4	2	0	9995		0	4
130090	5	1	1	9985		0	4
130090	6	1	0	9995		0	4
130097	3	1	0	9995		0	8
130097	4	2	0	9995		0	8
130097	5	1	1	9985		0	4
130097	6	1	1	9985		0	4
130100	4	1	0	9995		0	5
130100	5	2	0	9995		0	5
130101	5	2	0	9995		0	4
130101	6	2	1	9985		0	4
130104	5	2	0	9995		0	9
130106	3	1	0	9995		0	41
130106	4	2	0	9995		0	8
130107	4	2	0	9995		0	17
130107	5	1	0	9995		0	13
130108	7	1	0	9995		0	11
130109	2	1	0	9995		0	9
130109	3	2	0	9995		0	3
130110	5	2	0	9995		0	4
130111	4	2	0	9995		0	42
130111	5	2	1	9985		0	42
130111	6	1	0	9995		0	27
130112	6	2	0	9995		0	9
130115	7	1	0	9995		0	4
130116	3	1	0	9995		0	10
130116	4	2	0	9995		0	10
130118	4	2	1	9985		0	4
130119	3	2	0	9995		0	15
130119	4	1	0	9995		0	10
130119	5	1	1	9985		0	5
130119	6	1	1	9985		0	5
130119	7	1	1	9985		0	5
130119	8	2	1	9985		0	5
130121	3	1	0	9995		0	7
130122	2	1	0	9995		0	4
130123	6	2	0	9995		0	5
130123	7	1	0	9995		0	5
130123	8	2	1	9985		0	5
130125	4	1	0	9995		0	23
130125	5	2	0	9995		0	33
130136	4	2	0	9995		0	2
130136	5	1	0	9995		0	2
130136	6	2	1	9995		0	2
130136	7	1	1	9985		0	2
130136	8	1	1	9985		0	2
130137	6	2	0	9995		0	8
130138	5	1	0	9995		0	23
130140	3	2	0	9995		0	2
130140	4	1	0	9995		0	7
130140	5	1	1	9995		0	2
130140	6	1	1	9985		0	2
130142	4	2	0	9995		0	10
130142	5	1	0	9995		0	15
130142	6	2	1	9995		0	5
130143	6	2	0	9995		0	12
130146	4	1	0	9995		0	7
130147	6	2	0	9995		0	56
130147	7	2	1	9995		0	12
130148	4	1	0	9995		0	12
130148	5	2	0	9995		0	5
130149	5	2	1	9985		0	7
130149	6	2	0	9995		0	7
130149	7	2	1	9985		0	7
130149	8	2	1	9985		0	7
130149	9	1	1	9985		0	2
130150	3	1	0	9995		0	5
130153	4	1	0	9995		0	4
130153	5	2	0	9995		0	4
130156	3	1	0	9995		0	77
130156	4	2	0	9995		0	36
130158	5	2	0	9995		0	9
130158	6	2	1	9985		0	9
130158	7	1	1	9985		0	9
130162	5	1	0	9995		0	7
130164	2	1	1	9985		0	17
130164	3	1	1	9985		0	3
130164	4	2	1	9985		0	14
130164	5	2	0	9995		0	4
