hhno	Pregnancy_in_household	Child(ren)_under_2
140001	No	No
140002	No	No
140003	No	Yes
140004	No	No
140005	No	No
140006	No	No
140007	No	No
140008	No	No
140009	No	No
140010	No	No
140011	No	No
140012	No	No
140013	No	No
140014	No	No
140015	No	No
140016	No	Yes
140017	No	No
140018	No	No
140019	No	No
140020	No	No
140021	No	No
140022	No	No
140023	No	No
140024	No	No
140025	No	No
140026	No	No
140027	No	No
140028	No	No
140029	No	No
140030	No	No
140031	No	No
140032	No	No
140033	No	No
140034	No	Yes
140035	No	Yes
140036	No	No
140037	No	Yes
140038	No	No
140039	No	No
140040	No	No
140041	No	No
140042	No	Yes
140043	No	No
140044	No	No
140045	No	No
140046	No	No
140047	No	No
140048	No	No
140049	No	No
140050	No	No
140051	No	No
140052	No	No
140053	No	No
140054	No	No
140055	No	No
140056	No	No
140057	No	No
140058	No	No
140059	No	No
140060	No	No
140061	No	No
140062	No	No
140063	No	No
140064	No	No
140065	No	No
140066	No	Yes
140067	No	No
140068	No	No
140069	No	No
140070	No	No
140071	No	No
140072	No	No
140073	No	No
140074	No	No
140075	No	No
140076	No	No
140077	No	No
140078	No	No
140079	Yes	No
140080	No	No
140081	No	No
140082	No	No
140083	No	No
140084	No	No
140085	No	No
140086	No	No
140087	No	No
140088	No	No
140089	No	No
140090	No	No
140091	No	No
140092	No	No
140093	No	No
140094	No	No
140095	No	No
140096	No	No
140097	No	No
140098	No	Yes
140099	No	No
140100	No	No
140101	No	No
140102	No	No
140103	No	No
140104	No	No
140105	No	No
140106	No	No
140107	No	No
140108	Yes	No
140109	No	No
140110	No	No
140111	No	No
140112	No	No
140113	No	No
140114	No	No
140115	No	No
140116	No	No
140117	No	No
140118	No	No
140119	No	No
140120	No	No
140121	No	No
140122	No	No
140123	No	No
140124	Yes	No
140125	No	No
140126	No	No
140127	No	No
140128	No	No
140129	No	No
140130	No	Yes
140131	No	Yes
140132	No	No
140133	No	No
140134	No	No
140135	No	No
140136	No	No
140137	No	No
140138	No	No
140139	No	No
140140	No	No
140141	No	No
140142	No	No
140143	No	No
140144	No	No
140145	No	No
140146	No	No
140147	No	No
140148	No	No
140149	No	No
140150	No	No
140151	No	No
140152	No	No
140153	No	Yes
140154	No	No
140155	No	No
140156	No	No
140157	No	No
140158	No	Yes
140159	No	No
140160	No	No
140161	No	No
140162	No	No
140163	No	No
140164	No	No
140165	No	No
140166	No	No
140167	No	No
140168	No	No
140169	No	No
140170	No	No
140171	No	No
140172	Yes	No
140173	No	No
140174	No	No
140175	No	No
140176	No	No
140177	No	No
140178	No	Yes
140179	No	No
140180	No	No
140181	No	No
140182	No	No
140183	No	No
140184	No	No
140185	No	No
140186	No	No
140187	No	No
140188	No	No
140189	No	Yes
140190	No	No
140191	No	No
140192	No	No
140193	No	No
140194	No	No
140195	No	No
140196	No	No
140197	No	No
140198	No	No
140199	No	Yes
140200	No	No
140201	No	No
140202	No	No
140203	No	No
140204	No	No
140205	No	Yes
140206	No	No
140207	No	No
140208	No	No
140209	No	No
140210	No	Yes
140211	No	No
140212	No	No
140213	No	No
140214	No	No
140215	No	No
140216	No	No
140217	No	No
140218	No	No
140219	No	No
140220	No	No
140221	No	No
140222	No	No
140223	No	No
140224	No	No
140225	No	Yes
140226	No	No
140227	No	Yes
140228	No	No
140229	No	No
140230	No	No
140231	No	No
140232	No	No
140233	No	No
140234	No	No
140235	No	No
140236	No	No
140237	No	No
140238	No	Yes
140239	No	No
140240	No	No
140241	No	No
140242	No	No
140243	No	No
140244	No	Yes
140245	No	No
140246	No	No
140247	No	No
140248	No	No
140249	No	No
140250	No	No
140251	No	No
140252	No	No
140253	No	No
140254	No	Yes
140255	No	No
140256	No	No
140257	No	No
140258	No	No
140259	No	No
140260	No	No
140261	No	No
140262	No	No
140263	No	No
140264	No	No
140265	No	No
140266	No	No
140267	No	No
140268	No	No
140269	No	No
140270	No	No
140271	No	No
140272	No	No
140273	No	No
140274	No	No
140275	No	No
140276	No	No
140277	No	No
140278	No	No
140279	No	No
140280	No	Yes
140281	No	No
140282	No	No
140283	No	No
140284	No	No
140285	No	No
140286	No	No
140287	No	No
140288	No	No
140289	No	No
140290	No	Yes
140291	No	No
140292	No	No
140293	No	No
140294	No	No
140295	No	No
140296	No	Yes
140297	No	No
140298	No	Yes
140299	No	No
140300	No	No
140301	No	No
140302	No	No
140303	No	No
140304	No	No
140305	No	No
140306	No	Yes
140307	No	No
140308	No	No
140309	No	No
140310	No	No
140311	No	No
140312	No	No
140313	No	No
140314	No	No
140315	No	Yes
140316	No	No
140317	No	No
140318	No	No
140319	No	No
140320	No	No
140321	No	No
140322	No	No
140323	No	No
140324	No	No
140325	No	No
140326	No	No
140327	No	No
140328	No	No
140329	No	No
140330	No	No
140331	No	No
140332	No	No
140333	No	No
140334	No	No
140335	No	No
140336	No	No
140337	No	No
140338	No	No
140339	No	No
140340	No	No
140341	No	No
140342	No	No
140343	No	No
140344	No	No
140345	No	No
140346	No	No
140347	No	No
140348	No	No
140349	No	No
140350	No	No
140351	No	No
140352	No	No
140353	No	No
140354	No	No
140355	No	No
140356	No	No
140357	No	No
140358	No	No
140359	No	Yes
140360	No	No
140361	No	No
140362	No	No
140363	No	No
140364	No	No
140365	No	Yes
140366	No	No
140367	No	No
140368	No	No
140369	No	No
140370	No	No
140371	No	No
140372	No	No
140373	No	No
140374	No	No
140375	No	No
140376	No	No
140377	No	Yes
140378	No	No
140379	No	No
140380	No	No
140381	No	No
140382	No	No
140383	No	No
140384	No	No
140385	No	No
140386	No	No
140387	No	No
140388	No	No
140389	No	No
140390	No	No
140391	No	No
140392	No	No
140393	No	No
140394	No	No
140395	No	No
140396	Yes	No
140397	No	No
140398	No	No
140399	No	No
140400	No	No
140401	No	No
140402	No	No
140403	No	No
140404	No	No
140405	No	No
140406	No	No
140407	Yes	Yes
140408	No	No
140409	No	No
140410	Yes	No
140411	No	No
140412	No	No
140413	No	No
140414	No	No
140415	No	No
140416	No	No
140417	No	No
140418	No	No
140419	No	No
140420	No	No
140421	No	No
140422	No	No
140423	No	No
140424	No	No
140425	No	No
140426	No	No
140427	No	No
140428	No	No
