hhno	visgpno	sex	age	occ	soc	dact	nbalvis
100137	1	2	10		6		21
100138	1	2	0		7		4
100139	1	2	0		7		14
100141	1	2	0		7		4
100142	1	1	0		7		7
100142	2	2	0		7		7
100142	3	1	1		6		7
100143	1	2	3		6		35
100143	2	2	0		7		3
100149	1	2	0		7		41
100150	1	1	8		6		7
100150	2	2	4		6		7
100151	1	2	0		7		10
247563	1	1	7		6		7
247563	2	1	0		7		7
247563	3	2	0		7		14
247569	1	1	0		7		17
247570	1	1	14		6		10
247570	2	1	0		7		12
247570	3	2	0		7		8
247572	1	2	3		6		4
247572	2	1	4		6		4
247573	1	2	15		6		10
247575	1	1	0		7		24
247575	2	2	0		7		13
247577	1	2	0		7		14
247578	1	1	0		7		6
247578	2	2	0		7		3
247578	3	2	6		6		6
247589	1	1	0		7		11
247590	1	2	0		7		11
247590	2	2	1		6		4
247590	3	1	0		7		7
247591	1	2	0		7		42
247597	1	1	10		6		17
247597	2	2	0		7		7
247598	1	2	0		7		7
247598	2	1	12		6		10
247599	1	1	0		7		14
247599	2	2	10		6		10
247599	3	1	3		6		10
247599	4	1	4		6		3
247601	1	1	8		6		7
247601	2	1	6		6		7
247603	1	2	0		7		7
247606	1	1	0		7		7
247607	1	1	0		7		7
247609	1	1	0		7		7
247609	2	2	0		7		7
247611	1	1	0		7		18
247612	1	2	0		7		4
247613	1	1	0		7		7
247614	1	1	0		7		7
247614	2	2	0		7		7
247617	1	2	0		7		11
247619	1	2	0		7		4
247622	1	1	0		7		4
247622	2	2	0		7		9
247622	3	2	6		6		7
247622	4	2	5		6		7
247623	1	1	0		7		4
247623	2	1	2		6		35
247623	3	2	3		6		4
247624	1	1	0		7		4
247624	2	2	0		7		4
247625	1	1	0		7		7
247632	1	1	9		6		4
247633	1	2	10		6		4
247633	2	1	13		6		4
247634	1	1	0		7		7
247634	2	2	0		7		3
247637	1	2	0		7		7
247638	1	2	0		7		19
247638	2	2	9		6		7
247638	3	1	0		7		7
247638	4	1	2		6		7
247639	1	2	5		6		11
247639	2	2	12		6		7
247639	3	2	0		7		25
247641	1	2	0		7		7
247646	1	2	0		7		12
247646	2	2	3		6		11
247646	3	2	3		6		4
