hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
120001		0	14	1984	1		1	1	4		5	9945		1	7	8	2	1	5	5	3	1	0	0	0	1	Wales	11	5	4	9	1	4	1/1/1540 00:00:00		1	2	0		0		2	1	0	2							0
120002		0	14	1984	1		1	5	1		4	741		2	4	3	1	1	3	3	1	0	0	0	0	1	Wales	11	3	3	1	1	3	3/1/1540 00:00:00		1	1	0		0		2	3	0	2							0
120003		0	14	1984	1		1	6	2		3	2221		1	7	6	2	1	1	1	1	1	0	0	0	1	Wales	11	1	2	3	1	2	3/1/1540 00:00:00		1	2	0		0		2	3	0	2							0
120004		0	14	1984	1		1	5	2		4	9945		1	0	9	2	1	4	5	1	1	0	0	0	1	Wales	11	5	3	3	1	3	1/1/1540 00:00:00		1	1	0		0		2	1	0	2							0
120005		0	14	1984	1		1	6	3		3	2514		1	8	3	2	1	2	2	1	1	1	0	0	1	Wales	11	2	2	4	3	10	2/1/1540 00:00:00		1	2	0		0		2	2	0	2							0
120006		0	14	1984	1		1	2	2		5	9965		1	4	8	2	1	4	4	1	1	0	0	0	1	Wales	11	4	4	3	1	4	1/1/1540 00:00:00		1	2	0		0		2	1	0	2							0
120007		0	14	1984	1		1	5	3		4	9955		0	0	9	2	1	6	5	1	2	0	1	1	1	Wales	11	5	3	8	1	3	2/1/1540 00:00:00		1	1	0		0		2	2	0	2							0
120008		0	14	1984	1		0	2	1		8	9935		0	2	1	1	1	5	5	0	1	0	1	0	1	Wales	11	5	5	1	1	0	3/1/1540 00:00:00		1	0	0		0		2	3	0	2							1
120009		0	14	1984	1		0	1	1		8	9935		0	1	1	1	1	7	7	0	1	0	1	1	1	Wales	11	7	5	1	1	0	2/1/1540 00:00:00		1	0	0		0		2	2	0	2							0
120010		0	14	1984	1		1	5	2		7	9935		0	3	1	2	1	6	6	1	1	0	2	2	1	Wales	11	6	4	3	1	4	1/1/1540 00:00:00		1	0	0		0		2	1	0	2							0
120011		0	14	1984	1		0	1	3		5	9935		0	4	8	1	1	6	6	3	0	0	1	1	1	Wales	11	6	4	8	1	4	2/1/1540 00:00:00		1	2	0		0		2	2	0	2							0
120012		0	14	1984	1		1	6	4		5	9965		1	4	8	2	1	3	3	1	1	2	0	0	1	Wales	11	3	4	5	4	16	2/1/1540 00:00:00		1	1	0		0		1	2	0	2							0
120013		0	14	1984	1		1	6	3		4	2144		1	5	1	2	1	1	1	1	1	1	0	0	1	Wales	11	1	3	4	3	11	10/1/1540 00:00:00		1	1	0		0		2	3	0	2							0
120014		0	14	1984	1		0	1	2		4	9935		0	7	6	1	1	7	7	2	0	0	1	1	1	Wales	11	7	3	3	1	3	12/1/1540 00:00:00		0	1	0		0		2	5	0	2							0
120015		0	14	1984	1		0	5	1		8	9935		0	1	1	1	1	7	7	0	1	0	1	1	1	Wales	11	7	5	1	1	0	11/1/1540 00:00:00		1	0	0		0		2	3	0	2							1
120016		0	14	1984	1		0	5	2		3	9955		0	0	9	1	1	5	5	1	1	0	0	0	1	Wales	11	5	2	3	1	2	12/1/1540 00:00:00		1	1	0		0		2	5	0	2							0
120017		0	14	1984	1		1	6	5		3	744		2	0	9	2	1	3	3	2	1	2	0	0	1	Wales	11	3	2	10	7	26	11/1/1540 00:00:00		1	3	0		0		2	4	0	2							0
120018		0	14	1984	1		1	5	1		7	9935		0	3	1	1	1	6	6	0	1	0	1	1	1	Wales	11	6	4	1	1	4	11/1/1540 00:00:00		1	0	0		0		2	4	0	2							0
120019		0	14	1984	1		0	6	5		3	354		3	0	9	2	1	4	4	1	2	2	0	0	1	Wales	11	4	2	10	7	26	12/1/1540 00:00:00		1	3	0		0		2	5	0	2							0
120020		0	14	1984	1		0	5	1		8	9935		0	2	1	1	1	6	6	0	1	0	1	1	1	Wales	11	6	5	1	1	0	13/1/1540 00:00:00		1	0	0		0		2	6	2	2							0
120021		0	14	1984	2		0	2	2		2	2514		1	10	6	2	1	4	3	1	1	0	0	0	1	Wales	11	3	1	3	1	1	16/1/1540 00:00:00		1	2	0		0		2	5	0	2							0
120022		0	14	1984	2		1	6	2		3	644		2	8	1	1	1	3	3	2	0	0	0	0	1	Wales	11	3	2	3	1	2	17/1/1540 00:00:00		1	2	0		0		2	6	0	2							0
120023		0	14	1984	2		0	1	2		7	9945		0	2	1	1	1	1	1	0	1	1	0	0	1	Wales	11	1	4	2	2	8	16/1/1540 00:00:00		1	0	0		0		2	5	0	2							0
120024		0	14	1984	2		1	5	2		7	9935		0	3	2	2	1	6	5	1	1	0	2	1	1	Wales	11	5	4	3	1	4	15/1/1540 00:00:00		1	0	0		0		2	4	0	2							0
120025		0	14	1984	2		0	6	2		7	9945		1	4	1	2	1	5	5	1	1	0	0	0	1	Wales	11	5	4	3	1	4	15/1/1540 00:00:00		1	0	0		0		2	4	0	2							0
120026		0	14	1984	2		1	5	2		8	9935		0	4	6	2	1	6	5	1	1	0	2	1	1	Wales	11	5	5	3	1	0	16/1/1540 00:00:00		1	0	0		0		2	5	0	2							0
120027		0	14	1984	3		1	5	4		3	2514		1	9	1	2	1	4	3	1	1	2	0	0	1	Wales	11	3	2	5	4	14	28/1/1540 00:00:00		1	2	0		0		2	3	0	2							0
120028		0	14	1984	3		1	1	4		3	644		2	6	1	2	1	2	2	1	1	2	0	0	1	Wales	11	2	2	5	4	14	27/1/1540 00:00:00		1	1	0		0		2	2	0	2							0
120029		0	14	1984	3		1	6	3		3	841		2	8	1	2	1	3	2	1	1	1	0	0	1	Wales	11	2	2	4	3	10	27/1/1540 00:00:00		1	2	0		0		2	2	0	2							0
120030		0	14	1984	3		1	6	3		4	1654		2	5	1	2	1	3	2	1	1	1	0	0	1	Wales	11	2	3	4	3	11	26/1/1540 00:00:00		1	1	0		0		2	1	1	2							0
120031		0	14	1984	3		1	2	6		3	9995		1	10	6	2	1	3	3	4	2	0	0	0	1	Wales	11	3	2	9	1	2	27/1/1540 00:00:00		1	6	0		0		2	2	0	2							0
120032		0	14	1984	3		0	1	3		7	9945		0	4	1	1	1	2	2	0	1	2	0	0	1	Wales	11	2	4	2	2	8	27/1/1540 00:00:00		1	0	0		0		2	2	0	2							0
120033		0	14	1984	3		1	6	3		2	9995		1	10	2	2	1	4	3	1	1	1	0	0	1	Wales	11	3	1	4	3	9	26/1/1540 00:00:00		1	1	0		0		2	1	0	2							0
120034		0	14	1984	3		0	1	3		5	9935		0	4	8	2	1	7	5	2	1	0	1	1	1	Wales	11	5	4	8	1	4	27/1/1540 00:00:00		1	1	0		0		2	2	0	2							0
120035		0	14	1984	3		1	5	1		6	9955		0	7	1	1	1	6	6	1	0	0	0	1	1	Wales	11	6	5	1	1	0	28/1/1540 00:00:00		1	0	0		0		2	3	0	2							0
120036		0	14	1984	3		1	1	3		7	9935		0	5	1	1	1	5	5	0	2	1	2	1	1	Wales	11	5	4	4	3	12	27/1/1540 00:00:00		1	0	0		0		2	2	0	2							0
120037		0	14	1984	3		0	1	4		3	1754		2	8	1	2	1	5	4	2	1	1	0	0	1	Wales	11	4	2	10	7	26	26/1/1540 00:00:00		1	3	0		0		2	1	0	2							0
