hhno	Pregnancy_in_household	Child(ren)_under_2
261117	No	No
261118	No	No
261119	No	No
261120	No	Yes
261121	No	No
261122	No	No
261123	No	No
261124	No	No
261125	No	No
261126	No	No
261127	No	No
261128	No	No
261129	No	No
261130	No	No
261131	No	No
261132	No	Yes
261133	No	No
261134	No	No
261135	No	No
261136	No	No
261137	No	No
261138	No	No
261139	No	No
261140	No	No
261141	No	No
261142	No	No
261143	No	No
261144	No	Yes
261145	No	No
261146	No	No
261147	No	No
261148	No	Yes
261149	No	No
261150	No	No
261151	No	No
261152	No	No
261153	No	No
261154	No	No
261155	No	No
261156	No	No
261157	No	No
261158	No	No
261159	No	No
261160	No	No
261161	No	No
261162	No	No
261163	No	No
261164	No	No
261165	No	No
261166	No	No
261167	No	No
261168	No	No
261169	No	No
261170	No	No
261171	No	Yes
261172	No	No
261173	No	No
261174	No	No
261175	No	No
261176	No	No
261177	No	No
261178	No	No
261179	No	No
261180	No	No
261181	No	No
261182	No	No
261183	No	Yes
261184	No	No
261185	No	No
261186	No	No
261187	No	No
261188	No	No
261189	No	No
261190	No	No
261191	No	No
261192	No	No
261193	No	Yes
261194	No	No
261195	No	Yes
261196	No	No
261197	Yes	No
261198	No	No
261199	No	No
261200	No	No
261201	No	No
261202	No	No
261203	No	No
261204	No	Yes
261205	No	No
261206	No	No
261207	No	No
261208	No	No
261209	No	No
261210	No	No
261211	No	Yes
261212	No	No
261213	Yes	No
261214	No	No
261215	No	Yes
261216	No	No
261217	No	No
261218	No	No
261219	No	No
261220	No	No
261221	No	No
261222	No	No
261223	No	No
261224	No	No
261225	No	No
261226	No	Yes
261227	No	No
261228	No	No
261229	No	No
261230	No	Yes
261231	No	No
261232	No	No
261233	No	No
261234	No	No
261235	No	No
261236	No	Yes
261237	No	No
261238	No	No
261239	No	No
261240	No	No
261241	No	No
261242	No	No
261243	No	No
261244	No	No
261245	No	No
261246	No	No
261247	Yes	Yes
261248	No	No
261249	No	No
261250	No	No
261251	No	No
261252	No	No
261253	No	No
261254	No	No
261255	No	No
261256	No	No
261257	No	Yes
261258	No	No
261259	No	No
261260	No	No
261261	No	Yes
261262	No	No
261263	No	No
261264	No	No
261265	No	No
261266	No	No
261267	No	No
261268	No	No
261269	No	No
261270	No	No
261271	No	No
261272	No	No
261273	No	No
261274	No	No
261275	No	No
261276	No	No
261277	No	No
261278	No	No
261279	No	No
261280	No	No
261281	No	No
261282	No	No
261283	No	No
261284	No	No
261285	No	No
261286	No	No
261287	No	No
261288	No	No
261289	No	No
261290	No	No
261291	No	No
261292	No	No
261293	No	No
261294	No	No
261295	No	No
261296	No	No
261297	No	No
261298	No	No
261299	No	No
261300	No	Yes
261301	No	No
261302	No	No
261303	No	No
261304	No	Yes
261305	No	No
261306	No	No
261307	No	No
261308	No	No
261309	No	No
261310	No	No
261311	No	No
261312	No	No
261313	No	No
261314	No	Yes
261315	No	No
261316	No	No
261317	No	No
261318	No	No
261319	No	No
261320	No	No
261321	Yes	No
261322	No	No
261323	No	No
261324	No	No
261325	No	No
261326	No	No
261327	No	No
261328	No	No
261329	No	No
261330	No	No
261331	No	No
261332	No	Yes
261333	No	No
261334	No	Yes
261335	No	No
261336	No	No
261337	No	No
261338	Yes	No
261339	No	No
261340	No	No
261341	No	No
261342	No	No
261343	No	No
261344	No	No
261345	No	No
261346	No	No
261347	No	No
261348	No	No
261349	No	No
261350	No	No
261351	No	No
261352	No	No
261353	No	No
261354	No	No
261355	No	No
261356	No	No
261357	No	No
261358	No	No
261359	No	No
261360	No	No
261361	No	No
261362	No	No
261363	No	No
261364	No	Yes
261365	No	No
261366	No	No
261367	No	No
261368	No	No
261369	No	No
261370	No	No
261371	No	No
261372	No	No
261373	No	No
261374	No	No
261375	No	No
261376	No	No
261377	No	No
261378	No	No
261379	No	No
261380	No	No
261381	No	No
261382	No	No
261383	No	Yes
261384	No	Yes
261385	No	No
261386	No	No
261387	No	No
261388	No	No
