hhno	Pregnancy_in_household	Child(ren)_under_2
254254	No	No
254255	No	No
254256	No	No
254257	No	No
254258	No	No
254259	No	No
254260	No	No
254261	No	No
254262	No	No
254263	No	No
254264	No	No
254265	No	No
254266	No	No
254267	No	No
254268	No	No
254269	No	No
254270	No	No
254271	No	No
254272	No	No
254273	No	No
254274	No	No
254275	No	No
254276	No	No
254277	No	No
254278	No	No
254279	No	No
254280	No	No
254281	No	Yes
254282	No	No
254283	No	No
254284	No	No
254285	No	No
254286	No	No
254287	No	No
254288	No	No
254289	No	No
254290	No	Yes
254291	No	No
254292	No	No
254293	No	No
254294	No	No
254295	No	No
254296	No	No
254297	No	No
254298	No	No
254299	No	No
254300	No	No
254301	No	No
254302	No	No
254303	No	No
254304	No	No
254305	No	No
254306	No	No
254307	No	No
254308	No	No
254309	No	No
254310	No	No
254311	No	No
254312	No	No
254313	No	No
254314	No	No
254315	No	No
254316	No	No
254317	No	No
254318	No	Yes
254319	No	No
254320	No	No
254321	No	No
254322	No	No
254323	No	No
254324	No	No
254325	No	No
254326	No	No
254327	No	No
254328	No	No
254329	No	No
254330	No	No
254331	No	No
254332	No	No
254333	No	No
254334	No	No
254335	No	Yes
254336	No	No
254337	No	No
254338	No	No
254339	No	No
254340	No	No
254341	No	Yes
254342	No	No
254343	No	No
254344	No	No
254345	No	No
254346	No	No
254347	No	No
254348	No	Yes
254349	No	No
254350	No	No
254351	No	No
254352	No	No
254353	No	No
254354	No	No
254355	No	No
254356	No	Yes
254357	No	No
254358	No	No
254359	No	No
254360	No	No
254361	No	No
254362	No	No
254363	No	No
254364	No	No
254365	No	No
254366	No	No
254367	No	No
254368	No	No
254369	No	No
254370	No	No
254371	No	No
254372	No	No
254373	No	Yes
254374	No	No
254375	No	No
254376	No	No
254377	No	No
254378	No	Yes
254379	No	No
254380	No	No
254381	No	No
254382	No	No
254383	No	No
254384	No	No
254385	No	No
254386	No	No
254387	No	No
254388	No	No
254389	No	No
254390	No	No
