hhno	visgpno	sex	age	occ	soc	dact	nbalvis
70001	3	2	0	9995		0	4
70001	4	2	1	9985		0	8
70003	5	2	1	9985		0	13
70003	6	1	1	9985		0	10
70003	7	1	0	9995		0	16
70003	8	2	0	9995		0	25
70003	9	2	1	9985		0	4
70007	3	1	1	9985		0	35
70007	4	1	1	9985		0	35
70007	5	2	1	9985		0	35
70007	6	2	1	9985		0	35
70009	5	1	1	9985		0	4
70010	5	1	1	9985		0	30
70010	6	2	1	9985		0	4
70013	4	1	0	9995		0	3
70014	4	1	1	9985		0	5
70016	5	2	0	9995		0	4
70018	3	2	0	9995		0	2
70019	5	2	0	9995		0	23
70019	6	1	1	9985		0	23
70019	7	2	1	9985		0	23
70021	3	2	0	9995		0	12
70021	4	1	0	9995		0	8
70022	5	2	0	9995		0	4
70028	4	1	1	9995		0	2
70030	4	1	0	9995		0	10
70030	5	2	0	9995		0	9
70032	3	1	0	9995		0	33
70035	3	1	0	9995		0	4
70037	5	1	0	9995		0	10
70037	6	1	1	9995		0	10
70039	5	2	0	9995		0	2
70040	5	1	0	9995		0	27
70044	3	1	0	9995		0	4
70044	4	1	1	9985		0	4
70045	3	2	0	9995		0	14
70045	4	1	0	9995		0	5
70047	3	2	0	9995		0	2
70047	4	2	1	9985		0	2
70048	4	1	0	9995		0	4
70050	7	2	0	9995		0	22
70050	8	1	0	9995		0	7
70051	5	2	1	9985		0	19
70051	6	2	1	9985		0	15
70051	7	2	0	9995		0	5
70052	5	2	0	9995		0	4
70055	5	2	0	9995		0	5
70056	6	2	1	9995		0	5
70057	4	2	0	9995		0	49
70057	5	2	1	9985		0	5
70059	4	1	0	9995		0	5
70059	5	2	0	9995		0	5
70061	3	2	0	9995		0	4
70062	7	2	0	9995		0	4
70070	5	1	1	9985		0	11
70070	6	2	0	9995		0	11
70072	5	1	0	9995		0	5
70072	6	2	0	9995		0	5
70072	7	1	1	9985		0	5
70072	8	1	1	9985		0	5
70072	9	2	1	9985		0	5
70073	5	2	0	9995		0	14
70074	5	1	0	9995		0	2
70074	6	2	0	9995		0	2
70074	7	2	1	9995		0	14
70075	3	2	0	9995		0	4
70076	6	2	0	9995		0	12
70076	7	1	0	9995		0	9
70077	3	1	0	9995		0	29
70077	4	1	0	9995		0	2
70077	5	2	0	9995		0	4
70078	3	2	0	9995		0	2
70079	3	2	0	9995		0	17
70079	4	2	1	9985		0	8
70079	5	2	1	9985		0	17
70079	6	2	1	9985		0	22
70079	7	2	1	9985		0	22
70079	8	1	0	9995		0	4
70080	5	1	1	9985		0	42
70080	6	1	0	9995		0	4
70080	7	2	0	9995		0	4
70080	8	2	1	9985		0	8
70080	9	2	1	9985		0	4
70081	4	1	0	9995		0	50
70081	5	1	0	9995		0	50
70081	6	1	0	9995		0	50
70081	7	1	0	9995		0	18
70081	8	1	1	9995		0	4
70081	9	2	1	9985		0	5
70081	10	2	0	9995		0	10
70083	2	1	0	9995		0	10
70083	3	2	0	9995		0	5
70084	4	1	0	9995		0	6
70085	5	1	1	9995		0	12
70085	6	1	0	9995		0	10
70086	7	2	0	9995		0	5
70086	8	1	0	9995		0	5
70086	9	1	1	9985		0	5
70087	6	2	1	9985		0	24
70087	7	2	0	9995		0	8
70088	5	2	0	9995		0	9
70088	6	1	0	9995		0	17
70088	7	1	1	9985		0	16
70088	8	2	1	9985		0	5
70088	9	2	1	9985		0	5
70090	4	2	1	9985		0	5
70090	5	1	0	9995		0	10
70090	6	2	0	9995		0	10
70092	5	1	0	9995		0	3
70094	5	2	0	9995		0	50
70094	6	2	0	9995		0	8
70094	7	1	0	9995		0	43
70094	8	2	1	9995		0	5
70094	9	2	1	9985		0	6
70094	10	1	1	9985		0	10
70094	11	2	1	9985		0	12
70095	3	2	0	9995		0	50
70095	4	2	0	9995		0	3
70095	5	1	0	9995		0	50
70097	4	1	0	9995		0	33
70099	3	2	1	9985		0	2
70099	4	2	1	9985		0	2
70099	5	2	0	9995		0	2
70099	6	1	0	9995		0	2
70100	3	2	0	9995		0	7
70100	4	1	0	9995		0	11
70102	3	1	0	9995		0	3
70103	5	1	0	9995		0	13
70104	4	1	0	9995		0	32
70105	6	2	0	9995		0	9
70108	4	1	0	9995		0	31
70108	5	2	0	9995		0	5
70109	6	2	0	9995		0	4
70111	4	2	0	9995		0	14
70111	5	2	1	9985		0	6
70111	6	1	1	9985		0	6
70119	3	2	0	9995		0	4
70120	5	1	1	9985		0	5
70121	2	2	0	9995		0	4
70123	3	2	0	9995		0	25
70123	4	1	0	9995		0	25
70124	3	1	0	9995		0	5
70124	4	2	0	9995		0	7
70127	2	1	0	9995		0	4
70128	8	1	1	9985		0	9
70130	4	1	0	9995		0	10
70130	5	2	0	9995		0	5
70134	3	1	0	9995		0	5
