hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
20001		0	7	1974	1		0	1	4		0	9965			3	8	2	1	5	4	1	1	2	0	0	1	Wales	11	4		5	4	0	2/1/1540 00:00:00		0	1	0		0		0	4	0	2			5				0
20002		0	7	1974	1		0	5	5		0	2522			8	2	2	1	4	4	2	1	2	0	0	1	Wales	11	4		10	7	0	3/1/1540 00:00:00		1	1	0		0		0	5	0	2			2				0
20003		0	7	1974	1		0	5	4		0	244			3	8	2	1	1	1	1	1	2	0	0	1	Wales	11	1		5	4	0	2/1/1540 00:00:00		1	1	0		0		0	4	0	2			4				0
20004		0	7	1974	1		0	5	3		0	744			0	9	2	1	3	3	1	1	1	0	0	1	Wales	11	3		4	3	0	3/1/1540 00:00:00		1	2	0		0		0	5	0	2			3				0
20005		0	7	1974	1		0	5	3		0	243			3	8	2	1	2	2	1	1	1	0	0	1	Wales	11	2		4	3	0	3/1/1540 00:00:00		1	1	0		0		0	5	0	2			4				0
20006		0	7	1974	1		0	6	5		0	1541			0	9	2	1	4	3	2	1	2	0	0	1	Wales	11	3		10	7	0	4/1/1540 00:00:00		1	3	0		0		0	6	0	2			3				0
20007		0	7	1974	1		0	5	5		0	9935			5	3	2	1	6	5	2	2	1	1	1	1	Wales	11	5		10	7	0	4/1/1540 00:00:00		1	1	0		0		0	6	0	2			4				0
20008		0	7	1974	1		0	2	3		0	744			6	4	2	1	3	3	1	1	1	0	0	1	Wales	11	3		4	3	0	3/1/1540 00:00:00		1	2	0		0		0	5	0	2			4				0
20009		0	7	1974	1		1	5	3		0	1954			7	6	2	1	5	5	2	1	0	1	1	1	Wales	11	5		8	1	0	13/1/1540 00:00:00		1	1	0		0		0	1	0	2			3				0
20010		0	7	1974	1		0	5	1		0	9935			1	2	1	1	6	6	0	1	0	1	1	1	Wales	11	6		1	1	0	13/1/1540 00:00:00		1	0	0		0		0	1	2	2			8				0
20011		0	7	1974	1		0	6	2		0	1544			9	2	2	1	2	2	1	1	0	0	0	1	Wales	11	2		3	1	0	14/1/1540 00:00:00		1	2	0		0		0	2	0	2			4				0
