hhno	logday	schml	pkdl	othl	mlwhl	midml	mlso
70001	1	0	0	0	0	2	3
70001	2	0	0	0	0	1	2
70001	3	0	0	0	0	1	2
70001	4	0	0	0	0	2	3
70001	5	0	0	0	0	0	2
70001	6	0	0	0	0	1	2
70001	7	0	0	0	0	1	2
70002	3	0	0	0	0	1	2
70002	6	6	0	0	0	4	4
70002	7	6	0	0	0	5	5
70003	1	0	0	0	0	1	1
70003	2	0	0	0	0	1	1
70003	4	0	0	0	0	4	7
70003	7	4	0	0	0	3	3
70004	1	0	0	0	0	1	1
70004	2	0	0	0	0	1	1
70004	4	0	0	0	0	1	1
70004	5	0	0	0	0	1	9
70004	6	0	0	0	0	2	3
70004	7	0	0	0	0	2	2
70005	2	0	0	0	0	3	7
70005	3	0	0	0	0	1	4
70005	4	0	0	0	0	1	2
70006	7	10	0	0	0	5	5
70007	1	0	0	0	0	1	1
70007	2	0	0	0	0	1	1
70007	3	0	0	0	0	1	5
70007	4	0	0	0	0	2	8
70007	5	0	0	0	0	2	8
70007	6	0	0	0	0	2	8
70007	7	0	0	0	0	2	8
70008	1	0	0	0	0	3	3
70008	2	0	0	0	0	1	4
70008	3	0	0	0	0	2	3
70008	4	0	0	0	0	2	2
70008	7	0	0	0	0	2	2
70009	1	0	0	0	0	1	1
70009	2	0	0	0	0	1	1
70009	3	0	0	0	0	1	1
70009	6	4	0	0	0	3	3
70009	7	4	0	0	0	3	3
70011	4	0	0	0	0	0	1
70011	7	0	0	0	0	0	2
70012	1	0	0	1	0	3	3
70012	2	4	0	0	0	5	5
70012	3	0	0	1	0	3	5
70012	5	0	0	0	0	2	2
70012	6	0	0	0	0	2	3
70012	7	4	0	0	0	5	6
70013	1	0	0	0	0	1	1
70013	2	0	0	0	0	0	1
70013	3	0	0	0	0	0	3
70015	2	0	0	0	0	1	2
70015	4	0	0	0	0	1	3
70015	5	0	0	0	0	1	4
70015	6	0	0	0	0	1	4
70015	7	0	0	0	0	1	4
70016	1	2	0	0	0	1	1
70016	2	2	0	0	0	1	1
70016	3	2	0	0	0	1	1
70016	6	2	0	0	0	1	1
70017	4	0	0	0	0	2	4
70017	7	0	0	0	0	2	2
70019	1	0	0	0	0	4	4
70019	2	2	0	0	0	4	5
70019	5	2	0	0	0	3	3
70019	6	2	0	0	0	3	3
70019	7	2	0	0	0	2	4
70020	1	0	0	0	0	1	1
70020	7	0	0	0	0	1	1
70022	1	0	0	0	0	2	3
70022	2	0	0	0	0	1	1
70022	3	0	0	0	0	4	5
70022	6	0	0	0	0	1	1
70022	7	0	0	0	0	1	1
70023	1	0	0	0	0	1	1
70023	2	0	0	0	0	1	1
70023	4	0	0	0	0	1	3
70023	6	0	0	0	0	1	1
70023	7	0	0	0	0	1	1
70024	3	0	0	0	0	3	6
70024	6	0	0	0	0	0	3
70024	7	0	0	0	0	0	3
70025	1	0	0	0	0	1	1
70025	2	0	0	0	0	1	1
70025	3	0	0	0	0	1	2
70025	4	0	0	0	0	0	1
70025	5	0	0	0	0	1	1
70025	6	0	0	0	0	1	1
70025	7	0	0	0	0	1	1
70026	1	0	0	0	0	2	2
70027	1	0	0	0	0	1	1
70027	3	0	0	0	0	1	1
70027	4	0	0	0	0	1	1
70027	6	0	0	0	0	1	1
70028	1	0	0	0	0	2	2
70028	2	0	0	0	0	2	2
70028	3	0	0	0	0	2	2
70028	4	0	0	0	0	2	2
70028	5	0	0	0	0	2	2
70028	7	0	0	0	0	2	2
70030	1	0	0	0	0	2	5
70030	2	0	0	0	0	3	5
70030	3	0	0	0	0	2	3
70030	4	0	0	0	0	2	2
70030	5	0	0	0	0	3	5
70030	6	0	0	0	0	0	3
70030	7	0	0	0	0	3	3
70031	1	0	0	0	0	2	2
70031	2	2	0	0	0	3	3
70031	3	2	0	0	0	3	3
70031	4	2	0	0	0	4	6
70031	5	2	0	0	0	4	5
70032	1	0	0	0	0	1	1
70032	2	0	0	0	0	1	1
70032	3	0	0	0	0	1	1
70032	4	0	0	0	0	1	1
70032	7	0	0	0	0	1	1
70033	1	0	0	0	0	3	3
70033	3	0	0	0	0	3	7
70034	3	0	0	0	0	2	2
70034	5	0	0	0	0	2	2
70036	1	0	0	0	0	1	1
70036	5	0	0	0	0	0	2
70036	6	0	0	0	0	0	2
70036	7	0	0	0	0	1	2
70037	1	0	0	0	0	3	3
70037	2	0	0	0	0	2	2
70037	3	0	0	0	0	2	2
70037	4	0	0	0	0	3	3
70037	7	0	0	0	0	3	3
70038	1	0	0	0	0	2	2
70038	2	0	0	0	0	1	1
70038	3	0	0	0	0	2	2
70038	4	0	0	0	0	2	2
70038	5	0	0	0	0	2	2
70038	6	0	0	0	0	0	4
70039	1	4	0	0	0	4	4
70039	2	4	0	0	0	3	3
70039	3	4	0	0	0	4	4
70039	4	0	1	0	0	0	0
70039	6	4	0	0	0	3	3
70039	7	4	0	0	0	3	3
70040	1	0	0	0	0	2	2
70040	2	0	0	0	0	1	1
70040	3	0	0	0	0	2	2
70040	6	0	0	0	0	1	1
70040	7	0	0	0	0	1	1
70041	1	0	0	0	0	1	1
70043	1	2	0	0	0	3	3
70043	2	4	0	0	0	3	3
70043	3	2	0	0	0	1	1
70043	4	0	0	0	0	0	4
70043	6	2	0	0	0	3	3
70043	7	2	0	0	0	3	3
70046	1	0	0	0	0	1	1
70046	2	0	0	0	0	1	1
70047	1	0	0	0	0	1	1
70047	4	0	0	0	0	1	1
70047	5	0	0	0	0	1	1
70047	6	0	0	0	0	1	1
70047	7	0	0	0	0	1	1
70049	1	2	0	0	0	2	2
70049	4	2	0	0	0	1	1
70049	5	2	0	0	0	1	1
70049	6	2	0	0	0	1	1
70049	7	2	0	0	0	1	1
70050	1	6	0	0	0	3	3
70050	2	6	0	0	0	3	3
70050	3	6	0	0	0	3	3
70050	4	0	0	0	0	0	1
70050	5	0	0	0	0	1	3
70050	6	6	0	0	0	3	3
70050	7	6	0	0	0	3	3
70051	1	2	1	0	0	1	1
70051	2	4	1	0	0	2	2
70051	3	0	0	2	0	2	2
70051	5	4	0	0	0	2	2
70051	6	4	0	0	0	2	2
70051	7	4	0	0	0	2	2
70052	1	0	1	0	0	1	2
70052	2	0	1	0	0	0	0
70052	5	0	1	0	0	0	1
70052	6	0	1	0	0	0	1
70052	7	0	1	0	0	1	1
70055	2	0	0	0	0	1	1
70055	3	0	0	0	0	1	1
70055	4	0	0	0	0	1	1
70055	5	0	0	0	0	1	1
70056	2	0	0	0	0	1	1
70056	3	0	0	0	0	1	3
70056	4	0	0	0	0	1	3
70056	5	0	0	0	0	5	8
70056	6	0	0	0	0	1	2
70056	7	2	0	0	0	1	1
70057	2	0	0	0	0	0	4
70057	3	0	0	0	0	1	2
70057	4	0	0	0	0	1	4
70057	5	0	0	0	0	1	1
70057	6	0	0	1	0	2	2
70058	1	0	0	0	0	1	1
70058	2	0	0	0	0	1	1
70058	3	0	0	0	0	1	1
70058	4	0	0	0	0	1	1
70058	5	0	0	0	0	1	1
70058	6	0	0	0	0	1	1
70059	1	0	0	0	0	1	1
70059	4	0	0	0	0	2	2
70059	5	0	0	0	0	0	3
70060	2	0	0	0	0	1	1
70060	3	0	0	0	0	1	2
70060	4	0	0	0	0	1	2
70060	5	0	0	0	0	1	1
70060	7	0	0	0	0	1	1
70063	4	0	0	0	0	0	2
70065	4	0	0	0	0	1	2
70065	5	0	0	0	0	0	1
70066	1	0	1	0	0	1	2
70066	4	0	1	0	0	1	2
70066	5	0	1	0	0	1	2
70066	6	0	1	0	0	1	2
70066	7	0	1	0	0	1	2
70067	1	0	0	0	0	1	1
70067	6	0	0	0	0	2	3
70067	7	0	0	0	0	2	2
70068	1	0	1	0	0	2	3
70068	2	0	1	0	0	0	0
70068	4	0	0	0	0	1	1
70068	5	0	0	0	0	1	1
70068	6	0	0	0	0	2	2
70069	1	0	2	0	0	0	0
70069	2	0	0	2	0	4	4
70069	4	0	2	0	0	0	0
70069	5	0	2	0	0	0	0
70069	6	0	2	0	0	0	0
70069	7	0	2	0	0	1	1
70070	1	4	0	0	0	3	6
70070	2	4	0	0	0	3	6
70070	3	4	0	0	0	3	6
70070	4	0	2	0	0	1	4
70070	5	0	0	0	0	1	4
70070	6	2	0	0	0	2	5
70070	7	4	0	0	0	3	6
70071	1	2	0	0	0	1	2
70071	2	2	0	0	0	1	2
70071	3	2	0	0	0	1	2
70071	4	2	0	0	0	2	2
70071	7	2	0	0	0	2	3
70072	4	0	0	0	0	0	2
70073	1	2	0	0	0	1	2
70073	2	2	0	0	0	1	3
70073	3	2	0	0	0	1	2
70073	4	2	0	0	0	1	1
70073	5	2	0	0	0	1	1
70073	6	0	0	0	0	0	4
70074	3	2	0	0	0	1	1
70074	4	0	0	0	0	0	3
70074	5	0	1	0	0	0	0
70076	1	0	0	0	0	1	1
70076	2	0	0	0	0	2	2
70076	3	0	0	0	0	2	3
70076	4	0	0	0	0	2	2
70076	5	0	0	0	0	1	2
70076	7	0	0	0	0	3	3
70078	3	0	0	0	0	0	1
70079	2	0	0	0	0	2	4
70079	4	0	0	0	0	1	2
70079	6	0	0	0	0	0	2
70080	5	0	2	0	0	0	0
70080	6	0	0	2	0	3	6
70080	7	0	0	0	0	2	4
70081	1	0	0	0	0	1	4
70081	2	0	0	0	0	1	4
70081	3	0	0	0	0	0	1
70081	4	0	0	0	0	2	2
70081	7	0	0	0	0	0	2
70082	1	2	0	0	0	1	1
70082	2	6	0	0	0	3	3
70082	3	6	0	0	0	3	3
70082	5	0	0	0	0	5	10
70083	1	0	0	0	0	1	3
70083	4	0	0	0	0	1	3
70083	5	0	0	0	0	1	2
70083	6	0	0	0	0	1	2
70083	7	0	0	0	0	1	3
70084	1	0	0	0	0	0	1
70084	2	0	0	0	0	0	2
70084	3	0	0	0	0	0	2
70084	4	0	0	0	0	1	4
70084	5	0	0	0	0	0	2
70084	6	0	0	0	0	1	4
70084	7	0	0	0	0	1	3
70085	1	2	0	0	0	1	1
70085	2	2	0	0	0	1	7
70085	3	0	0	0	0	2	10
70085	7	0	0	0	0	3	5
70086	1	2	0	0	0	5	9
70086	2	0	0	1	0	5	13
70086	3	0	0	1	0	5	11
70086	4	0	0	0	0	1	4
70086	5	0	0	0	0	1	1
70086	6	0	0	0	0	1	1
70086	7	0	0	0	0	1	2
70087	1	0	0	1	0	4	4
70087	2	0	0	0	0	2	4
70087	3	0	0	0	0	2	4
70087	4	0	0	0	0	2	3
70087	5	0	0	0	0	3	5
70087	6	0	0	1	0	5	6
70087	7	0	0	1	0	5	5
70088	1	4	0	0	0	2	3
70088	2	0	0	2	0	4	4
70088	4	0	0	0	0	1	4
70088	5	0	0	0	0	1	4
70088	6	0	0	0	0	1	4
70088	7	0	0	1	0	4	13
70089	1	0	0	0	0	0	1
70089	2	0	0	0	0	0	1
70089	3	0	0	0	0	1	4
70089	4	0	0	0	0	0	3
70089	5	0	0	0	0	0	3
70089	6	0	0	0	0	0	1
70089	7	0	0	0	0	0	2
70090	1	0	0	0	0	1	2
70090	4	0	0	0	0	1	3
70090	5	0	0	0	0	1	4
70090	6	0	0	0	0	1	6
70090	7	0	0	0	0	1	2
70091	4	0	0	0	0	1	2
70092	1	0	0	0	0	1	1
70092	2	0	0	0	0	3	6
70092	3	0	0	0	0	0	2
70092	5	0	0	0	0	3	3
70092	6	0	0	0	0	3	3
70092	7	0	0	0	0	3	3
70093	1	0	0	0	0	0	1
70093	3	0	0	0	0	3	6
70093	4	0	0	0	0	0	3
70093	5	0	0	0	0	3	9
70093	6	0	0	1	0	3	6
