hhno	Pregnancy_in_household	Child(ren)_under_2
200001	No	No
200002	No	No
200003	No	No
200004	No	Yes
200005	No	No
200006	No	No
200007	No	No
200008	No	No
200009	No	No
200010	No	Yes
200011	No	Yes
200012	No	No
200013	No	No
200014	No	No
200015	No	No
200016	No	No
200017	No	No
200018	No	No
200019	No	No
200020	No	No
200021	No	No
200022	No	No
200023	No	No
200024	No	No
200025	No	No
200026	No	Yes
200027	No	No
200028	No	No
200029	No	No
200030	Yes	No
200031	No	No
200032	No	No
200033	No	No
200034	No	No
200035	No	No
200036	No	No
200037	No	No
200038	No	No
200039	No	No
200040	No	No
200041	No	No
200042	No	No
200043	No	No
200044	No	No
200045	No	No
200046	No	No
200047	No	No
200048	No	Yes
200049	No	No
200050	No	No
200051	No	No
200052	No	No
200053	No	No
200054	No	No
200055	No	No
200056	No	Yes
200057	No	No
200058	No	No
200059	No	No
200060	No	Yes
200061	No	No
200062	No	No
200063	No	No
200064	No	No
200065	No	No
200066	No	No
200067	No	No
200068	No	No
200069	No	No
200070	No	No
200071	No	Yes
200072	No	No
200073	No	No
200074	No	No
200075	No	No
200076	No	No
200077	No	No
200078	No	Yes
200079	No	No
200080	No	Yes
200081	No	No
200082	No	No
200083	No	No
200084	No	No
200085	No	No
200086	No	No
200087	No	No
200088	No	No
200089	No	No
200090	No	No
200091	No	No
200092	No	No
200093	No	No
200094	No	No
200095	No	No
200096	No	No
200097	No	No
200098	No	No
200099	No	No
200100	No	No
200101	No	No
200102	No	No
200103	No	No
200104	No	No
200105	No	Yes
200106	No	No
200107	Yes	No
200108	No	Yes
200109	No	No
200110	No	No
200111	No	No
200112	No	No
200113	No	No
200114	No	No
200115	No	No
200116	No	No
200117	No	No
200118	No	No
200119	No	No
200120	No	No
200121	No	No
200122	No	No
200123	No	No
200124	No	No
200125	No	No
200126	No	No
200127	No	No
200128	No	No
200129	No	No
200130	No	No
200131	No	No
200132	No	No
200133	No	No
200134	No	No
200135	No	Yes
200136	No	No
200137	No	No
200138	No	No
200139	No	No
200140	No	No
200141	No	No
200142	No	No
200143	No	No
200144	No	No
200145	No	No
200146	No	No
200147	No	No
200148	No	Yes
200149	No	Yes
200150	No	No
200151	No	No
200152	No	No
200153	No	No
200154	No	No
200155	No	No
200156	No	No
200157	No	No
200158	No	No
200159	No	No
200160	No	No
200161	No	Yes
200162	No	No
200163	No	No
200164	No	No
200165	No	No
200166	No	No
200167	No	No
200168	No	No
200169	No	No
200170	No	No
200171	No	No
200172	No	No
200173	No	No
200174	No	No
200175	No	Yes
200176	No	No
200177	No	No
200178	No	No
200179	No	No
200180	No	No
200181	Yes	No
200182	No	No
200183	No	No
200184	No	No
200185	No	No
200186	No	No
200187	No	No
200188	No	No
200189	No	No
200190	No	No
200191	No	No
200192	No	No
200193	No	No
200194	No	No
200195	No	No
200196	No	No
200197	No	Yes
200198	No	No
200199	No	No
200200	No	Yes
200201	No	No
200202	No	No
200203	No	No
200204	No	No
200205	No	No
200206	No	No
200207	No	No
200208	No	No
200209	No	No
200210	Yes	No
200211	No	No
200212	No	No
200213	No	No
200214	No	No
200215	No	No
200216	No	No
200217	No	No
200218	No	No
200219	No	No
200220	No	No
200221	No	No
200222	No	No
200223	No	No
200224	No	No
200225	No	No
200226	No	No
200227	No	No
200228	No	No
200229	No	Yes
200230	No	No
200231	No	Yes
200232	No	Yes
200233	No	No
200234	No	No
200235	No	No
200236	No	No
200237	No	No
