hhno	Pregnancy_in_household	Child(ren)_under_2
100136	No	No
100137	No	No
100138	No	No
100139	No	No
100140	No	No
100141	No	No
100142	No	Yes
100143	No	No
100144	No	No
100145	No	Yes
100146	No	No
100147	No	No
100148	No	No
100149	No	No
100150	No	No
100151	No	No
247562	No	No
247563	No	No
247564	No	No
247565	No	No
247566	No	No
247567	No	No
247568	No	No
247569	No	No
247570	No	No
247571	No	No
247572	No	No
247573	No	No
247574	No	No
247575	No	No
247576	No	No
247577	No	No
247578	No	No
247579	No	No
247580	No	No
247581	No	No
247582	No	Yes
247583	No	Yes
247584	No	No
247585	No	No
247586	No	No
247587	No	No
247588	No	No
247589	No	Yes
247590	No	No
247591	No	No
247592	No	Yes
247593	No	No
247594	No	No
247595	No	No
247596	No	No
247597	No	No
247598	No	No
247599	No	No
247600	No	No
247601	No	No
247602	No	No
247603	No	No
247604	No	No
247605	No	No
247606	No	No
247607	No	No
247608	No	No
247609	No	No
247610	No	No
247611	No	No
247612	No	No
247613	No	No
247614	No	No
247615	No	No
247616	No	No
247617	No	No
247618	No	Yes
247619	No	No
247620	No	No
247621	No	No
247622	No	Yes
247623	No	No
247624	No	No
247625	No	No
247626	No	No
247627	No	No
247628	No	No
247629	No	No
247630	No	No
247631	No	No
247632	No	No
247633	No	No
247634	No	No
247635	No	No
247636	No	No
247637	No	No
247638	No	No
247639	No	Yes
247640	No	No
247641	No	No
247642	No	No
247643	No	No
247644	No	No
247645	No	No
247646	No	No
247647	No	No
247648	No	No
247649	No	Yes
247650	No	No
247651	No	No
247652	No	No
247653	No	No
247654	No	No
247655	No	Yes
247656	No	No
247657	No	No
247658	No	No
247659	No	No
247660	No	No
247661	No	No
247662	No	No
247663	No	No
247664	No	No
247665	No	No
247666	No	No
247667	No	No
247668	Yes	No
247669	No	No
247670	No	No
247671	No	No
247672	No	No
247673	No	No
247674	No	No
247675	No	Yes
247676	No	No
247677	No	No
247678	No	No
247679	No	No
247680	No	No
247681	No	No
247682	No	No
247683	No	No
247684	No	No
247685	No	No
247686	No	No
247687	No	No
247688	No	No
247689	No	No
247690	No	No
247691	No	No
247692	No	No
247693	No	No
247694	No	No
247695	No	No
247696	No	No
247697	No	No
247698	No	No
247699	No	No
247700	No	Yes
247701	No	No
247702	No	No
247703	No	No
247704	No	No
247705	No	No
247706	No	No
247707	No	No
247708	No	No
247709	No	No
247710	No	No
247711	No	No
247712	No	No
247713	No	No
247714	No	No
247715	No	No
247716	No	No
247717	No	No
247718	No	No
247719	No	No
247720	No	No
247721	No	No
247722	No	No
247723	No	No
247724	No	No
247725	No	No
247726	No	No
247727	No	No
247728	No	No
247729	No	No
247730	No	No
247731	No	No
247732	No	No
247733	No	No
247734	No	No
247735	No	No
247736	No	No
247737	No	No
247738	No	No
247739	No	No
247740	No	No
247741	No	No
247742	No	No
247743	No	No
247744	No	No
247745	No	No
247746	No	No
247747	No	No
247748	No	No
247749	No	No
247750	No	No
247751	No	No
247752	No	No
247753	No	No
247754	No	No
247755	No	No
247756	No	No
247757	No	No
247758	No	No
247759	No	No
247760	No	No
247761	No	No
247762	No	No
247763	No	No
247764	No	No
247765	No	No
247766	No	No
247767	No	Yes
247768	No	No
247769	No	No
247770	No	No
247771	No	No
247772	No	Yes
247773	No	No
247774	No	No
247775	No	No
247776	No	No
247777	No	No
247778	No	No
247779	No	No
247780	No	No
247781	No	No
247782	No	No
247783	No	No
247784	No	No
247785	No	No
