hhno	logday	schml	pkdl	othl	mlwhl	midml	mlso
20002	1	0	0	0	0	0	1
20002	3	0	0	0	0	0	1
20002	4	1	0	0	0	2	2
20002	5	1	0	0	0	3	4
20002	6	1	0	0	0	2	2
20002	7	1	0	0	0	2	2
20004	1	0	0	0	0	1	1
20004	2	0	0	1	0	2	4
20004	4	0	1	0	0	1	1
20004	5	0	1	0	0	1	1
20004	6	0	1	0	0	1	1
20004	7	0	1	0	0	2	2
20006	1	0	0	0	0	0	2
20006	2	0	0	0	0	1	2
20006	3	1	0	0	0	5	5
20006	4	1	0	0	0	5	5
20006	5	1	0	0	0	5	5
20006	6	1	0	0	0	5	5
20006	7	1	0	0	0	5	5
20008	1	0	0	0	0	1	2
20008	4	0	0	0	0	1	4
20008	5	0	0	0	0	1	4
20008	6	0	0	0	0	1	4
20008	7	0	0	0	0	2	5
20009	1	0	0	0	0	0	1
20011	3	0	0	0	0	1	1
20011	4	0	0	0	0	1	1
20011	7	0	0	0	0	1	1
20012	1	3	0	0	0	3	3
20012	2	3	0	0	0	3	3
20012	3	3	0	0	0	3	4
20012	4	0	3	0	0	0	0
20012	5	3	0	0	0	3	3
20013	1	0	0	0	0	1	3
20013	4	0	0	0	0	1	3
20013	7	0	0	0	0	1	4
20014	1	0	0	0	0	4	4
20014	2	2	0	0	0	1	1
20014	3	2	0	0	0	1	1
20014	4	0	0	0	0	0	8
20014	5	0	0	0	0	2	8
20014	6	2	0	0	0	1	1
20014	7	2	0	0	0	1	1
20015	1	0	0	0	0	4	4
20015	2	2	0	0	0	1	1
20015	3	2	0	0	0	1	1
20015	4	0	0	0	0	0	8
20015	5	0	0	0	0	2	8
20015	6	2	0	0	0	1	1
20015	7	2	0	0	0	1	1
20016	1	0	0	0	0	1	2
20016	2	0	0	0	0	1	1
20016	3	0	0	0	0	1	1
20016	4	0	0	0	0	1	3
20016	5	0	0	0	0	1	4
20016	6	0	0	0	0	0	1
20017	1	0	0	0	0	1	2
20017	2	0	0	0	0	1	1
20017	3	0	0	0	0	1	1
20017	4	0	0	0	0	1	3
20017	5	0	0	0	0	1	4
20017	6	0	0	0	0	0	1
20018	1	2	0	0	0	2	2
20018	2	2	0	0	0	1	1
20018	3	2	0	0	0	2	2
20018	4	2	0	0	0	1	1
20018	5	2	0	0	0	1	1
20019	1	2	0	0	0	2	2
20019	2	2	0	0	0	1	1
20019	3	2	0	0	0	2	2
20019	4	2	0	0	0	1	1
20019	5	2	0	0	0	1	1
20022	1	2	0	0	0	1	1
20022	2	2	0	0	0	1	1
20022	3	2	0	0	0	1	1
20022	5	0	0	0	0	1	1
20022	6	2	0	0	0	1	1
20022	7	2	0	0	0	1	1
20023	1	2	0	0	0	1	1
20023	2	2	0	0	0	1	1
20023	3	2	0	0	0	1	1
20023	5	0	0	0	0	1	1
20023	6	2	0	0	0	1	1
20023	7	2	0	0	0	1	1
20024	1	0	0	0	0	0	1
20024	4	0	0	0	0	1	1
20024	5	0	0	0	0	1	2
20024	6	0	0	0	0	0	2
20024	7	0	0	0	0	0	4
20025	1	0	0	0	0	0	1
20025	4	0	0	0	0	1	1
20025	5	0	0	0	0	1	2
20025	6	0	0	0	0	0	2
20025	7	0	0	0	0	0	4
20026	1	0	0	0	0	0	2
20026	2	0	0	0	0	0	3
20026	6	0	0	0	0	0	4
20027	1	0	0	0	0	0	2
20027	2	0	0	0	0	0	3
20027	6	0	0	0	0	0	4
20028	1	0	0	0	0	1	1
20028	2	0	0	0	0	1	1
20028	3	0	0	0	0	1	1
20028	4	0	0	0	0	1	1
20028	6	0	0	0	0	0	1
20028	7	0	0	0	0	1	1
20029	1	0	0	0	0	1	1
20029	2	0	0	0	0	1	1
20029	3	0	0	0	0	1	1
20029	4	0	0	0	0	1	1
20029	6	0	0	0	0	0	1
20029	7	0	0	0	0	1	1
20030	1	2	0	0	0	1	1
20030	2	2	0	0	0	1	1
20030	3	0	0	0	0	2	2
20030	5	2	0	0	0	1	1
20030	6	2	0	0	0	1	1
20030	7	2	0	0	0	2	2
20031	1	0	0	0	0	2	2
20031	3	0	0	0	0	0	3
20031	5	0	0	0	0	1	1
20031	7	0	0	0	0	1	1
20032	4	0	0	0	0	0	5
20032	5	4	0	0	0	2	2
20032	6	4	0	0	0	2	2
20032	7	4	0	0	0	2	2
20035	4	0	0	0	0	0	4
20035	5	0	0	0	0	1	1
20035	6	0	0	0	0	2	4
20035	7	0	0	0	0	1	1
20036	1	0	0	0	0	0	2
20036	3	0	0	0	0	2	2
20036	4	0	0	0	0	2	4
20036	5	0	0	0	0	2	2
20036	6	0	0	0	0	2	2
20036	7	0	0	0	0	2	2
20037	1	0	0	0	0	0	4
20037	2	0	0	0	0	1	1
20037	4	0	0	0	0	0	1
20037	5	0	0	0	0	0	2
20037	6	0	0	0	0	2	6
20037	7	0	0	0	0	2	7
20038	1	0	0	1	0	1	3
20038	5	0	0	0	0	0	2
20038	6	0	0	1	0	1	4
20038	7	0	0	1	0	1	4
20040	1	0	0	0	0	1	1
20040	5	0	0	0	0	3	3
20041	2	0	0	0	0	0	1
20041	3	0	0	0	0	1	2
20041	4	0	0	0	0	1	1
20041	5	0	0	0	0	0	2
20042	2	0	0	0	0	1	1
20042	3	0	0	0	0	1	1
20042	4	0	0	0	0	1	1
20042	7	0	0	0	0	1	1
20043	4	0	0	0	0	1	2
20044	1	0	0	0	0	1	1
20044	5	4	0	0	0	2	2
20044	6	4	0	0	0	3	4
20044	7	4	0	0	0	2	2
20045	1	0	0	0	0	1	2
20045	2	0	0	0	0	1	5
20045	4	0	0	0	0	2	2
20045	5	0	0	0	0	1	2
20045	6	0	0	0	0	2	3
20045	7	0	0	0	0	1	1
20046	1	0	0	0	0	1	1
20046	2	0	0	0	0	0	3
20046	3	0	0	0	0	0	3
20046	4	0	0	0	0	1	1
20046	5	0	0	0	0	1	1
20046	6	0	0	0	0	2	2
20046	7	0	0	0	0	1	4
20047	6	0	0	0	0	0	1
20048	1	0	0	0	0	1	2
20048	2	0	0	1	0	1	1
20049	5	2	1	0	0	1	3
20049	6	2	1	0	0	2	5
20049	7	0	1	0	0	1	4
20050	1	0	0	0	0	0	2
20050	2	0	0	0	0	0	2
20050	3	0	0	0	0	0	2
20050	5	0	0	0	0	0	1
20050	6	0	0	0	0	0	1
20050	7	0	0	0	0	0	2
20051	1	0	0	0	0	0	1
20051	3	2	0	0	0	1	1
20051	4	2	0	0	0	1	1
20051	5	2	0	0	0	1	1
20051	6	2	0	0	0	1	1
20051	7	2	0	0	0	1	1
20052	1	0	0	0	0	1	3
20052	5	0	0	0	0	1	2
20052	6	0	0	0	0	0	1
20052	7	0	0	0	0	1	1
20054	4	0	0	0	0	3	6
20054	5	0	0	0	0	1	1
20054	6	0	0	0	0	0	5
20055	2	0	0	0	0	1	1
20055	4	0	0	0	0	1	1
20055	5	0	0	0	0	0	1
20055	6	0	0	0	0	0	1
20055	7	4	0	0	0	4	4
20056	2	0	0	0	0	0	1
20056	3	0	0	0	0	0	1
20056	4	0	0	0	0	0	1
20056	5	0	0	0	0	0	2
20056	7	4	1	0	0	3	3
20057	1	0	0	0	0	2	2
20057	5	0	0	0	0	0	1
20057	7	2	0	0	0	1	1
20058	1	0	0	0	0	3	6
20058	2	0	0	0	0	0	1
20058	3	0	0	0	0	0	1
20058	4	0	0	0	0	0	1
20058	7	0	0	0	0	0	3
20059	2	0	0	0	0	3	5
20059	3	0	0	0	0	1	3
20059	4	0	0	0	0	1	1
20059	7	2	0	0	0	2	2
20060	3	0	0	0	0	0	3
20060	5	0	0	0	0	3	3
20060	6	0	0	0	0	0	3
20060	7	0	0	0	0	1	2
20061	2	0	0	0	0	0	1
20061	6	0	0	0	0	1	1
20061	7	0	0	0	0	1	1
20062	6	0	0	0	0	3	7
20063	5	0	0	0	0	1	2
20065	1	2	0	0	0	1	1
20065	2	2	0	0	0	2	2
20065	3	0	0	0	0	2	2
20065	5	2	0	0	0	1	1
20065	6	2	0	0	0	1	1
20065	7	2	0	0	0	1	1
20066	1	0	0	0	0	1	1
20066	4	2	0	0	0	2	2
20066	5	2	0	0	0	2	2
20066	6	2	0	0	0	2	2
20066	7	2	0	0	0	2	2
20067	1	4	0	0	0	2	2
20067	2	4	0	0	0	2	3
20067	3	0	0	1	0	1	2
20067	5	4	0	0	0	2	2
20067	6	4	0	0	0	2	2
20067	7	4	0	0	0	2	2
20068	1	0	2	0	0	2	2
20068	2	0	0	0	0	1	1
20068	3	0	2	0	0	0	0
20068	4	4	0	0	0	5	5
20068	5	0	2	0	0	1	1
20068	6	4	0	0	0	3	3
20068	7	0	2	0	0	1	1
20069	1	0	0	0	0	1	4
20069	2	0	0	0	0	1	4
20069	3	0	0	0	0	1	6
20069	4	0	0	0	0	0	3
20069	5	0	0	0	0	2	3
20069	6	0	0	0	0	2	2
20069	7	0	0	0	0	2	2
20070	1	0	0	0	0	1	3
20070	2	0	0	0	0	0	1
20070	6	0	0	0	0	1	1
20071	1	2	0	0	0	4	4
20071	2	0	0	0	0	3	3
20071	4	2	0	0	0	3	3
20071	5	2	0	0	0	3	3
20071	6	2	0	0	0	3	3
20071	7	2	0	0	0	3	3
20074	1	0	0	1	0	2	2
20074	3	6	0	0	0	4	4
20074	4	2	0	0	0	2	2
20074	5	0	0	0	0	1	1
20074	7	6	0	0	0	4	4
20075	2	0	0	0	0	1	2
20075	3	0	0	0	0	1	2
20075	4	0	0	0	0	0	4
20075	5	0	0	0	0	1	2
20075	6	0	0	0	0	1	2
20075	7	0	0	0	0	4	8
20076	2	0	0	0	0	0	4
20076	4	0	0	0	0	0	2
20076	6	0	0	0	0	0	3
20077	1	0	0	0	0	2	2
20077	2	0	0	0	0	2	2
20077	3	0	0	0	0	2	2
20077	4	0	0	0	0	2	2
20077	7	2	0	0	0	2	2
20078	1	0	0	0	0	0	1
20078	2	0	0	0	0	0	2
20078	5	0	0	0	0	0	4
20079	6	0	0	0	0	0	1
20080	4	0	0	0	0	0	1
20080	5	0	0	0	0	4	6
20081	1	0	0	0	0	3	3
20081	2	0	0	0	0	0	1
20081	3	2	0	0	0	2	2
20081	5	0	0	0	0	1	5
20081	6	0	0	0	0	0	2
20082	1	2	0	0	0	2	2
20082	2	2	0	0	0	3	6
20082	3	2	0	0	0	3	3
20082	4	2	0	0	0	3	4
20082	6	0	0	0	0	1	3
20082	7	2	0	0	0	3	7
20083	1	2	1	0	0	1	1
20083	5	2	0	0	0	1	1
20083	6	0	0	0	0	0	5
20084	6	0	0	0	0	0	4
20084	7	0	0	0	0	2	6
20085	1	0	0	0	0	5	10
20085	2	0	0	0	0	2	2
20085	6	0	0	0	0	4	10
20085	7	0	0	0	0	0	1
20086	1	0	0	0	0	1	1
20086	2	0	0	0	0	0	2
20086	3	0	0	0	0	2	2
20086	5	0	0	0	0	1	1
20086	6	0	0	0	0	1	1
20086	7	0	0	0	0	1	1
20087	1	0	0	0	0	1	2
20087	2	0	0	0	0	0	2
20087	3	0	0	0	0	0	1
20087	4	0	0	0	0	0	2
20087	5	0	0	0	0	0	1
20088	2	0	0	0	0	0	1
20088	4	0	0	0	0	3	4
20088	5	0	0	0	0	4	9
20088	7	0	0	0	0	1	2
20089	1	0	0	0	0	5	12
20089	2	0	0	0	0	0	1
20089	5	0	0	0	0	0	1
20089	6	0	0	0	0	0	1
20091	2	0	0	0	0	0	6
20091	4	0	0	0	0	0	1
20091	5	0	0	0	0	0	6
20091	6	0	0	0	0	3	6
20092	2	0	1	0	0	0	0
20092	7	0	0	0	0	4	4
20093	4	0	0	0	0	1	1
20094	1	0	0	0	0	1	2
20094	2	0	0	0	0	3	3
20094	3	0	0	0	0	1	2
20094	4	0	0	0	0	1	1
20094	5	0	0	0	0	1	3
20094	6	0	0	0	0	1	3
20094	7	0	0	0	0	0	1
20095	5	0	0	0	0	1	3
20095	6	0	0	0	0	1	4
20095	7	0	0	0	0	1	4
20096	1	0	0	0	0	1	2
20096	2	0	0	0	0	1	3
20096	3	0	0	0	0	1	3
20096	4	0	0	0	0	0	2
20096	5	0	0	0	0	5	20
20096	6	0	0	0	0	5	20
20096	7	0	0	0	0	5	20
20097	4	0	0	0	0	0	2
20097	5	0	0	0	0	0	2
20097	6	0	0	0	0	0	1
20098	5	0	0	0	0	0	4
20098	6	0	0	0	0	2	8
20098	7	0	0	0	0	2	8
20099	1	0	0	0	0	1	2
20099	2	0	0	0	0	1	2
20099	3	0	0	0	0	1	2
20099	4	0	0	0	0	1	2
20099	5	0	0	0	0	1	2
20099	6	0	0	0	0	0	1
20099	7	0	0	0	0	1	1
20100	5	0	0	0	0	0	4
20100	6	0	0	0	0	2	6
20103	1	0	1	0	0	3	7
20103	2	0	1	0	0	2	3
20103	3	0	0	0	0	1	10
20103	4	0	0	0	0	1	9
20103	5	2	0	0	0	4	7
20103	6	2	0	0	0	4	4
