hhno	logday	schml	pkdl	othl	mlwhl	midml	mlso
200002	4	0	0	0	0	1	1
200002	5	0	0	0	0	1	1
200003	1	0	0	1	0	2	2
200003	4	0	0	0	0	0	2
200003	7	0	0	0	0	1	3
200006	1	0	0	0	0	1	1
200006	2	0	0	0	0	2	2
200006	5	0	0	0	0	2	2
200006	6	0	0	0	0	2	2
200007	2	0	0	0	0	0	4
200007	4	0	0	0	0	2	2
200007	5	0	0	0	0	1	1
200007	6	0	0	0	0	0	1
200007	7	0	0	0	0	0	2
200008	2	0	0	0	0	2	2
200009	4	0	0	0	0	0	1
200009	5	0	0	0	0	1	1
200010	1	0	0	1	0	4	4
200010	2	0	0	0	0	3	3
200010	3	0	0	0	0	3	3
200010	4	0	0	0	0	3	3
200010	5	0	0	0	0	3	3
200010	6	0	0	0	0	3	8
200010	7	0	0	0	0	3	3
200011	4	0	0	0	0	3	3
200011	5	0	0	0	0	2	2
200012	2	0	0	0	0	0	2
200012	4	0	0	0	0	1	1
200012	6	0	0	0	0	1	1
200015	2	0	0	0	0	1	2
200015	3	0	0	0	0	0	2
200015	4	0	0	0	0	1	2
200015	5	0	0	0	0	2	3
200015	6	0	0	0	0	1	2
200015	7	0	0	0	0	1	2
200016	3	0	0	0	0	0	2
200017	1	0	0	0	0	2	2
200017	2	0	0	0	0	1	3
200017	3	0	0	0	0	4	4
200017	4	0	0	0	0	1	2
200017	5	0	0	0	0	2	3
200017	6	0	0	0	0	2	2
200017	7	0	0	0	0	1	1
200019	2	0	0	1	0	3	3
200019	5	1	0	1	0	2	2
200019	6	1	0	1	0	4	4
200019	7	0	0	1	0	1	1
200020	1	0	0	0	0	0	1
200020	3	0	0	0	0	0	1
200020	4	0	0	0	0	1	2
200021	1	0	0	1	0	2	2
200021	2	0	0	0	0	1	1
200021	3	0	0	0	0	1	1
200021	5	1	1	0	0	3	3
200021	6	1	1	0	0	3	3
200021	7	1	1	0	0	3	3
200022	1	0	0	0	0	1	3
200022	4	0	0	0	0	3	3
200022	5	0	0	0	0	3	3
200022	6	0	0	0	0	3	3
200022	7	0	0	0	0	1	1
200023	2	0	0	0	0	0	1
200023	5	0	0	0	0	1	2
200023	7	0	0	0	0	1	1
200027	2	0	0	0	0	0	4
200027	3	0	0	0	0	4	12
200027	4	0	0	0	0	1	1
200027	6	0	0	0	0	0	1
200027	7	0	0	0	0	0	4
200028	1	0	0	0	0	0	3
200028	3	0	0	1	0	1	1
200028	6	0	0	0	0	0	5
200028	7	0	0	0	0	0	3
200030	5	0	0	0	0	1	2
200030	7	0	0	0	0	3	6
200031	2	0	0	0	0	1	4
200031	3	0	0	0	0	1	3
200031	4	0	0	0	0	1	5
200031	5	0	0	0	0	1	5
200031	6	0	0	0	0	0	3
200031	7	0	0	0	0	1	4
200033	1	0	0	0	0	1	1
200034	7	0	0	0	0	1	1
200035	1	0	0	0	0	1	1
200035	3	0	0	0	0	1	1
200035	4	0	0	0	0	1	1
200035	6	0	0	0	0	0	1
200035	7	0	0	0	0	1	2
200036	3	1	0	0	0	4	5
200036	4	2	0	0	0	3	3
200036	5	2	0	0	0	2	3
200036	6	2	0	0	0	4	5
200036	7	2	0	0	0	3	3
200037	5	0	0	0	0	0	3
200037	6	0	0	0	0	3	6
200037	7	0	1	0	0	0	0
200038	1	0	0	0	0	2	2
200038	7	0	0	0	0	1	1
200040	5	0	0	0	0	0	2
200040	7	0	0	0	0	1	1
200041	1	0	0	0	0	1	2
200041	2	0	0	0	0	0	1
200041	3	0	0	0	0	0	1
200041	4	0	0	0	0	0	1
200041	5	0	0	0	0	1	1
200041	7	0	0	0	0	0	1
200042	1	0	0	0	0	0	1
200043	2	0	0	0	0	1	1
200044	1	0	0	0	0	1	1
200044	2	0	0	0	0	2	2
200044	4	0	0	0	0	1	1
200044	5	0	0	0	0	1	1
200044	6	0	0	0	0	1	1
