hhno	logday	schml	pkdl	othl	mlwhl	midml	mlso
140001	2	0	0	0	0	2	2
140001	5	0	0	0	0	1	1
140001	6	0	0	0	0	1	1
140002	3	0	0	0	0	1	2
140002	4	0	0	0	0	1	3
140002	5	0	0	0	0	0	1
140002	6	0	0	0	0	0	1
140003	2	0	0	1	0	3	5
140003	4	0	0	1	0	4	4
140004	1	0	0	0	0	0	1
140005	1	0	0	0	0	2	2
140005	5	0	0	0	0	2	2
140006	3	0	0	0	0	2	2
140006	6	0	0	0	0	2	2
140006	7	0	0	0	0	2	3
140007	2	0	0	0	0	1	1
140007	3	0	0	0	0	2	2
140007	4	0	0	0	0	2	2
140007	5	0	0	0	0	2	2
140007	7	0	0	0	0	2	2
140008	2	0	0	0	0	2	2
140010	1	0	0	0	0	2	2
140010	3	0	0	0	0	1	1
140011	4	0	0	0	0	0	1
140011	6	0	0	0	0	0	1
140013	1	0	0	0	0	4	4
140014	3	0	0	0	0	0	1
140014	7	0	0	0	0	1	2
140015	2	2	1	0	0	1	3
140015	3	2	1	0	0	1	3
140015	6	2	1	0	0	1	3
140015	7	2	1	0	0	1	3
140016	3	0	0	0	0	0	2
140017	1	0	2	0	0	2	5
140017	2	2	1	0	0	3	4
140017	5	0	2	0	0	2	4
140017	6	0	2	0	0	2	5
140017	7	0	2	0	0	1	4
140018	1	0	1	0	0	0	0
140018	2	0	1	0	0	0	0
140018	5	0	1	0	0	0	0
140018	6	0	1	0	0	0	0
140018	7	0	1	0	0	0	0
140019	2	2	0	0	0	1	1
140019	3	2	0	0	0	3	3
140019	4	0	0	0	0	3	3
140019	6	2	0	0	0	2	2
140019	7	0	0	0	0	1	1
140020	3	0	0	0	0	0	2
140021	1	0	0	0	0	2	5
140021	4	0	0	0	0	2	2
140021	7	0	0	0	0	2	6
140022	1	0	0	0	0	0	2
140022	4	0	0	0	0	0	2
140022	6	0	0	0	0	0	2
140022	7	0	0	0	0	0	2
140024	2	0	0	0	0	0	6
140024	5	0	0	0	0	1	1
140024	6	0	0	0	0	2	2
140024	7	0	0	0	0	1	1
140026	1	2	0	0	0	1	2
140026	2	4	0	0	0	2	3
140026	3	0	0	0	0	0	1
140026	6	0	0	0	0	0	1
140026	7	0	0	0	0	0	1
140027	1	0	0	0	0	0	1
140027	4	0	0	0	0	0	1
140028	1	0	1	0	0	2	2
140028	2	0	1	0	0	2	2
140028	3	0	0	1	0	3	3
140028	4	0	0	0	0	1	3
140028	5	0	0	0	0	1	1
140028	6	0	0	0	0	0	5
140028	7	0	0	0	0	2	9
140029	1	0	0	0	0	2	6
140029	2	0	0	0	0	3	9
140029	6	0	0	0	0	2	2
140030	1	0	0	0	0	2	2
140030	2	0	0	0	0	1	1
140030	3	0	0	0	0	2	4
140030	5	0	0	0	0	2	2
140030	6	0	0	0	0	2	6
140030	7	0	0	0	0	2	2
140031	1	0	1	0	0	0	0
140031	2	0	1	0	0	0	0
140031	3	0	1	0	0	0	0
140031	4	0	1	0	0	0	0
140031	5	0	1	0	0	0	0
140032	1	0	1	0	0	0	0
140032	2	0	1	0	0	0	0
140032	4	0	1	0	0	0	0
140032	5	0	1	0	0	0	0
140032	6	0	0	0	0	1	1
140033	1	0	0	0	0	1	5
140033	2	0	0	0	0	1	1
140033	3	0	0	0	0	1	1
140033	4	0	0	0	0	1	1
140033	5	0	0	0	0	2	6
140033	7	0	0	0	0	1	1
140035	3	0	0	0	0	1	1
140036	1	0	1	0	0	0	2
140036	2	2	1	0	0	2	2
140036	3	2	1	0	0	2	4
140036	4	2	1	0	0	3	3
140036	5	2	1	0	0	2	2
140036	6	0	0	0	0	4	5
140036	7	0	0	0	0	0	1
140037	1	0	1	0	0	1	1
140037	2	0	1	0	0	2	2
140037	3	0	1	0	0	1	1
140037	4	0	1	0	0	1	1
140037	5	0	1	0	0	2	2
140038	1	0	0	0	0	3	11
140038	2	0	1	0	0	0	0
140038	3	0	1	0	0	0	0
140038	4	0	1	0	0	0	0
140038	7	0	1	0	0	0	0
140039	3	0	0	0	0	0	2
140039	6	0	0	0	0	0	4
140040	1	0	1	0	0	1	1
140040	2	0	1	0	0	2	2
140040	3	0	2	0	0	1	1
140040	4	0	2	0	0	1	1
140040	5	0	0	0	0	2	2
140040	7	0	2	0	0	1	1
140041	2	0	0	0	0	1	3
140042	4	0	0	0	0	2	2
140043	1	0	0	0	0	3	8
140043	2	0	0	0	0	4	7
140043	3	0	0	0	0	2	6
140043	4	0	0	0	0	2	4
140043	7	0	0	0	0	3	5
140044	4	0	0	1	0	2	2
140044	6	0	0	2	0	4	4
140044	7	0	2	0	0	0	0
140045	7	0	0	0	0	0	2
140048	2	0	0	0	0	0	4
140049	1	0	0	0	0	0	2
140049	4	0	0	0	0	0	2
140049	5	0	0	0	0	1	1
140049	7	0	0	0	0	0	2
140052	1	0	0	0	0	1	2
140052	2	0	0	0	0	1	2
140052	3	0	0	0	0	3	3
140052	5	0	0	0	0	1	2
140052	6	0	0	0	0	1	1
140052	7	0	0	0	0	1	2
140053	1	0	0	0	0	1	3
140053	2	0	0	0	0	2	6
140053	3	0	0	0	0	1	2
140053	4	0	0	0	0	1	2
140053	7	0	0	0	0	1	2
140054	1	0	0	0	0	0	1
140054	3	0	0	0	0	2	2
140054	5	0	0	0	0	1	1
140054	6	0	0	0	0	1	1
140054	7	0	0	0	0	1	1
140055	1	0	0	0	0	1	2
140055	2	0	0	0	0	0	1
140055	3	2	0	0	0	1	1
140055	5	2	0	0	0	1	1
140056	7	0	0	0	0	0	1
140057	3	2	0	0	0	1	3
140057	4	2	0	0	0	1	1
