hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
80001		0	21	1980	1		0	6	3		1	9955		1	0	9	2	1	2	2	1	1	1	0	0	1	Wales	11	2	1	4	3	9	2/1/1540 00:00:00		1	2	0		0		0	4	0	2							0
80002		0	21	1980	1		1	6	2		4	9995		0	5	8	1	1	3	3	0	2	0	0	0	1	Wales	11	3	3	3	1	3	2/1/1540 00:00:00		1	2	0		0		0	4	0	2							0
80003		0	21	1980	1		1	6	4		3	1954		1	7	8	2	1	5	4	1	2	1	0	0	1	Wales	11	4	2	10	7	26	2/1/1540 00:00:00		1	2	0		0		0	3	0	2							0
80004		0	21	1980	1		0	2	4		5	9945		0	6	8	1	1	4	4	0	2	2	0	0	1	Wales	11	4	4	5	4	16	2/1/1540 00:00:00		1	2	0		0		0	4	0	2							0
80005		0	21	1980	1		0	6	6		4	744		2	8	6	2	1	4	3	1	1	4	0	0	1	Wales	11	3	3	7	6	23	2/1/1540 00:00:00		1	2	0		0		0	4	0	2							0
80006		0	21	1980	1		1	6	2		4	2244		1	4	1	2	1	4	5	1	1	0	0	0	1	Wales	11	5	3	3	1	3	3/1/1540 00:00:00		1	1	0		0		0	5	0	2							0
80007		0	21	1980	1		0	6	2		4	2422		0	5	2	1	1	3	3	0	1	1	0	0	1	Wales	11	3	3	2	2	7	2/1/1540 00:00:00		1	1	0		0		0	3	0	2							0
80008		0	21	1980	1		1	6	4		5	9965		1	4	8	2	1	2	2	1	1	2	0	0	1	Wales	11	2	4	5	4	16	2/1/1540 00:00:00		1	1	0		0		0	4	0	2							0
80009		0	21	1980	1		0	2	1		4	9975		0	3	2	1	1	5	5	0	1	0	0	0	1	Wales	11	5	3	1	1	3	4/1/1540 00:00:00		1	1	0		0		0	6	0	2							0
80010		0	21	1980	1		0	3	1		4	1894		3	0	9	1	1	1	1	1	0	0	0	0	1	Wales	11	1	3	1	1	3	2/1/1540 00:00:00		0	1	0		0		0	4	0	2							0
80011		0	21	1980	1		0	3	2		5	2354		0	4	1	1	1	1	1	0	1	1	0	0	1	Wales	11	1	4	2	2	8	2/1/1540 00:00:00		0	2	0		0		0	4	0	2							0
80012		0	21	1980	2		1	6	4		4	1654		2	6	2	2	1	2	1	1	1	2	0	0	1	Wales	11	1	3	5	4	15	4/1/1540 00:00:00		1	1	0		0		0	2	0	2							0
80013		0	21	1980	2		1	6	4		4	353		2	6	6	2	1	4	4	2	1	1	0	0	1	Wales	11	4	3	10	7	27	3/1/1540 00:00:00		1	2	0		0		0	1	0	2							0
80014		0	21	1980	2		1	6	4		3	2514		1	9	1	2	1	2	2	1	1	2	0	0	1	Wales	11	2	2	5	4	14	5/1/1540 00:00:00		1	2	0		0		0	3	0	2							0
80015		0	21	1980	2		1	6	3		3	744		2	5	2	2	1	2	2	1	1	1	0	0	1	Wales	11	2	2	4	3	10	5/1/1540 00:00:00		1	1	0		0		0	3	0	2							0
80016		0	21	1980	2		1	6	4		4	2144		1	5	3	2	1	4	4	1	1	2	0	0	1	Wales	11	4	3	5	4	15	4/1/1540 00:00:00		1	1	0		0		0	2	0	2							0
80017		0	21	1980	2		1	6	2		4	844		2	4	8	2	1	2	1	1	1	0	0	0	1	Wales	11	1	3	3	1	3	4/1/1540 00:00:00		1	2	0		0		0	2	0	2							0
80018		0	21	1980	2		1	6	4		5	9965		1	5	8	2	1	4	3	1	2	1	0	0	1	Wales	11	3	4	10	7	28	5/1/1540 00:00:00		1	3	0		0		0	3	0	2							0
80019		0	21	1980	2		1	6	2		3	2524		1	10	6	2	1	4	4	1	1	0	0	0	1	Wales	11	4	2	3	1	2	5/1/1540 00:00:00		1	2	0		0		0	3	0	2							0
80020		0	21	1980	2		0	6	4		4	644		2	10	6	2	1	3	3	2	1	1	0	0	1	Wales	11	3	3	10	7	27	4/1/1540 00:00:00		1	2	0		0		0	2	0	2							0
80021		0	21	1980	2		1	6	4		3	2422		1	9	6	2	1	2	2	1	1	2	0	0	1	Wales	11	2	2	5	4	14	4/1/1540 00:00:00		1	2	0		0		0	2	0	2							0
80022		0	21	1980	2		0	6	3		4	1944		1	4	2	2	1	2	1	1	1	1	0	0	1	Wales	11	1	3	4	3	11	3/1/1540 00:00:00		1	1	0		0		0	1	0	2							0
80023		0	21	1980	2		1	1	4		4	1944		1	7	1	2	1	2	2	1	2	1	0	1	1	Wales	11	2	3	10	7	27	4/1/1540 00:00:00		1	1	0		0		0	2	0	2							0
80024		0	21	1980	2		1	6	3		3	2524		1	8	1	1	1	3	3	1	0	2	0	0	1	Wales	11	3	2	2	2	6	5/1/1540 00:00:00		1	1	0		0		0	3	0	2							0
