hhno	visgpno	sex	age	occ	soc	dact	nbalvis
110219	3	2	0	9995		0	12
110220	4	1	1	9985		0	40
110220	5	1	1	9985		0	5
110220	6	1	1	9985		0	5
110220	7	1	0	9995		0	10
110220	8	2	0	9995		0	10
110220	9	2	1	9995		0	5
110221	7	2	1	9985		0	5
110221	8	2	0	9995		0	3
110228	2	1	0	9995		0	16
110228	3	2	0	9995		0	5
110230	3	1	1	9985		0	46
110230	4	2	1	9995		0	3
110230	5	2	0	9995		0	44
110230	6	1	0	9995		0	22
110230	7	1	1	9995		0	16
110231	6	1	0	9995		0	11
110232	5	2	0	9995		0	26
110237	4	1	1	9985		0	13
110237	5	2	0	9995		0	18
110237	6	1	0	9995		0	20
110239	5	2	0	9995		0	10
110240	4	1	1	9985		0	4
110240	5	2	0	9995		0	5
110240	6	1	0	9995		0	2
110243	2	2	0	9995		0	4
110246	3	2	0	9995		0	42
110246	4	2	1	9985		0	14
110246	5	1	1	9985		0	24
110246	6	1	1	9985		0	5
110246	7	2	1	9985		0	4
110246	8	1	0	9995		0	23
110248	5	1	0	9995		0	9
110248	6	2	0	9995		0	4
110248	7	2	1	9985		0	4
110249	5	1	1	9985		0	5
110254	3	2	0	9995		0	25
110254	4	1	1	9985		0	7
110255	5	1	0	9995		0	4
110255	6	2	0	9995		0	4
110256	5	2	1	9985		0	5
110260	5	2	0	9995		0	13
110266	7	1	1	9985		0	12
110266	8	1	1	9985		0	5
110267	4	1	0	9995		0	16
110269	4	1	0	9995		0	16
110269	5	2	0	9995		0	5
110269	6	2	1	9985		0	5
110271	3	2	0	9995		0	5
110271	4	2	1	9985		0	14
110271	5	1	1	9985		0	14
110271	6	2	1	9985		0	14
110272	6	2	1	9995		0	5
110277	5	1	0	9995		0	4
110279	4	2	0	9995		0	4
110279	5	2	1	9985		0	4
110283	6	2	1	9985		0	2
110283	7	2	1	9985		0	2
110283	8	1	1	9985		0	2
110283	9	1	1	9985		0	2
110284	6	2	0	9995		0	20
110286	7	1	0	9995		0	2
110288	2	2	0	9995		0	5
110296	3	2	0	9995		0	6
110296	4	1	0	9995		0	4
110297	7	2	0	9995		0	11
110299	3	2	1	9985		0	5
110301	6	1	0	9995		0	4
110302	5	1	0	9995		0	10
110303	2	2	0	9995		0	9
110303	3	1	0	9995		0	2
110304	6	2	0	9995		0	2
110305	8	2	1	9985		0	7
110305	9	1	0	9995		0	31
110305	10	2	0	9995		0	10
110306	3	1	0	9995		0	9
110307	2	2	0	9995		0	17
110308	3	2	0	9995		0	5
110309	2	2	0	9995		0	9
110309	3	1	1	9985		0	5
110309	4	2	1	9985		0	5
110309	5	1	1	9985		0	5
110311	6	1	0	9995		0	4
110311	7	2	0	9995		0	13
110313	3	2	0	9995		0	4
110314	4	1	0	9995		0	7
110316	4	2	0	9995		0	3
110316	5	1	0	9995		0	7
110319	5	2	0	9995		0	63
110319	6	2	1	9985		0	15
110319	7	2	1	9985		0	9
110319	8	1	0	9995		0	9
110321	5	2	0	9995		0	5
110323	4	2	1	9985		0	32
110323	5	1	0	9995		0	16
110323	6	2	0	9995		0	8
110329	4	1	0	9995		0	18
