hhno	Pregnancy_in_household	Child(ren)_under_2
100001	No	No
100002	No	No
100003	No	No
100004	No	No
100005	No	No
100006	No	No
100007	No	No
100008	No	No
100009	No	No
100010	No	Yes
100011	No	No
100012	No	No
100013	No	No
100014	No	No
100015	No	Yes
100016	No	No
100017	No	No
100018	No	No
100019	No	No
100020	No	No
100021	No	No
100022	No	No
100023	No	No
100024	No	No
100025	No	No
100026	No	No
100027	No	No
100028	No	No
100029	No	No
100030	No	No
100031	No	No
100032	No	No
100033	No	No
100034	No	No
100035	No	No
100036	No	No
100037	No	No
100038	No	No
100039	No	No
100040	No	No
100041	No	No
100042	No	No
100043	No	No
100044	No	No
100045	No	No
100046	No	No
100047	No	Yes
100048	No	No
100049	No	No
100050	No	Yes
100051	No	No
100052	No	No
100053	No	No
100054	No	No
100055	No	No
100056	No	Yes
100057	No	No
100058	No	No
100059	No	No
100060	No	No
100061	No	No
100062	No	No
100063	No	No
100064	No	No
100065	No	No
100066	No	No
100067	No	No
100068	No	No
100069	No	No
100070	No	Yes
100071	No	No
100072	No	No
100073	No	No
100074	No	No
100075	No	No
100076	No	Yes
100077	No	No
100078	No	No
100079	No	No
100080	No	No
100081	No	No
100082	No	No
100083	No	No
100084	No	No
100085	No	No
100086	No	No
100087	No	No
100088	No	No
100089	No	No
100090	No	No
100091	No	No
100092	No	No
100093	No	No
100094	No	No
100095	No	No
100096	No	No
100097	No	No
100098	No	No
100099	No	No
100100	No	No
100101	No	No
100102	No	No
100103	No	No
100104	No	No
100105	No	No
100106	No	No
100107	No	Yes
100108	No	No
100109	No	No
100110	No	No
100111	No	No
100112	No	No
100113	No	No
100114	No	No
100115	No	No
100116	No	No
100117	No	No
100118	No	No
100119	No	No
100120	No	No
100121	No	No
100122	No	No
100123	No	No
100124	No	No
100125	No	No
100126	No	No
100127	No	No
100128	No	No
100129	No	No
100130	No	No
100131	No	No
100132	No	No
100133	No	No
100134	No	No
100135	No	No
100136	No	No
100137	No	No
100138	No	No
100139	No	Yes
100140	No	No
100141	No	No
100142	No	No
100143	No	No
100144	No	No
100145	No	No
100146	No	No
100147	No	No
100148	No	No
100149	No	No
100150	No	No
100151	No	Yes
100152	No	No
100153	No	No
100154	No	No
100155	No	No
100156	No	No
100157	No	Yes
100158	No	No
100159	No	No
100160	No	Yes
100161	No	No
100162	No	No
100163	No	No
100164	No	No
100165	No	No
100166	No	No
100167	No	No
100168	No	No
100169	No	No
100170	No	No
100171	No	No
100172	No	No
