hhno	logday	schml	pkdl	othl	mlwhl	midml	mlso
50001	4	0	0	0	0	0	1
50001	6	0	0	0	0	1	2
50003	1	0	0	0	0	0	2
50003	3	0	0	0	0	0	2
50003	4	0	0	0	0	3	5
50004	2	0	0	0	0	0	2
50004	3	0	0	0	0	0	2
50004	5	0	0	0	0	0	2
50005	1	0	0	0	0	1	1
50005	2	0	0	0	0	2	2
50005	3	0	0	0	0	1	1
50005	6	0	0	0	0	1	1
50005	7	0	0	0	0	1	1
50006	1	0	0	0	0	1	4
50006	2	0	0	0	0	4	10
50006	3	0	0	0	0	1	4
50006	4	0	0	0	0	4	12
50006	5	0	0	0	0	4	16
50006	6	0	0	0	0	4	10
50006	7	0	2	0	0	1	4
50007	6	0	0	0	0	5	15
50007	7	0	0	0	0	5	20
50008	4	0	0	0	0	0	3
50008	5	0	0	0	0	1	1
50008	6	0	0	0	0	0	6
50008	7	0	0	0	0	0	1
50010	6	4	0	0	0	2	2
50011	2	0	0	0	0	0	1
50012	6	0	0	0	0	0	4
50012	7	4	0	0	0	3	3
50013	6	0	0	0	0	4	16
50013	7	0	0	0	0	4	16
50014	3	0	0	0	0	0	4
50014	6	0	0	0	0	0	4
50015	1	4	0	0	0	4	4
50015	2	4	0	0	0	4	5
50015	3	4	0	0	0	4	5
50015	4	4	0	0	0	4	5
50015	5	0	0	0	0	0	1
50015	7	4	0	0	0	4	5
50017	5	0	0	0	0	0	4
50018	1	0	0	0	0	1	1
50018	2	0	0	0	0	1	1
50018	3	0	0	0	0	2	2
50018	4	0	0	0	0	2	2
50018	5	0	0	0	0	2	6
50018	7	0	0	0	0	2	2
50019	1	2	0	0	0	1	1
50019	2	2	0	0	0	1	1
50019	3	2	0	0	0	1	1
50019	4	2	0	0	0	1	1
50019	5	2	0	0	0	1	1
50019	6	0	0	0	0	0	10
50020	1	0	0	0	0	0	1
50020	4	0	0	0	0	0	1
50020	7	0	0	0	0	1	2
50021	4	0	0	0	0	0	2
50022	2	0	0	0	0	0	4
50024	2	0	0	0	0	2	3
50024	3	2	0	0	0	1	1
50024	4	2	0	0	0	1	1
50024	5	2	0	0	0	1	1
50024	6	2	0	0	0	1	1
50024	7	2	0	0	0	1	1
50027	6	0	0	0	0	0	1
50028	1	0	0	0	0	1	2
50028	4	2	0	0	0	1	1
50028	5	2	0	0	0	1	2
50028	6	2	0	0	0	1	1
50029	6	0	0	0	0	1	1
50029	7	0	0	0	0	0	1
50030	3	0	0	0	0	2	2
50030	4	0	0	0	0	2	2
50030	5	0	0	0	0	0	2
50031	1	2	0	0	0	2	2
50031	2	2	0	0	0	2	2
50031	3	2	0	0	0	2	2
50031	4	2	0	0	0	1	1
50031	5	0	0	0	0	1	1
50031	7	2	0	0	0	2	2
50032	6	0	0	0	0	0	1
50033	1	0	0	0	0	1	1
50033	2	0	0	0	0	1	1
50033	3	0	0	0	0	1	1
50033	4	0	0	0	0	1	1
50033	7	0	0	0	0	1	1
50034	1	4	0	0	0	3	4
50034	2	4	0	0	0	2	2
50034	3	4	0	0	0	2	2
50034	6	4	0	0	0	2	2
50034	7	4	0	0	0	3	3
50035	1	0	1	0	0	1	3
50035	2	0	1	0	0	1	5
50035	3	0	1	0	0	1	4
50035	4	0	1	0	0	1	5
50035	5	0	1	0	0	1	2
50036	1	0	0	0	0	2	2
50036	2	0	0	0	0	1	2
50036	3	0	0	0	0	1	1
50036	4	0	0	0	0	1	1
50036	7	0	0	0	0	0	2
50037	1	2	0	0	0	1	1
50037	2	2	0	0	0	1	1
50037	3	2	0	0	0	1	1
50037	4	2	0	0	0	1	1
50037	5	2	0	0	0	1	1
50037	7	0	0	0	0	0	2
50040	7	0	0	0	0	0	2
50041	1	0	2	0	0	0	0
50041	2	0	2	0	0	0	0
50041	3	4	0	0	0	2	2
50041	4	4	0	0	0	2	2
50041	5	0	0	0	0	1	1
50041	6	0	1	0	0	0	0
50041	7	0	1	0	0	0	0
50042	1	0	0	0	0	1	1
50042	2	0	0	0	0	1	1
50042	3	0	0	0	0	1	1
50042	4	0	0	0	0	1	1
50042	5	0	0	0	0	1	1
50042	6	0	0	0	0	2	2
50044	1	0	0	0	0	1	1
50044	3	0	0	0	0	0	2
50050	3	0	0	0	0	1	1
50050	4	0	0	0	0	1	1
50051	4	0	0	0	0	1	3
50051	5	0	0	0	0	1	4
50051	6	0	0	0	0	1	4
50051	7	0	0	0	0	1	4
50052	7	0	0	0	0	2	2
50053	1	0	2	0	0	0	0
50053	4	0	2	0	0	0	0
50053	5	0	2	0	0	0	0
50053	6	0	2	0	0	0	0
50053	7	0	2	0	0	0	0
50054	5	0	0	0	0	2	3
50055	5	0	0	0	0	0	3
50056	1	0	0	0	0	2	2
50056	2	0	0	0	0	2	4
50056	3	0	0	0	0	2	4
50056	4	0	0	0	0	1	3
50056	5	0	0	0	0	0	1
50056	6	0	0	0	0	1	2
50056	7	0	0	0	0	1	2
50057	1	4	0	0	0	4	4
50057	2	4	0	0	0	4	4
50057	3	4	0	0	0	4	4
50057	6	4	0	0	0	4	8
50057	7	4	0	0	0	4	7
50058	7	0	0	0	0	0	2
50060	5	0	0	0	0	1	1
50061	1	0	1	0	0	2	2
50061	2	0	1	0	0	1	1
50061	3	0	1	0	0	1	1
50061	4	0	0	0	0	1	1
50061	5	0	0	0	0	2	2
50061	7	0	1	0	0	2	2
50063	1	4	0	0	0	4	4
50063	2	4	0	0	0	3	3
50063	3	4	0	0	0	4	4
50063	4	2	0	0	0	2	2
50063	7	4	0	0	0	4	4
50064	1	2	0	0	0	1	1
50064	2	2	0	0	0	1	1
50064	3	2	0	0	0	1	1
50064	4	2	0	0	0	1	1
50064	7	2	0	0	0	1	1
50065	3	0	0	0	0	3	6
50065	6	0	0	0	0	0	2
50068	1	4	0	0	0	4	5
50068	2	4	0	0	0	4	4
50068	3	4	0	0	0	4	4
50068	4	0	0	0	0	4	4
50068	6	4	0	0	0	4	4
50068	7	4	0	0	0	4	4
50069	1	6	0	0	0	3	3
50069	2	6	0	0	0	3	3
50069	3	6	0	0	0	3	3
50069	4	6	0	0	0	3	3
50069	5	6	0	0	0	3	3
50069	7	0	0	0	0	0	8
50070	1	2	0	0	0	2	2
50070	2	2	0	0	0	2	2
50070	3	2	0	0	0	2	2
50070	4	0	0	0	0	1	2
50070	6	2	0	0	0	2	3
50070	7	2	0	0	0	2	3
50073	3	0	0	0	0	1	1
50074	1	0	0	0	0	1	1
50074	2	0	0	0	0	1	3
50074	3	0	0	0	0	1	7
50074	4	0	0	0	0	1	6
50074	5	0	0	0	0	1	3
50074	6	0	0	0	0	2	2
50074	7	0	0	0	0	2	2
50075	1	6	0	0	0	3	3
50075	2	6	0	0	0	3	3
50075	3	0	0	2	0	2	2
50075	4	0	0	0	0	0	4
50075	5	6	0	0	0	3	3
50075	6	6	0	0	0	3	4
50075	7	6	0	0	0	3	4
50077	1	0	0	0	0	0	1
50077	2	0	0	0	0	0	1
50077	3	0	0	0	0	0	1
50077	4	0	0	0	0	3	3
50078	3	2	0	0	0	3	3
50078	4	2	0	0	0	2	2
50078	5	2	0	0	0	2	2
50078	6	2	0	0	0	2	2
50078	7	2	0	0	0	2	2
50079	3	2	0	0	0	4	6
50079	4	2	0	0	0	4	7
50079	5	2	0	0	0	4	7
50079	6	2	0	0	0	4	10
50079	7	2	0	0	0	4	13
50080	2	0	0	0	0	1	1
50080	6	0	0	0	0	1	1
50082	1	6	0	0	0	3	3
50082	3	0	0	0	0	0	4
50082	4	6	0	0	0	3	3
50082	5	6	0	0	0	3	3
50082	6	6	0	0	0	3	3
50082	7	6	0	0	0	3	3
50083	3	0	0	0	0	0	2
50083	6	0	0	0	0	1	2
50085	1	0	1	0	0	0	0
50085	2	0	1	0	0	0	0
50085	3	0	0	0	0	1	1
50085	5	0	0	0	0	0	3
50086	1	2	0	0	0	1	1
50086	2	2	0	0	0	1	1
50086	3	2	0	0	0	1	1
50086	4	2	0	0	0	1	1
50086	7	0	0	0	0	1	1
50088	3	0	0	0	0	0	2
50088	7	0	0	0	0	0	4
50090	3	0	0	0	0	1	1
50090	5	0	0	0	0	1	1
50090	7	0	0	0	0	0	1
50091	2	0	0	0	0	0	2
50091	3	0	0	0	0	1	4
50091	4	0	0	0	0	1	4
50091	5	0	0	0	0	1	4
50091	6	0	0	0	0	1	4
50091	7	0	0	0	0	1	3
50093	1	0	1	0	0	0	0
50093	2	0	1	0	0	0	0
50093	3	0	1	0	0	0	0
50094	1	2	1	0	0	1	1
50094	2	2	1	0	0	1	1
50094	3	0	1	0	0	0	0
50094	4	0	0	0	0	2	2
50094	7	0	0	0	0	0	4
50095	5	0	0	0	0	1	4
50095	6	0	0	0	0	1	4
50095	7	0	0	0	0	1	4
50096	1	4	0	0	0	3	3
50096	2	4	0	0	0	3	3
50096	3	4	0	0	0	3	3
50096	4	4	0	0	0	2	2
50096	5	4	0	0	0	2	2
50097	1	0	1	0	0	2	4
50097	2	2	0	0	0	2	2
50097	3	2	0	0	0	2	3
50097	4	0	0	0	0	0	3
50097	5	0	0	0	0	2	4
50097	6	0	0	0	0	0	2
50097	7	0	0	0	0	0	4
50098	2	0	0	0	0	0	2
50098	3	0	0	0	0	0	4
50098	5	0	0	0	0	0	3
50099	3	0	0	0	0	2	2
50101	2	0	0	0	0	3	3
50101	5	0	0	0	0	2	2
50102	2	0	0	0	0	2	2
50102	3	0	0	0	0	2	2
50102	4	0	0	0	0	4	4
50102	5	2	0	0	0	3	3
50102	6	2	0	0	0	4	4
50102	7	2	0	0	0	3	3
50107	3	0	0	0	0	0	1
50107	4	0	0	0	0	2	5
