hhno	visgpno	sex	age	occ	soc	dact	nbalvis
30001	6	2	0	9995		0	7
30003	4	1	1	9985		0	4
30003	5	2	0	9995		0	19
30003	6	1	0	9995		0	19
30005	5	2	1	9985		0	5
30006	6	1	0	9995		0	2
30010	4	1	0	9995		0	5
30010	5	2	0	9995		0	5
30014	3	2	0	9995		0	13
30014	4	1	1	9985		0	2
30017	4	2	0	9995		0	11
30017	5	1	1	9985		0	3
30020	6	2	0	9995		0	5
30021	3	2	0	9995		0	4
30021	4	1	0	9995		0	4
30021	5	1	1	9985		0	4
30021	6	2	1	9985		0	4
30022	8	2	0	9995		0	14
30022	9	2	1	9985		0	5
30023	4	1	1	9985		0	28
30027	5	1	0	9995		0	5
30027	6	2	0	9995		0	5
30030	3	1	0	9995		0	5
30030	4	2	0	9995		0	5
30032	3	1	0	9995		0	30
30032	4	2	0	9995		0	30
30032	5	1	1	9985		0	32
30032	6	2	1	9985		0	32
30034	3	1	0	9995		0	19
30034	4	2	0	9995		0	19
30034	5	2	1	9985		0	9
30034	6	1	1	9985		0	9
30034	7	1	1	9985		0	9
30038	3	2	1	9985		0	17
30038	4	1	1	9985		1	33
30038	5	1	0	9995		0	3
30040	4	2	0	9995		0	22
30041	5	2	0	9995		0	4
30041	6	2	1	9995		0	10
30041	7	1	0	9995		0	2
30042	4	2	1	9985		0	10
30042	5	1	1	9985		0	12
30042	6	2	1	9985		0	4
30042	7	1	1	9985		0	4
30042	8	2	0	9995		0	4
30045	4	2	0	9995		0	9
30045	5	2	1	9985		0	9
30045	6	1	0	9995		0	11
30046	7	2	1	9985		0	5
30049	5	2	0	9995		0	4
30049	6	1	1	9985		0	4
30051	6	1	0	9995		0	15
30051	7	2	0	9995		0	11
30053	5	1	1	9985		0	19
30053	6	2	1	9985		0	15
30053	7	2	0	9995		0	14
30054	4	2	0	9995		0	29
30054	5	1	0	9995		0	11
30054	6	2	1	9985		0	4
30054	7	1	1	9985		0	4
30057	5	2	1	9985		0	28
30057	6	2	0	9995		0	11
30057	7	1	1	9985		0	4
30063	2	1	1	9995		0	24
30064	3	1	0	9995		0	9
30064	4	2	0	9995		0	4
30067	4	1	0	9995		0	8
30067	5	2	0	9995		0	8
30067	6	2	1	9995		0	9
30067	7	2	1	9985		0	6
30067	8	1	0	9985		0	6
30069	3	1	0	9995		0	5
30069	4	2	0	9995		0	5
30072	4	2	1	9995		0	12
30073	7	1	1	9985		0	25
30073	8	2	1	9985		0	4
30073	9	2	0	9995		0	35
30075	3	2	0	9995		0	5
30077	4	2	0	9995		0	12
30079	5	2	0	9995		0	4
30080	7	1	0	9995		0	7
30080	8	2	0	9995		0	9
30080	9	1	1	9985		0	9
30080	10	1	1	9985		0	7
30082	3	2	0	9995		0	10
30083	3	2	0	9995		0	6
30083	4	1	1	9985		0	6
30083	5	1	1	9985		0	6
30085	3	2	0	9995		0	29
30085	4	1	0	9995		0	20
30085	5	1	1	9985		0	9
30085	6	2	1	9985		0	9
30086	7	2	0	9995		0	7
30086	8	1	0	9995		0	5
30087	3	2	0	9995		0	10
30087	4	1	0	9995		0	4
30088	5	2	1	9985		0	5
30090	4	1	0	9995		0	24
30091	2	2	0	9995		0	6
30092	2	1	0	9995		0	19
30092	3	2	0	9995		0	19
30092	4	2	1	9985		0	19
30092	5	2	1	9985		0	19
30093	2	2	0	9995		0	10
30093	3	1	0	9995		0	6
30093	4	2	1	9985		0	6
30094	5	1	0	9995		0	2
30094	6	2	0	9995		0	2
30095	4	1	0	9995		0	10
30096	3	1	0	9995		0	4
30096	4	1	1	9995		0	4
30096	5	1	1	9985		0	4
30097	4	1	0	9995		0	40
30097	5	2	0	9995		0	39
30097	6	1	1	9985		0	27
30098	4	2	0	9995		0	12
30098	5	2	1	9985		0	13
30098	6	1	1	9985		0	10
30098	7	1	0	9995		0	2
30101	3	2	0	9995		0	5
30101	4	1	0	9995		0	8
30102	3	1	0	9995		0	7
30102	4	2	0	9995		0	7
30103	6	2	1	9985		0	4
30103	7	1	0	9995		0	2
30103	8	2	0	9995		0	2
30104	3	2	0	9995		0	22
30104	4	1	0	9995		0	18
30106	5	1	0	9995		0	4
30115	8	1	0	9995		0	12
30116	6	1	1	9985		0	5
30116	7	1	1	9985		0	5
30116	8	2	1	9985		0	5
30119	5	2	0	9995		0	2
30119	6	1	0	9995		0	2
30120	4	2	0	9995		0	15
30120	5	1	0	9995		0	10
30123	2	1	0	9995		0	2
30124	6	2	0	9995		0	4
30131	3	1	0	9995		0	4
30138	2	2	0	9995		0	32
30139	6	2	1	9985		0	4
30140	5	1	0	9995		0	7
30141	3	2	0	9995		0	12
30141	4	1	0	9995		0	5
30143	4	2	0	9995		0	5
30143	5	1	0	9995		0	5
30145	5	2	0	9995		0	13
30145	6	1	0	9995		0	5
30147	5	2	0	9995		0	5
30149	5	2	0	9995		0	4
30150	6	1	1	9985		0	2
30150	7	2	0	9995		0	5
30150	8	1	0	9995		0	5
30150	9	1	1	9985		0	5
30150	10	1	1	9985		0	5
30152	5	1	1	9985		0	18
30156	4	1	0	9995		0	2
30156	5	2	0	9995		0	2
30166	4	2	1	9985		0	15
30166	5	2	0	9995		0	2
30167	3	1	0	9995		0	14
30167	4	2	0	9995		0	10
30168	4	2	0	9995		0	24
30168	5	1	0	9995		0	12
30169	3	2	0	9995		0	2
30169	4	1	0	9995		0	2
30170	2	1	0	9995		0	5
30171	6	2	0	9995		0	12
30172	3	1	0	9995		0	2
30172	4	2	0	9995		0	2
30173	6	2	1	9985		0	5
30173	7	1	0	9995		0	5
30173	8	2	0	9995		0	5
30173	9	2	1	9985		0	4
30175	6	2	0	9995		0	20
30175	7	1	0	9995		0	18
30175	8	2	1	9985		0	9
30175	9	2	1	9985		0	9
30175	10	2	1	9985		0	9
30177	6	2	1	9985		0	5
30177	7	2	0	9995		0	4
30177	8	1	0	9995		0	4
30178	5	2	0	9995		0	46
30178	6	1	0	9995		0	8
30180	4	1	0	9995		0	7
30180	5	2	0	9995		0	12
30181	5	2	1	9985		0	4
30182	6	1	0	9995		0	2
30183	3	1	0	9995		0	2
30183	4	2	0	9995		0	2
30184	3	1	0	9995		0	2
30184	4	2	0	9995		0	2
30187	4	1	0	9995		0	9
30187	5	2	0	9995		0	9
30188	4	1	0	9995		0	5
30188	5	2	0	9995		0	5
30191	4	1	0	9995		0	4
30193	5	2	0	9995		0	4
30193	6	2	1	9985		0	4
30193	7	1	1	9985		0	10
30193	8	2	1	9985		0	5
30193	9	2	1	9985		0	5
30193	10	1	1	9985		0	10
30193	11	1	1	9985		0	5
30194	5	2	0	9995		0	9
30195	3	1	0	2342		0	15
30196	6	1	1	9985		0	5
30198	3	1	1	9985		0	4
30198	4	1	1	9985		0	4
30200	3	1	0	9995		0	24
30200	4	1	0	9995		0	7
30201	3	1	0	9995		0	9
30201	4	2	0	9995		0	9
30201	5	2	1	9985		0	9
30201	6	2	1	9985		0	9
30203	5	1	0	9995		0	4
30203	6	2	0	9995		0	4
30206	2	2	0	9995		0	4
30207	3	2	0	9995		0	4
30208	4	2	0	9995		0	8
30208	5	2	1	9985		0	8
30208	6	2	1	9985		0	8
30208	7	1	0	9995		0	4
30213	5	2	0	9995		0	5
30214	2	2	0	9995		0	4
30215	5	2	0	9995		0	4
30215	6	2	1	9985		0	10
30215	7	2	1	9995		0	4
30216	5	2	0	9995		0	4
30216	6	2	1	9985		0	2
30218	6	2	1	9985		0	5
30220	2	2	0	9995		0	17
30222	5	2	0	9995		0	5
30222	6	2	1	9985		0	5
30223	5	1	0	9995		0	5
30224	6	2	0	9995		0	5
30224	7	2	1	9985		0	5
30229	4	2	1	2144		0	37
30229	5	1	0	9995		0	14
30229	6	1	1	9985		0	2
30233	5	1	0	9995		0	2
30233	6	2	0	9995		0	2
30235	4	1	1	9985		0	33
30235	5	1	1	9985		0	33
30235	6	1	0	9995		0	10
30235	7	2	1	9985		0	5
30236	3	2	0	9995		0	4
30238	4	2	0	9995		0	4
30239	3	1	0	9995		0	4
30240	5	2	0	9995		0	14
30241	3	2	0	9995		0	24
30242	3	1	0	9985		0	5
30242	4	2	1	9985		0	9
30242	5	2	1	9985		0	5
30243	4	2	0	9995		0	12
30243	5	1	0	9995		0	6
30243	6	1	1	9985		0	2
30246	4	1	0	9995		0	5
30247	4	2	0	9995		0	12
30247	5	1	0	9995		0	2
30247	6	1	1	9985		0	4
30248	4	2	0	9995		0	12
30248	5	1	0	9995		0	8
30248	6	2	1	9985		0	5
30248	7	2	1	9985		0	5
30257	3	1	0	9995		0	23
30257	4	1	1	9985		0	9
30257	5	1	1	9985		0	9
30257	6	2	0	9995		0	4
30258	6	2	0	9995		0	8
30258	7	2	1	9985		0	11
30261	5	1	0	9995		0	4
30261	6	2	0	9995		0	6
30261	7	2	1	9985		0	4
30264	5	2	0	9995		0	9
30265	3	1	0	9995		0	2
30265	4	2	0	9995		0	2
30266	4	1	1	9985		0	43
30266	5	2	0	9995		0	43
30267	3	2	1	9985		0	6
30267	4	1	0	9995		0	6
30270	8	1	0	9995		0	2
30270	9	2	0	9995		0	10
30273	4	2	1	9985		0	14
30273	5	1	0	9995		0	2
30273	6	2	0	9995		0	2
30276	4	2	0	9995		0	2
30276	5	2	1	9985		0	3
30278	3	2	0	9995		0	15
30278	4	2	1	9985		0	7
30278	5	2	1	9985		0	7
30278	6	1	0	9995		0	15
30279	3	1	0	9995		0	16
30279	4	2	0	9995		0	16
30280	3	1	0	9995		0	2
30280	4	2	0	9995		0	18
30289	4	2	0	9995		0	4
30293	4	1	0	9995		0	18
30293	5	2	0	9995		0	5
30294	3	2	0	9995		0	5
30294	4	1	0	9995		0	5
30294	5	2	1	9995		0	5
30294	6	1	1	9995		0	5
30297	3	1	0	9995		0	5
30297	4	1	1	9995		0	5
30297	5	1	1	9985		0	5
30297	6	2	0	9995		0	5
30300	3	1	0	9995		0	7
30300	4	2	0	9995		0	7
30301	3	2	1	9985		0	16
30302	5	2	0	9995		0	11
30302	6	2	1	9985		0	4
30302	7	1	0	9995		0	7
30303	3	2	0	9995		0	22
30304	2	2	0	9995		0	11
30305	3	1	0	9995		0	16
30305	4	2	0	9995		0	12
30305	5	2	1	9985		0	4
30305	6	1	1	9985		0	4
30307	5	1	0	9995		0	6
30307	6	2	0	9995		0	9
30307	7	2	1	9985		0	4
30307	8	2	0	9985		0	4
30307	9	1	1	9985		0	5
30308	4	1	0	9995		0	2
30310	3	1	0	9995		0	8
30311	4	2	0	9995		0	34
30311	5	1	1	9985		0	17
30311	6	1	0	9995		0	22
30311	7	1	0	9985		0	11
30312	3	2	0	9995		0	4
30313	5	1	0	9995		0	18
30313	6	2	0	9995		0	16
30314	4	2	0	9995		0	17
30314	5	2	1	9985		0	9
30314	6	1	1	9985		0	9
30315	4	2	0	9995		0	14
30316	4	2	0	9995		0	2
30320	3	1	0	9995		0	5
30320	4	2	0	9995		0	5
30322	3	1	1	9985		0	9
30323	3	2	0	9995		0	15
30324	4	1	0	9995		0	14
30324	5	2	0	9995		0	14
30324	6	1	1	9985		0	23
30324	7	1	1	9985		0	14
30326	4	2	0	9995		0	14
30326	5	1	0	9995		0	2
30327	6	2	0	9995		0	26
30327	7	2	1	9985		0	4
30327	8	2	1	9985		0	4
30327	9	1	0	9995		0	9
30328	5	2	0	9995		0	14
30328	6	1	1	9985		0	10
30328	7	1	1	9985		0	10
30328	8	1	1	9985		0	4
30328	9	2	1	9985		0	4
30332	2	2	0	9995		0	4
30332	3	1	0	9995		0	12
30333	2	1	0	9995		0	10
30333	3	2	0	9995		0	20
30333	4	2	0	9995		0	31
30334	5	1	0	9995		0	25
30334	6	1	0	9995		0	34
30334	7	2	0	9995		0	18
30334	8	1	1	9985		0	9
30334	9	2	1	9985		0	9
30336	6	1	1	9985		0	4
30338	4	2	0	9995		0	17
30339	2	2	0	9995		0	6
30341	2	2	0	9995		0	14
30341	3	1	0	9995		0	2
30342	5	2	0	9995		0	5
30345	3	2	1	9985		0	16
30345	4	1	0	9995		0	4
30345	5	2	0	9995		0	15
30348	6	2	0	9995		0	4
30348	7	1	0	9995		0	2
30351	3	1	0	9995		0	9
30351	4	2	0	9995		0	9
30351	5	2	1	9985		0	2
30354	5	2	1	9985		0	10
30354	6	2	0	9995		0	7
30354	7	1	1	9985		0	5
30355	5	2	0	9995		0	4
30355	6	1	1	9985		0	2
30357	4	2	0	9995		0	45
30357	5	2	0	9995		0	10
30357	6	1	1	9985		0	40
30357	7	2	1	9985		0	40
30357	8	1	1	9985		0	40
30357	9	2	1	9985		0	40
30361	5	2	0	9995		0	11
30361	6	1	0	9995		0	8
30363	3	2	0	9995		0	2
30364	4	2	0	9995		0	11
30366	4	1	0	9995		0	2
30366	5	2	0	9995		0	2
30369	3	2	1	9985		0	4
30372	2	1	0	9995		0	11
30373	6	2	0	9995		0	5
30375	3	1	0	9995		0	32
30375	4	2	1	9985		0	5
30375	5	1	1	9985		0	6
30375	6	2	0	9995		0	2
30375	7	2	1	9985		0	2
30375	8	1	1	9985		0	2
30376	5	1	0	9995		0	2
30376	6	2	0	9995		0	2
30378	2	1	0	9995		0	4
30382	2	1	0	9995		0	5
30382	3	2	0	9995		0	10
30383	5	2	0	9995		0	35
30383	6	2	1	9985		0	4
30383	7	1	1	9985		0	4
30383	8	1	0	9995		0	31
30383	9	1	1	9985		0	26
30383	10	1	1	9985		0	26
30384	3	1	0	9995		0	50
30384	4	1	0	9995		0	5
30384	5	2	0	9995		0	30
30384	6	1	1	9985		0	15
30387	3	1	0	9995		0	35
30387	4	2	0	9995		0	31
30387	5	1	1	9985		0	12
30387	6	1	1	9985		0	7
30387	7	1	1	9985		0	7
30387	8	2	1	9985		0	5
30388	3	2	0	9995		0	16
30388	4	1	0	9995		0	9
30390	5	1	0	9995		0	4
30390	6	2	0	9995		0	4
30390	7	1	1	9985		0	4
30392	2	1	0	9995		0	4
30392	3	2	0	9995		0	19
30394	5	1	0	9995		0	4
30394	6	2	1	9995		0	4
30394	7	2	0	9995		0	5
30397	2	2	0	9995		0	14
30398	3	1	0	9995		0	5
30402	6	1	1	9985		0	13
30402	7	2	1	9985		0	2
30402	8	1	1	9995		0	5
30403	4	2	0	9995		0	33
30403	5	2	1	9985		0	9
30403	6	2	1	9985		0	14
30403	7	2	0	9985		0	9
30403	8	1	0	9995		0	10
30406	3	2	0	9995		0	2
30406	4	1	1	9985		0	2
30406	5	1	1	9985		0	2
30408	5	2	0	9995		0	50
30408	6	2	1	9985		0	40
