hhno	visgpno	sex	age	occ	soc	dact	nbalvis
60001	5	1	0	9995		0	16
60004	5	2	0	9995		0	4
60005	4	2	0	9995		0	14
60005	5	1	0	9995		0	4
60006	3	2	1	9985		0	42
60006	4	2	0	9995		0	4
60006	5	1	0	9995		0	6
60006	6	1	1	9985		0	10
60009	5	2	1	9985		0	22
60009	6	2	0	9995		0	2
60009	7	1	0	9995		0	6
60012	5	2	1	9985		0	4
60013	8	2	0	9995		0	2
60013	9	1	0	9995		0	4
60017	8	1	0	9995		0	36
60017	9	2	0	9995		0	18
60017	10	1	1	9985		0	14
60018	4	1	0	9995		0	25
60020	4	1	0	9995		0	7
60020	5	2	1	9985		0	4
60021	7	1	0	9995		0	24
60021	8	2	0	9995		0	23
60021	9	2	1	9995		0	10
60032	4	1	1	9985		0	24
60032	5	2	1	9985		0	24
60032	6	1	0	9995		0	13
60032	7	2	0	9995		0	10
60033	5	2	0	9995		0	4
60033	6	1	0	9995		0	4
60035	4	1	0	9995		0	8
60035	5	2	1	9985		0	2
60036	4	2	1	9995		0	12
60036	5	2	1	9985		0	16
60043	5	2	1	9995		0	33
60043	6	2	0	9995		0	4
60043	7	2	1	9985		0	4
60043	8	1	1	9985		0	4
60043	9	1	0	9995		0	7
60044	3	1	0	9995		0	4
60044	4	2	0	9995		0	4
60046	6	1	0	9995		0	4
60046	7	2	0	9995		0	4
60047	3	1	0	9995		0	5
60047	4	1	1	9985		0	5
60047	5	2	0	9995		0	9
60047	6	2	1	9995		0	5
60049	4	1	0	9995		0	7
60050	4	1	0	9995		0	8
60050	5	2	0	9995		0	5
60058	6	2	0	9995		0	31
60060	5	2	1	9995		0	8
60060	6	2	0	9995		0	8
60061	3	2	0	9995		0	5
60061	4	1	0	9995		0	5
60067	3	1	0	9995		0	5
60067	4	1	1	9985		0	5
60069	3	1	0	9995		0	29
60072	5	1	0	9995		0	30
60072	6	2	0	9995		0	22
60073	6	1	0	9995		0	13
60073	7	2	0	9995		0	13
60073	8	1	1	9985		0	5
60073	9	2	1	9985		0	5
60073	10	1	1	9985		0	4
60073	11	2	1	9985		0	4
60073	12	2	1	9985		0	8
60075	6	2	0	9995		0	5
60082	3	2	0	9995		0	9
60084	3	1	0	9995		0	31
60085	3	1	0	9995		0	2
60085	4	2	0	9995		0	2
60087	5	2	0	9995		0	4
60096	5	1	1	9985		0	4
60096	6	2	0	9995		0	4
60098	5	2	0	9995		0	22
60098	6	2	1	9985		0	4
60098	7	2	1	9985		0	5
60098	8	1	0	9995		0	5
60098	9	2	1	9985		0	5
60098	10	2	1	9985		0	5
60099	5	1	0	9995		0	10
60099	6	2	0	9995		0	15
60099	7	2	1	9985		0	5
60100	6	1	1	9985		0	5
60100	7	1	1	9985		0	5
60101	2	2	0	9995		0	4
60103	3	2	0	9995		0	20
60103	4	2	1	9985		0	20
60106	4	2	1	9995		0	10
60106	5	2	0	9995		0	2
60112	6	2	0	9995		0	4
60113	3	1	0	9995		0	28
60113	4	2	0	9995		0	27
60113	5	2	1	9985		0	10
60115	4	2	0	9995		0	21
60122	4	2	0	9995		0	14
60123	3	2	1	9995		0	4
60123	4	1	0	9995		0	4
60125	3	2	0	9995		0	5
60125	4	1	0	9995		0	5
60128	3	1	0	9995		0	5
60130	2	2	0	9995		0	14
60130	3	1	0	9995		0	4
60131	5	2	0	9995		0	50
60131	6	2	0	9995		0	5
60131	7	1	0	9995		0	14
60134	5	1	1	9985		0	12
60134	6	1	1	9985		0	4
60134	7	2	1	9995		0	4
60135	3	2	0	9995		0	12
60135	4	2	1	9985		0	12
60137	4	1	0	9995		0	2
60138	4	2	0	9995		0	4
60140	5	1	0	9995		0	4
60140	6	2	0	9995		0	4
60143	5	1	0	9995		0	10
60143	6	2	0	9995		0	3
60146	5	2	0	9995		0	9
60148	4	1	0	9995		0	4
60148	5	2	0	9995		0	4
60151	5	2	0	9995		0	5
60152	3	2	0	9995		0	9
60152	4	1	0	9995		0	2
60154	4	2	1	9985		0	33
60157	4	1	1	9985		0	5
60157	5	2	0	9995		0	5
60157	6	2	1	9985		0	5
60161	3	1	0	9995		0	16
60162	8	2	0	9995		0	21
60162	9	2	1	9985		0	4
60162	10	1	1	9995		0	5
60164	8	2	0	9995		0	8
60165	4	2	0	9995		0	2
60170	3	2	0	9995		0	10
60170	4	2	1	9985		0	10
60171	4	2	0	9995		0	12
60171	5	1	0	9995		0	7
60171	6	1	1	9985		0	5
60172	3	1	0	9995		0	7
60172	4	2	0	9995		0	5
60175	3	2	0	9995		0	31
60175	4	1	1	9985		0	21
60175	5	1	0	9995		0	23
60176	5	2	0	9995		0	9
60176	6	1	0	9995		0	6
60176	7	1	1	9985		0	9
60177	2	1	1	9985		0	10
60178	4	1	1	9985		0	5
60179	3	2	1	9985		0	4
60181	3	1	0	9995		0	4
60183	4	2	1	9985		0	19
60183	5	2	1	9995		0	9
60184	5	2	1	9985		0	2
60185	5	2	1	9985		0	5
60185	6	2	0	9995		0	4
60188	6	1	0	9995		0	10
60189	5	1	0	9995		0	4
60189	6	1	1	9985		0	5
60190	5	1	0	9995		0	15
60190	6	2	0	9995		0	11
60191	3	2	0	9995		0	10
60191	4	1	0	9995		0	10
60194	3	2	0	9995		0	15
60194	4	2	1	9985		0	5
60194	5	1	1	9985		0	5
60194	6	1	1	9985		0	5
60194	7	1	0	9995		0	5
60195	5	1	0	9995		0	7
60195	6	2	0	9995		0	7
60196	6	1	1	9985		0	9
60196	7	1	0	9995		0	7
60196	8	2	0	9995		0	7
60197	6	1	0	9995		0	9
60197	7	2	0	9995		0	9
60199	5	1	0	9995		0	7
60199	6	2	0	9995		0	5
60199	7	1	1	9985		0	4
